pulse_generations	pulse_kya	fitted_generations	decoded_decay	decoded_over_fitted	archaic_fraction_decoded	modern_rate	archaic_rate	rate_contrast	n_decoded_tracts
500.0000	14.5000	1166.6634	784.8724	0.6770	0.1024	0.0292	0.2016	6.9161	121.2500
600.0000	17.4000	1178.8146	885.9721	0.7529	0.0857	0.0282	0.1943	6.8974	110.2500
700.0000	20.3000	1195.8968	813.1828	0.6816	0.1032	0.0292	0.2049	7.0338	128.5000
800.0000	23.2000	1148.1718	874.0972	0.7642	0.1527	0.0298	0.1996	6.7206	203.0000
900.0000	26.1000	1309.6925	937.3536	0.7317	0.0896	0.0287	0.1950	6.8057	120.5000
1000.0000	29.0000	1283.7345	1005.8378	0.7865	0.1133	0.0297	0.2053	6.9245	155.7500
1100.0000	31.9000	1509.6152	1107.8610	0.7514	0.1145	0.0294	0.1979	6.7632	165.5000
1250.0000	36.2500	1642.3026	1331.0891	0.8124	0.0865	0.0274	0.2039	7.4326	138.7500
1400.0000	40.6000	1627.2464	1284.1070	0.7966	0.0822	0.0277	0.1942	7.0196	130.2500
1550.0000	44.9500	1824.9472	1470.5722	0.8017	0.1174	0.0280	0.2113	7.5493	187.5000
1700.0000	49.3000	1719.3715	1334.3651	0.7787	0.1001	0.0279	0.1908	6.8373	157.2500
1780.0000	51.6200	1790.7393	1474.5945	0.8244	0.0877	0.0278	0.1893	6.7842	139.5000
