gate	resource	bytes	checksum_or_evidence	decision
premade_callset	hg38_HGDP_segments.txt	399257886	md5:ba1be23176a3d114a8baf5f4f68ddc6f	stop_after_1MiB_range_zero_matched_S4_S5_ids
premade_callset	hg38_1000g_segments.txt	1059395992	md5:f5fb428cfdd55d767ea166798ab2d905	rejected_over_500MB_cap_and_no_Papuan_population
raw_chr22	local_1000G_phase3_chr22_vcf_gz	205612353	local_inventory	no_Papuan_target
hmmix_helper	hg19_mutationrate.bed	78064	md5:d09efcd4dd29cb93bce79558e4ed5a0c	within_cap
hmmix_helper	hg19_strick_callability_mask.bed	86633076	md5:6f62a2bc4e5aabccc5e89f4c56d85f69	within_cap
hmmix_helper	hg19_ancestral.tar.gz	866503127	md5:3e21f3cd330468d7cf150ac204508a9c	rejected_over_500MB_cap
hmmix_helper	hg19_Outgroup_1000g.txt	873874518	md5:1255a091199bf15a3995c25ca3027aad	rejected_over_500MB_cap
hmmix_helper	hg19_refgenome.tar.gz	928773530	md5:c14d25e735194c193433a3c8518b8946	rejected_over_500MB_cap
tool	WSL	0	not_installed	raw_pilot_not_run
tool	bcftools_vcftools	0	not_found	raw_pilot_not_run
