pulse_label	decoded_decay	decoded_sd	fitted	fraction	n	apparent_single_pulse_gen	apparent_single_pulse_kya	distance_from_real
single 45 kya	1436.9915	54.9315	1868.9203	0.0886	143.7500	1680.1708	48.7250	781.6915
single 14.5 kya (floor)	932.1603	123.4528	1192.5121	0.0934	126.5000	798.3741	23.1529	276.8603
published Jacobs two-pulse	1236.2436	56.5290	1462.4930	0.1121	175.0000	1329.5212	38.5561	580.9436
two 45+29 kya 50/50	1181.6248	53.4622	1614.4176	0.0753	114.5000	1234.1176	35.7894	526.3248
two 45+17 kya 50/50	1099.6906	158.8994	1547.0441	0.0951	140.2500	1091.0019	31.6391	444.3906
two 45+17 kya 25/75	1122.5384	320.5058	1523.5225	0.0803	114.5000	1130.9104	32.7964	467.2384
two 45+17 kya 75/25	1297.5222	124.1736	1657.9800	0.1040	164.2500	1436.5575	41.6602	642.2222
two 50+29 kya 50/50	1476.0244	123.1661	1877.5408	0.0844	139.2500	1748.3501	50.7022	820.7244
continuous 45->17 kya	1173.8955	243.6995	1690.8893	0.1108	159.0000	1220.6167	35.3979	518.5955
continuous 50->30 kya	1303.6622	283.4476	1726.4344	0.0978	147.0000	1447.2823	41.9712	648.3622
