cohort	kind	S1_D	S1_SE	S1_Z	S1_nSNP	S1_D_TV	S1_Z_TV	S1_nSNP_TV	S2_D	S2_SE	S2_Z	S2_nSNP	S2_D_TV	S2_Z_TV	S2_nSNP_TV
Sib_UP	ancient	0.09617253653357445	0.004031260632423739	23.856690326606856	560997	0.11748805069078434	18.76826361576694	104212	0.11301122107818402	0.003020062354376102	37.420161512370626	560998	0.11925211678874988	20.0714206343338	104213
Sib_LGM	ancient	0.0033473405243560055	0.005878930017837304	0.569379209175788	483614	0.035796275265101714	3.095718207619074	90925	0.005227416795158653	0.005209160222053539	1.0035047056198854	483616	0.02349658464980075	1.8815615325030681	90926
Sib_Hol_early	ancient	0.0009828147714708274	0.004802967053018153	0.20462659031842265	560984	0.022131384696252945	2.995309984028175	104209	0.0033864813463520315	0.002805987373316613	1.2068769013558631	560985	0.008681028195973592	1.5438178965228437	104210
Sib_Hol_late	ancient	-0.000926884365736612	0.003904690105563583	-0.23737719016829126	560997	0.01690302455989232	2.4560593468090217	104212	0.0008884357765718234	0.0013949155258818427	0.6369100924661146	560998	0.0017909460401296798	0.5413537907496525	104213
AmBeringian	ancient	-0.001980626204827719	0.004217180553607107	-0.4696564872314081	560989	0.011331039694993186	1.486003995638656	104210	-0.00046199660930916134	0.0021796624455782837	-0.211957870011652	560990	-0.005488121203026045	-1.1082828132171247	104211
AmN_early	ancient	-0.001043568094560303	0.004752537133304065	-0.2195812605539375	560994	0.012109215709493372	1.4801223624338358	104211	0.0007026210460955053	0.0036032285180878504	0.19499763686050364	560995	-0.004226566330001033	-0.5717014894342503	104212
AmN_late	ancient	-0.0026865855312061455	0.004745943121287754	-0.5660804317598255	560996	0.011492442781463481	1.4680429807174498	104211	-0.0013132749925118354	0.0034627646362919247	-0.3792562101241007	560997	-0.004926555314894527	-0.7635470301864548	104212
AmMeso	ancient	-0.0029174937233517268	0.004975391101514906	-0.5863848014809145	560996	0.012164176890646354	1.5243936336746593	104211	-0.001601331582147161	0.004070282692899742	-0.39342023711044605	560997	-0.004143148049982385	-0.6113976881730461	104212
AmCarib	ancient	-0.0023855077324060835	0.00548311945177057	-0.43506397286963583	560996	0.014398018085946691	1.6558697329190681	104211	-0.0009472151798710289	0.004475445240055843	-0.2116471387904212	560997	-0.0013405092865863	-0.17856482117207106	104212
AmS_early	ancient	-0.0025420873513470905	0.005142452820531632	-0.4943336263966515	560995	0.015016805416181339	1.7699752861863425	104211	-0.0011337203241633083	0.004217879299602896	-0.26878918139503083	560996	-0.0006640019143183024	-0.08970507363653067	104212
AmS_late	ancient	-0.0007697549617314505	0.005125375727067926	-0.15018507963547958	560996	0.015929221073573016	1.9713492495145695	104211	0.001042377699220759	0.004045280252893359	0.25767749922275607	560997	0.0005323095728302772	0.0756106233484647	104212
EAsia_early	ancient	-0.005627209330497906	0.004318937671988861	-1.3029151513331723	559593	0.010397897589902151	1.3839824366258364	104064	-0.00477673437563568	0.003204207029264654	-1.4907695826171106	559594	-0.006110588497483621	-0.9229748827187679	104065
