alpha_han	n_markers	mean_S3	sd_S3	FPR	power_papuan
0.0	100	0.4107755049563646	0.11959761625294316	1.0	NA
0.0	500	0.3956138948509482	0.04845149055995726	1.0	NA
0.0	1000	0.40037368791703853	0.03148281554988136	1.0	NA
0.0	5000	0.39982310895332673	0.005353207744164992	1.0	NA
0.0	5520	0.40018839263493805	0.001233463111465378	1.0	NA
0.01	100	0.41009710460597865	0.1163148323706893	NA	1.0
0.01	500	0.39226573597182496	0.043266072135111	NA	1.0
0.01	1000	0.39551489834387604	0.03173239769903946	NA	1.0
0.01	5000	0.3954101571720652	0.0050206544987880675	NA	1.0
0.01	5520	0.39524299622177295	0.0011053328164518906	NA	1.0
0.05	100	0.40024287842100065	0.11400444431063339	NA	1.0
0.05	500	0.3740878086532551	0.04664426335934584	NA	1.0
0.05	1000	0.3742891285673649	0.03020728103954435	NA	1.0
0.05	5000	0.374924808705308	0.004799903073957535	NA	1.0
0.05	5520	0.3742593584807611	0.0012894355657965797	NA	1.0
0.1	100	0.3584924550478166	0.10318519317365102	NA	1.0
0.1	500	0.3500405506692445	0.04391547292382221	NA	1.0
0.1	1000	0.34533504534563036	0.028838215334297063	NA	1.0
0.1	5000	0.345774188947201	0.004433851654242681	NA	1.0
0.1	5520	0.3458439991217796	0.001342968116228382	NA	1.0
0.2	100	0.28241347455341675	0.07733539660375739	NA	1.0
0.2	500	0.2844316852798084	0.03761401333728829	NA	1.0
0.2	1000	0.28520361039832304	0.024737586194260284	NA	1.0
0.2	5000	0.2812997701268322	0.00428507682544641	NA	1.0
0.2	5520	0.2814012410291171	0.0013052079053550282	NA	1.0
0.5	100	0.044747459448527656	0.04296854942337233	NA	0.69
0.5	500	0.04477635829823008	0.019054342159363035	NA	0.94
0.5	1000	0.043925401247289705	0.011626072407309437	NA	0.99
0.5	5000	0.04244519525911006	0.002332801929274068	NA	1.0
0.5	5520	0.042529029721705226	0.0016468550535134769	NA	1.0
