mode	test	X	role	D	SE	Z	nSNP
all_snps	D(Altai,Denisova;X,Mbuti)	Papuan	present-day	0.0034893427224889544	0.00795176998966192	0.4388133367823066	573269
all_snps	D(Altai,Denisova;X,Mbuti)	Han	present-day	0.03892455343383429	0.005979457731318123	6.509712951052785	573269
all_snps	D(Altai,Denisova;X,Mbuti)	Japanese	present-day	0.03802974399891193	0.005880432611103516	6.467167726249192	573267
all_snps	D(Altai,Denisova;X,Mbuti)	Dai	present-day	0.038269916643842446	0.005675123105035835	6.743451364056497	573272
all_snps	D(Altai,Denisova;X,Mbuti)	Karitiana	present-day	0.03446790986944408	0.006074140102689787	5.67453323214932	573272
all_snps	D(Altai,Denisova;X,Mbuti)	French	present-day	0.03572908561776216	0.005642691571345436	6.331922481675347	573270
all_snps	D(Altai,Denisova;X,Mbuti)	Yoruba	present-day	0.0017120103533459115	0.003638735669892231	0.4704959383314085	573272
all_snps	D(Altai,Denisova;X,Mbuti)	USR1.SG	Ancient Beringian	0.025321293353854135	0.006965521051344915	3.6352331960815847	573217
all_snps	D(Altai,Denisova;X,Mbuti)	Kolyma1.SG	Ancient Paleo-Siberian	0.025546851824964127	0.007575704368686623	3.3722081250371057	573157
all_snps	D(Altai,Denisova;X,Mbuti)	MA1.SG	Ancient North Eurasian (Mal'ta)	0.02921923947446125	0.007649105257867598	3.819955209062835	420294
all_snps	D(Altai,Denisova;X,Mbuti)	Yana1.SG	Upper Paleolithic Siberian (Yana)	0.035402363975324806	0.007987078111931395	4.432454957769781	573207
all_snps	D(Altai,Denisova;X,Mbuti)	Sumidouro6.SG	Ancient South America (Lagoa Santa)	0.03733285762429302	0.007767530609123858	4.806271066436646	500741
transversions_only	D(Altai,Denisova;X,Mbuti)	Papuan	present-day	0.0036882077659260953	0.010429645447372361	0.35362733896724174	106468
transversions_only	D(Altai,Denisova;X,Mbuti)	Han	present-day	0.0424207647909811	0.00858669527216807	4.940290000563885	106467
transversions_only	D(Altai,Denisova;X,Mbuti)	Japanese	present-day	0.03806218430288948	0.009134028679824	4.167075190705761	106466
transversions_only	D(Altai,Denisova;X,Mbuti)	Dai	present-day	0.03992873146868016	0.008405578426496928	4.750265769076963	106468
transversions_only	D(Altai,Denisova;X,Mbuti)	Karitiana	present-day	0.035676658244971265	0.009331498777167557	3.8232505942416686	106468
transversions_only	D(Altai,Denisova;X,Mbuti)	French	present-day	0.028230770853787713	0.00877848422227742	3.215904948845912	106468
transversions_only	D(Altai,Denisova;X,Mbuti)	Yoruba	present-day	0.0021232167743415477	0.004893228371897609	0.4339091930667764	106468
transversions_only	D(Altai,Denisova;X,Mbuti)	USR1.SG	Ancient Beringian	0.050740590756701655	0.011615802319152732	4.368238143398667	106448
transversions_only	D(Altai,Denisova;X,Mbuti)	Kolyma1.SG	Ancient Paleo-Siberian	0.02544820670821968	0.011664480897799534	2.1816836026556827	106446
transversions_only	D(Altai,Denisova;X,Mbuti)	MA1.SG	Ancient North Eurasian (Mal'ta)	0.01953414531498059	0.014171507277200686	1.3784098566852792	78349
transversions_only	D(Altai,Denisova;X,Mbuti)	Yana1.SG	Upper Paleolithic Siberian (Yana)	0.02369070619614912	0.013207940848610437	1.7936714335483672	106456
transversions_only	D(Altai,Denisova;X,Mbuti)	Sumidouro6.SG	Ancient South America (Lagoa Santa)	0.03468124831571201	0.012366093893266596	2.804543505414926	96218
