cohort	kind	n_ind	n_snp	date_min	date_max
Denisova	reference	1	574194	NA	NA
Altai	reference	1	1149663	NA	NA
Vindija	reference	1	528415	NA	NA
Chimp	reference	1	1102442	NA	NA
Mbuti	reference	15	1146566	NA	NA
Yoruba	reference	127	1150545	NA	NA
AmBeringian	ancient	23	1150398	505.0	3885.0
AmCarib	ancient	200	1150426	510.0	3188.0
AmMeso	ancient	154	1150399	500.0	9534.0
AmN_early	ancient	7	1150394	8752.0	12712.0
AmN_late	ancient	148	1150457	500.0	7823.0
AmS_early	ancient	31	1150397	8373.0	11885.0
AmS_late	ancient	200	1150439	500.0	7758.0
Dai	present_day	14	1150512	0.0	0.0
EAsia_early	ancient	27	1136156	8196.0	39565.0
EAsia_late	ancient	200	1150461	533.0	7872.0
French	present_day	31	1146591	0.0	0.0
Han	present_day	46	1146579	0.0	0.0
Japanese	present_day	31	1147918	0.0	0.0
Jomon	ancient	16	1150377	2782.0	8820.0
Karitiana	present_day	16	1150399	0.0	0.0
Papuan	present_day	32	1146597	0.0	0.0
Sib_Hol_early	ancient	16	1150289	10123.0	12711.0
Sib_Hol_late	ancient	200	1150483	521.0	9775.0
Sib_LGM	ancient	5	965159	16736.0	24320.0
Sib_UP	ancient	14	1150460	31850.0	110450.0
TT_10_5k	transect	200	1150476	5003.0	9896.0
TT_15_10k	transect	41	1150446	10032.0	14521.0
TT_25_15k	transect	8	1092849	15625.0	24320.0
TT_40_25k	transect	13	1150448	31850.0	39565.0
TT_post5k	transect	200	1150470	500.0	5000.0
TT_pre40k	transect	5	1150329	43449.0	110450.0
