category	n_individuals	n_ancient_usable	median_snps_1240k	median_coverage
West_Eurasian_control	14614	12380	596254.5	0.95463217
Ancient_other	1409	1306	611184.0	1.17741881
Ancient_East_Asian	1343	1253	512514.0	0.8924
Other_present_day	979	0	1101627.0	27.5221
African_outgroup	945	165	1101415.0	0.43536505
Modern_American_admixed	916	0	1101624.0	1.45008165
Present_day_East_Asian	817	0	1101612.0	34.6347412
Philippine_Negrito	450	418	675975.5	1.2678
Ancient_South_America	410	374	438520.0	0.60456494
Ancient_Siberian	283	272	666845.0	1.4187795799999998
Ancient_Caribbean	259	245	682889.0	1.83408089
Ancient_Mesoamerica	193	154	141987.0	0.2053
Ancient_North_America	182	155	343193.5	0.438584565
Papuan_Australasian	99	14	1059565.0	0.927
Ancient_Paleo_Siberian	47	47	761870.0	1.495353885
Oceanian	46	21	325105.0	0.50919663
Ancient_Arctic_Beringian	30	23	204164.0	0.22134918
Andamanese	29	17	1034222.0	1.4349
Ancient_Jomon_Japan	20	16	703503.0	1.286083645
Ancient_North_Eurasian	9	8	370190.0	0.4062
Archaic_reference	9	8	1061350.0	27.6
