mode	test	X	role	D	SE	Z	nSNP
all_snps	D(X,Mbuti;Denisova,Chimp)	Papuan	present-day	0.034485003626997454	0.005822532027628516	5.922681655225347	560995
all_snps	D(X,Mbuti;Denisova,Chimp)	Han	present-day	-0.0033849370791040577	0.004372991878874158	-0.7740551944440203	560996
all_snps	D(X,Mbuti;Denisova,Chimp)	Japanese	present-day	-0.0035071016501190865	0.004345076392208342	-0.8071438413391477	560996
all_snps	D(X,Mbuti;Denisova,Chimp)	Dai	present-day	-0.002277587921449682	0.004142061217508882	-0.5498682423673759	560997
all_snps	D(X,Mbuti;Denisova,Chimp)	Karitiana	present-day	0.0009536704058879218	0.005231179077664267	0.18230505813877387	560997
all_snps	D(X,Mbuti;Denisova,Chimp)	French	present-day	-0.0016222945904294363	0.0037207220191801016	-0.436016069479688	560995
all_snps	D(X,Mbuti;Denisova,Chimp)	Yoruba	present-day	-0.00508532465613307	0.0024717920210349754	-2.057343260621001	560997
all_snps	D(X,Mbuti;Denisova,Chimp)	USR1.SG	Ancient Beringian	-0.00269358054200591	0.005625336524453512	-0.4788301162600374	560963
all_snps	D(X,Mbuti;Denisova,Chimp)	Kolyma1.SG	Ancient Paleo-Siberian	0.007657341519923197	0.005748363423849302	1.3320907109236975	560912
all_snps	D(X,Mbuti;Denisova,Chimp)	MA1.SG	Ancient North Eurasian (Mal'ta)	0.006518825662412347	0.006177880345042082	1.0551880739554762	411245
all_snps	D(X,Mbuti;Denisova,Chimp)	Yana1.SG	Upper Paleolithic Siberian (Yana)	0.0021125318960694907	0.004830450642348863	0.4373364003657943	560951
all_snps	D(X,Mbuti;Denisova,Chimp)	Sumidouro6.SG	Ancient South America (Lagoa Santa)	0.001554864825951071	0.006432472426090511	0.24172118012421506	490210
transversions_only	D(X,Mbuti;Denisova,Chimp)	Papuan	present-day	0.04643710780094521	0.0077719820447744595	5.9749376070892355	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	Han	present-day	0.004349471668614369	0.0067524825264006485	0.6441292741756737	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	Japanese	present-day	0.007091401329039781	0.006935585161661642	1.0224661890447913	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	Dai	present-day	0.007759488474189317	0.006414157976534478	1.2097438981977977	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	Karitiana	present-day	0.01539502145704174	0.008916798869890422	1.7265188641886378	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	French	present-day	0.015538618812499488	0.006337924462968541	2.4516888617542074	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	Yoruba	present-day	0.002407688621237876	0.004332969907190546	0.5556670535011856	104212
transversions_only	D(X,Mbuti;Denisova,Chimp)	USR1.SG	Ancient Beringian	-0.001281734085298827	0.009625230122556954	-0.13316399389714878	104199
transversions_only	D(X,Mbuti;Denisova,Chimp)	Kolyma1.SG	Ancient Paleo-Siberian	0.01837258211936135	0.00958029501148861	1.9177470106431067	104198
transversions_only	D(X,Mbuti;Denisova,Chimp)	MA1.SG	Ancient North Eurasian (Mal'ta)	0.03473960557075566	0.013273424896122217	2.61722997964939	76682
transversions_only	D(X,Mbuti;Denisova,Chimp)	Yana1.SG	Upper Paleolithic Siberian (Yana)	0.03412107902631344	0.008431705704587733	4.04675877239738	104207
transversions_only	D(X,Mbuti;Denisova,Chimp)	Sumidouro6.SG	Ancient South America (Lagoa Santa)	0.015409220181003252	0.009621572873824534	1.6015281891097035	94245
