cohort	contrast	D	SE	Z	nSNP	D_TV	Z_TV	nSNP_TV
Sib_UP	vs_Han	0.113149413114394	0.003446585108064358	32.82942668371825	561000	0.12957210142308118	21.04898080288685	104213
Sib_UP	vs_Papuan	0.07038637569679113	0.005762378332089373	12.214813335810568	560999	0.08206252724597651	10.87569858797444	104213
Sib_LGM	vs_Han	0.004961485507766428	0.005259470821013993	0.9433430998310747	483617	0.03471129060671775	2.533028481615013	90926
Sib_LGM	vs_Papuan	-0.04046334518844714	0.007052573247917138	-5.737387442292404	483616	-0.016569527679142427	-1.2316276741316896	90926
Sib_Hol_early	vs_Han	0.005394680096893867	0.00341752792846351	1.5785328488359323	560987	0.022116916172916896	3.4288015238756135	104210
Sib_Hol_early	vs_Papuan	-0.03990831068242315	0.005990064132380242	-6.662417930835238	560986	-0.030050552677999293	-3.7407042334889895	104210
Sib_Hol_late	vs_Han	0.0030496955648995974	0.0025684751261565225	1.1873564722673313	561000	0.015670225917732226	3.34380474220999	104213
Sib_Hol_late	vs_Papuan	-0.042359766312361116	0.005755122471059246	-7.360358797814547	560999	-0.03630043631485976	-4.588941681170547	104213
AmBeringian	vs_Han	0.0017645283100620132	0.0024846792608330527	0.7101634154061437	560992	0.00877230782876411	1.520140284214577	104211
AmBeringian	vs_Papuan	-0.04375291885810931	0.005771559662634619	-7.580779098822803	560991	-0.043304566734154074	-5.129391715810965	104211
AmN_early	vs_Han	0.003074709643165819	0.0034989138801875593	0.8787611665940743	560997	0.010283706162226635	1.5286088142399927	104212
AmN_early	vs_Papuan	-0.04346735196321629	0.006059465111919788	-7.17346352530525	560996	-0.04323883170197101	-4.414205251268059	104212
AmN_late	vs_Han	0.0009272274491385225	0.002654506437547898	0.3493031457836845	560999	0.009605433607608644	2.026478325323212	104212
AmN_late	vs_Papuan	-0.045710720059470716	0.005386450351884007	-8.486241786946495	560998	-0.0439161282277165	-5.266581068819234	104212
AmMeso	vs_Han	0.0006143866498959133	0.0033563346461684533	0.1830528581520585	560999	0.010385871064199765	1.816268213047131	104212
AmMeso	vs_Papuan	-0.04586448268425543	0.005780209661401085	-7.934743784559915	560998	-0.04308173158908296	-4.712836123222633	104212
AmCarib	vs_Han	0.0013132893583906668	0.004030889442706828	0.32580634548705584	560999	0.013371040370036223	2.1251411598360495	104212
AmCarib	vs_Papuan	-0.045172173981953084	0.005726052948529964	-7.888885133964754	560998	-0.04022965293865043	-4.482800284915081	104212
AmS_early	vs_Han	0.0011171826223435224	0.0035882659763868626	0.31134331448541297	560998	0.01413029532761222	2.06749319347706	104212
AmS_early	vs_Papuan	-0.045396423170897565	0.0061463017547195384	-7.385973709481345	560997	-0.03955513675541991	-3.8484960540172746	104212
AmS_late	vs_Han	0.003459545459941309	0.0034288857551726913	1.0089415941380857	560999	0.015399885287979337	2.641503018933298	104212
AmS_late	vs_Papuan	-0.0432919975784215	0.0057988621099260415	-7.465602174660718	560998	-0.03838028836010781	-4.262845974966238	104212
EAsia_early	vs_Han	-0.0030603507576324367	0.0018115208408572663	-1.6893820311690073	559596	0.008386112032073859	1.8997459207037293	104065
EAsia_early	vs_Papuan	-0.04955561440074039	0.005774648564637633	-8.581580999440453	559595	-0.045389397411526575	-5.788329564002961	104065
EAsia_late	vs_Han	0.0010837892075348783	0.001347883055722194	0.8040676844581189	560999	0.00857683897468565	3.134079337617323	104212
EAsia_late	vs_Papuan	-0.04547918342834281	0.005489000425032872	-8.285512826876936	560998	-0.04479053175634243	-5.979286132121312	104212
Jomon	vs_Han	-0.002109378627568358	0.0036171283836026287	-0.5831638813625506	560992	0.009924958192602796	1.3149120112291286	104210
Jomon	vs_Papuan	-0.04910455910127536	0.006224912688998398	-7.888393228078575	560991	-0.04428710394850091	-4.604340816237798	104210
Karitiana	vs_Han	0.005758868564656936	0.004419725639475432	1.3029923199803968	561000	0.014756106840383063	2.0522948774763217	104213
Karitiana	vs_Papuan	-0.041442072196813465	0.0057390331638855294	-7.221089513404329	560999	-0.039258777861586894	-3.7778919095647954	104213
Papuan	vs_Han	0.04707315195724965	0.005449384452397345	8.638251231575481	560998	0.05301145459196658	6.920123225141687	104213
Papuan	vs_Papuan	0.0	0.0	NA	560999	0.0	NA	104213
