cohort	corr_Papuan	corr_Han	S3_corr	S3_corr_lo	S3_corr_hi	mean_PapuanEnriched	n_PapuanEnriched	mean_HanEnriched	n_HanEnriched	S3_mean
Sib_UP	0.5238583408010994	0.634214755603464	-0.11035641480236458	-0.1693427484420488	-0.06651390079204138	0.08947453945749737	1188	0.14985711148871195	663	-0.06038257203121458
Sib_LGM	0.35550984382281653	0.49595141810398335	-0.14044157428116683	-0.18968539296621104	-0.08917886764078956	0.09714100049485472	1188	0.22551622385472322	663	-0.1283752233598685
Sib_Hol_early	0.4589371554886282	0.6499003900950695	-0.19096323460644132	-0.25464186902746383	-0.14272698163844766	0.09301805441653488	1188	0.20596314371081678	663	-0.1129450892942819
Sib_Hol_late	0.572045154708801	0.7977690188297819	-0.2257238641209809	-0.2970917316458209	-0.16841209954345296	0.09533584927701037	1188	0.20363822385814845	663	-0.10830237458113808
AmBeringian	0.5293301388330302	0.7523951248973012	-0.22306498606427105	-0.2879132673970255	-0.17031989111519147	0.08869093065134404	1188	0.20461721074392353	663	-0.11592628009257949
AmN_early	0.4750772437203735	0.6757904632967277	-0.20071321957635413	-0.2634302391945786	-0.1386506556321736	0.09709595842443733	1188	0.232536088624691	663	-0.13544013020025367
AmN_late	0.5578046473678671	0.8258912487299702	-0.26808660136210316	-0.328721145210869	-0.21852377758669045	0.09367825163556545	1188	0.2341941049221347	663	-0.14051585328656924
AmMeso	0.5237751854715237	0.7700972987276538	-0.24632211325613007	-0.3009584509630888	-0.201296581019584	0.09537882452849487	1188	0.23035779666593847	663	-0.1349789721374436
AmCarib	0.5152477094546568	0.7632149201043146	-0.24796721064965777	-0.29889167743330314	-0.20493828040953269	0.09377030294383829	1188	0.23101124885810895	663	-0.13724094591427066
AmS_early	0.49558658015833706	0.7412667442856519	-0.2456801641273148	-0.3080927836346629	-0.18836244962931634	0.08778477398057778	1188	0.22722705612085523	663	-0.13944228214027743
AmS_late	0.5267366371059845	0.7827966903266529	-0.2560600532206684	-0.30903440946496197	-0.20829549568586708	0.09225945923475844	1188	0.23683563379506226	663	-0.1445761745603038
EAsia_early	0.5369018744819221	0.8379228222994428	-0.30102094781752076	-0.3542096646295006	-0.25887386047058814	0.09432985480143528	1188	0.2614683729342439	663	-0.1671385181328086
EAsia_late	0.607955598718894	0.9404846523712297	-0.33252905365233565	-0.392797886259943	-0.27944850297550744	0.09043338838008291	1188	0.24879119610961745	663	-0.15835780772953453
Jomon	0.46877187580805746	0.7138416348839397	-0.24506975907588224	-0.3014853426182474	-0.20292549664150372	0.09796388545747758	1188	0.2412670240997369	663	-0.14330313864225933
Papuan	0.9999999999999999	0.5988524864577912	0.4011475135422087	0.35661437235196297	0.45205308797867777	0.2938492385425953	1188	0.09271775525439739	663	0.2011314832881979
Han	0.5988524864577912	1.0	-0.4011475135422088	-0.4520530879786775	-0.35661437235196286	0.08033055545737094	1188	0.28085114945113926	663	-0.20052059399376831
Japanese	0.5833527333440154	0.9320789975159427	-0.3487262641719273	-0.3901822484342617	-0.30797865429622456	0.08589608583800018	1188	0.26837194797500047	663	-0.1824758621370003
Dai	0.5808556522128164	0.9107606613916583	-0.3299050091788419	-0.372508062386138	-0.2969848071037176	0.08586444549877134	1188	0.24767549396640035	663	-0.161811048467629
Karitiana	0.47977733040708137	0.7081497520212813	-0.2283724216141999	-0.29074480930750574	-0.17824643718763572	0.08928056909179045	1188	0.23828472311680132	663	-0.14900415402501088
French	0.5397285528509598	0.7205394777842118	-0.18081092493325202	-0.24514568436646636	-0.12504933432858933	0.09085015101226593	1188	0.1822759282984525	663	-0.09142577728618656
Mbuti	0.05478316876898737	0.12336762460883084	-0.06858445583984348	-0.09569549493340969	-0.04090635393153903	0.01964347682241037	1188	0.03152589492645918	663	-0.01188241810404881
Yoruba	0.28150848055141436	0.38342521004336905	-0.10191672949195468	-0.1330708904620108	-0.0714859566466734	0.04418260759206784	1188	0.06980073183696284	663	-0.025618124244895
