chromosome	n_SNP_panel	n_set_A	n_set_B	n_set_F
1	93166	895	1014	1232
2	98657	901	1018	1261
3	81416	909	986	1004
4	71634	685	766	828
5	74004	705	788	779
6	78867	778	889	831
7	62595	533	585	786
8	63916	632	686	767
9	52765	445	502	597
10	61131	523	602	841
11	57163	536	606	652
12	56133	511	557	751
13	40441	349	379	364
14	37903	393	436	442
15	35991	407	434	402
16	36000	387	422	473
17	30733	303	324	383
18	35327	292	332	399
19	19273	175	194	244
20	30377	282	328	417
21	16727	165	180	183
22	16420	136	152	216
