sample	role	n_callable_diag_markers	mean_denisovan_marker_allele	pct
[pool] Papuan	present-day control	12126	0.08844053745269775	8.844053745269775
[pool] Han	present-day control	12127	0.058532439172267914	5.853243917226791
[pool] Japanese	present-day control	12143	0.05875933915376663	5.875933915376663
[pool] Dai	present-day control	12180	0.056261755526065826	5.626175552606583
[pool] French	present-day control	12127	0.05613827332854271	5.613827332854271
[pool] Mbuti	present-day control	12127	0.018975362181663513	1.8975362181663513
[pool] Yoruba	present-day control	12127	0.03677638620138168	3.6776386201381683
USR1.SG	Ancient Beringian	12180	0.06518883258104324	6.518883258104324
Kolyma1.SG	Ancient Paleo-Siberian	12177	0.06315184384584427	6.315184384584427
MA1.SG	Ancient North Eurasian (Mal'ta)	8949	0.06481171399354935	6.481171399354935
Yana1.SG	Upper Paleolithic Siberian (Yana)	12178	0.06314665824174881	6.314665824174881
Sumidouro6.SG	Ancient South America (Lagoa Santa)	10857	0.05968499556183815	5.968499556183815
Anzick-1.SG	Anzick-1 (Clovis)	0		
SpiritCave.SG	Spirit Cave	0		
