sample,mode,pseudo_haploid_AADR_calls,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
femurXIII,all_snps,2510,-0.039707262072640886,0.07006725152145316,1106,-0.011875574853672988,0.060509436894069145,-0.19625988049538398,2394,-0.05084037782999413,0.08859084178767201,-0.5738784822910318,1099
femurXIII,transversions_only,563,0.07731466156578033,0.15379183775756283,324,0.20306180456465367,0.1214241751253826,1.6723342312597311,521,0.12966252515104262,0.23491851480933632,0.5519468112433745,217
femur_fragment,all_snps,4457,0.31210650106845267,0.052523356010697984,2045,0.23894330932679858,0.03702402463755787,6.45373677405157,4254,0.2102497442228127,0.08165946656994304,2.5747136621659097,2096
femur_fragment,transversions_only,894,0.15278756473095642,0.13114431523799558,554,0.043403046656566746,0.10014501624168766,0.43340196332705005,847,-0.08163600271264523,0.2147250855003665,-0.38018847459024946,410
incisor,all_snps,14639,0.006275724088148379,0.04295818455651814,6428,0.008787159813666581,0.02541180019062678,0.3457905283273773,13943,0.030526838134285278,0.03597754864264187,0.8484968900327963,6944
incisor,transversions_only,2889,0.05684945482311585,0.07666009436325238,1745,0.03292473447338537,0.06628915676690354,0.49668356152365234,2736,0.02950552411188303,0.08812671581076076,0.33480793923197855,1267
scapula,all_snps,3010,0.07284666490096779,0.07374352324174814,1361,-0.019478613790808515,0.048459280319696645,-0.4019583795364638,2887,0.11867770386094122,0.0723176823687461,1.6410606641928387,1499
scapula,transversions_only,634,0.10790968322220756,0.14336084380742656,375,0.04529755191618513,0.12721986082614553,0.3560572352620891,602,0.01506360739663749,0.14992889977247187,0.10047167303633671,286
molar,all_snps,1356,0.08487486195858127,0.10084881497074771,577,0.09266726703967525,0.08117397991341856,1.1415883160899047,1290,0.11962549591282358,0.15060258745914507,0.7943123549937358,625
molar,transversions_only,266,0.44927065376583275,0.19427134597768192,150,0.43179893533295505,0.15612671271009537,2.765695426731638,249,0.37528176735424373,0.2650302552524138,1.415995947318644,119
Sima_combined,all_snps,25765,0.06727817066649687,0.025574310676243037,11427,0.04892179250178177,0.0175506365009779,2.787465428906576,24568,0.06672520123715829,0.026164341821036063,2.5502342727960925,12164
Sima_combined,transversions_only,5204,0.09851111981345649,0.052473179755955474,3123,0.07200466083205244,0.04448865349194518,1.6184949460223408,4914,0.03145395008788738,0.06692366314811361,0.4699974360081629,2278
