genetic_id,group_id,country,continent,is_modern,lat,lon,date_bp,alpha_Nea,alpha_SE,alpha_nSNP,D_Den_Z,high_conf
Oase1_d.AG.BY.AA,Romania_IUP,Romania,Eurasia,False,45.12,21.9,39982.0,0.097978,0.021787,25775,1.297,False
I6558.AG,Ukraine_DonetsBasin_Eneolithic_SeredniiStih-3,Ukraine,Eurasia,False,49.5406778,37.6979944,5456.0,0.081608,0.023636,15162,1.012,False
WEZ39.SG,Germany_Tollensebattlefield_BA,Germany,Eurasia,False,53.74,13.31,3200.0,0.080713,0.020645,16233,0.679,False
I18733.AG,Croatia_MLBA,Croatia,Eurasia,False,44.8520052,15.4199444,3100.0,0.078408,0.02208,15928,1.694,False
GER003_d.AG,Spain_Gravettian,Spain,Eurasia,False,42.1686,2.7445,27203.0,0.077066,0.017301,26251,1.477,False
I3525.AG,Hungary_LateC_EBA_Yamnaya,Hungary,Eurasia,False,47.24207,21.19861,4675.0,0.07502,0.021568,15940,0.875,False
CGG_2_106040.SG,Denmark_SdrTranderAalborg_PreImperialRoman,Denmark,Eurasia,False,57.0508547,9.90639486,1764.0,0.072427,0.021467,14518,-0.673,False
VK247.SG,Denmark_Viking-o,Denmark,Eurasia,False,55.6,11.95,1075.0,0.071378,0.021441,22385,2.056,False
CAN.019.SG,Spain_LaFortaleza_LateAntiquity,Spain,Eurasia,False,,,1370.0,0.070972,0.019905,14455,0.177,False
I5504.AG,England_Anglian,United Kingdom,Eurasia,False,53.919396,-0.766635,1350.0,0.070124,0.016779,28150,1.233,False
DayindongM1_LowCov.AG,China_LBA,China,Eurasia,False,24.0,105.0,3300.0,0.070001,0.025355,14454,1.671,False
I2563.AG,Peru_LIP,Peru,Americas,False,-13.754052,-74.225667,650.0,0.068384,0.023153,15523,0.605,False
MA1864.SG,Italy_Sicily_Epigravettian,Italy,Eurasia,False,37.85,14.7,12200.0,0.068146,0.015209,40944,1.804,False
I17611.AG,Czechia_LBA,Czechia,Eurasia,False,50.07885,14.280243,3050.0,0.067717,0.02093,17415,-1.304,False
pcw110.SG,Poland_CordedWare,Poland,Eurasia,False,50.011944,22.594167,4300.0,0.067285,0.020497,21377,2.221,False
I4616.AG,Turkey_BA,Turkey,Eurasia,False,37.5432,41.8662,4678.0,0.067048,0.025516,13623,0.949,False
cambridgeshire106.SG,England_Cambridgeshire_Medieval,United Kingdom,Eurasia,False,52.205,0.1225,700.0,0.066293,0.019388,19381,1.861,False
I20072.TW,Moldova_Eneolithic_Cernavoda_Skelya_SeredniiStih_II,Moldova,Eurasia,False,45.495589,28.221075,6168.0,0.066078,0.020487,14027,1.019,False
NEO33.SG,Denmark_MN-oWHG,Denmark,Eurasia,False,57.391,9.761,5133.0,0.06554,0.020428,22949,1.353,False
I12951.AG,Argentina_Chaco_1400BP_Chaco,Argentina,Americas,False,-26.89,-59.01,1100.0,0.065318,0.016021,29242,0.24,False
I0725.AG,Turkey_N,Turkey,Eurasia,False,40.26,29.65,7950.0,0.065056,0.017964,19970,0.501,False
poz637.SG,Ukraine_LBA,Ukraine,Eurasia,False,50.091,26.057,3532.0,0.064846,0.018358,18057,1.664,False
DA207.SG,Kazakhstan_EarlyModern_KazakhKhanate,Kazakhstan,Eurasia,False,41.415234,68.798064,200.0,0.064649,0.012873,36358,0.024,False
NEO571.SG,Denmark_EN,Denmark,Eurasia,False,55.404,11.497,5495.0,0.064555,0.015656,22408,0.898,False
M79_wcg.TW,Henan_Wangchenggang,China,Eurasia,False,34.458,113.032,3700.0,0.063812,0.012824,33842,1.697,False
NEO650.SG,Spain_C,Spain,Eurasia,False,43.402,-4.707,4096.0,0.063676,0.016465,33055,-0.653,False
cambridgeshire501.SG,England_Cambridgeshire_Medieval,United Kingdom,Eurasia,False,52.205,0.1225,700.0,0.063613,0.017732,22673,1.511,False
DOG010_d.AG,Netherlands_Mesolithic,Netherlands,Eurasia,False,52.01,3.53,8699.0,0.063502,0.021173,16726,1.356,False
IKI030.AG,Turkey_C,Turkey,Eurasia,False,41.6136944,35.8711361,5397.0,0.063063,0.018886,19214,0.237,False
YCH030.IM,Mexico_LateClassic,Mexico,Americas,False,20.683056,-88.568611,1101.0,0.062519,0.027705,12668,-0.114,False
GoyetQ-2_d.AG,Belgium_Magdalenian,Belgium,Eurasia,False,50.446,5.008,15077.0,0.060571,0.012298,42320,1.022,False
ARO013.AG,Georgia_Arukhlo2_N_Caucasus,Georgia,Eurasia,False,41.469597,44.679196,7485.0,0.060126,0.013551,24128,1.561,False
NEO594.SG,Denmark_MN,Denmark,Eurasia,False,55.391,10.078,5138.0,0.059793,0.01832,29917,-0.46,False
CUC001.AG,Cuba_PreCeramic,Cuba,Americas,False,23.049639,-81.317111,2000.0,0.05954,0.021539,16987,2.129,False
LEO040.AG,Austria_Avar,Austria,Eurasia,False,47.916667,16.216667,1225.0,0.059524,0.018156,27117,1.406,False
NEO757.SG,Denmark_EN,Denmark,Eurasia,False,55.902,11.118,5412.0,0.059344,0.012236,45817,0.912,False
LSC005.SG,Italy_Lazio,Italy,Eurasia,False,41.425119,13.236332,4633.0,0.05923,0.01157,65026,0.052,False
CCH294.SG,Turkey_N,Turkey,Eurasia,False,37.6661,32.8257,8500.0,0.058316,0.020866,21126,0.829,False
MGS290.AG,Austria_Avar,Austria,Eurasia,False,48.08152,16.28535,1225.0,0.058257,0.021959,18055,0.797,False
I7895.AG,Slovakia_N_LBK,Slovakia,Eurasia,False,48.317816,18.049592,6975.0,0.058256,0.020267,20538,0.513,False
I17968.AG.TW,Netherlands_EN_LateMesolithic_Swifterbant,Netherlands,Eurasia,False,52.02,5.124,6750.0,0.057934,0.015042,27764,1.417,False
ROT006.AG,Russia_Rostovka_EMBA_Irtysh_SeimaTurbino,Russia,Eurasia,False,55.029025,73.572794,3975.0,0.057533,0.023597,16558,0.402,False
SuogangB3.AG,China_Penghu_Suogang_LN,China,Eurasia,False,23.5,119.6,4575.0,0.057421,0.020932,13479,-0.281,False
cambridgeshire1156.SG,England_Cambridgeshire_Medieval,United Kingdom,Eurasia,False,52.205,0.1225,700.0,0.057381,0.021509,16285,1.352,False
I19022.AG,Croatia_MBA_Cetina,Croatia,Eurasia,False,43.9672237,16.4326708,3550.0,0.057261,0.018557,23237,1.213,False
PCA0400.SG,Poland_EarlyMedieval_Slav,Poland,Eurasia,False,52.74,15.41,850.0,0.057244,0.016343,29259,0.518,False
I1690.AG,Israel_Natufian,Israel,Eurasia,False,32.65,35.067,12700.0,0.057244,0.020766,13595,0.637,False
MGS358.AG,Austria_Avar,Austria,Eurasia,False,48.08152,16.28535,1225.0,0.057058,0.019818,21332,-1.239,False
poz535.SG,Poland_BA,Poland,Eurasia,False,50.536,21.53,3150.0,0.056896,0.023173,13976,-0.475,False
CGG_2_105325.SG,Denmark_Lundbjerggard_Roman,Denmark,Eurasia,False,55.6272,12.1338,1693.0,0.056739,0.020729,13592,2.094,False
I8528.AG,Turkmenistan_C,Turkmenistan,Eurasia,False,37.1907,61.0343,5050.0,0.056656,0.022209,13734,0.432,False
PCA0531.SG,Poland_IA_Wielbark,Poland,Eurasia,False,54.56,17.69,1750.0,0.056483,0.024224,14304,-0.136,False
HongtupoM3_LowCov.AG,China_Roman,China,Eurasia,False,25.6,100.36,1900.0,0.056285,0.019848,18228,0.039,False
