genetic_id,group_id,country,continent,is_modern,lat,lon,date_bp,alpha_Nea,alpha_SE,alpha_nSNP,D_Den_Z,high_conf
A_Papuan-16.DG,Papuan-Discovery,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.031006,0.004357,505773,7.243,True
HGDP00542.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.029377,0.004502,467875,6.408,True
S_Papuan-5.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.027751,0.004969,495146,6.061,True
S_Bougainville-2.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.03195,0.004792,494394,5.967,True
B_Australian-4.DG,Australian,Australia,Oceania,True,-13.0,143.0,0.0,0.030362,0.005007,494752,5.963,True
S_Papuan-3.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.034551,0.00553,494697,5.857,True
S_Papuan-4.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.027108,0.004586,494726,5.684,True
HGDP00545.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.025569,0.0051,466293,5.563,True
S_Papuan-1.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.034945,0.005011,494530,5.56,True
HGDP00656.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.030912,0.004773,468695,5.558,True
HGDP00541.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.033124,0.005568,466526,5.521,True
HGDP00543.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.026356,0.004694,466825,5.287,True
HGDP00550.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.033244,0.005054,466335,5.237,True
PA86.SG,Australia_PreEuropean,Australia,Oceania,False,-19.95,147.04,850.0,0.030411,0.004648,476864,5.23,True
S_Papuan-2.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.028883,0.005258,494550,5.224,True
B_Papuan-15.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.025715,0.004827,494427,5.195,True
S_Papuan-10.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.02971,0.004921,494850,5.112,True
HGDP00544.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.025323,0.004729,466744,5.073,True
S_Papuan-6.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.031283,0.005176,494720,4.998,True
S_Papuan-13.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.033589,0.005353,494504,4.961,True
S_Papuan-14.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.029946,0.005172,494889,4.954,True
I5259.AG,Vanuatu_500BP,Vanuatu,Oceania,False,-17.63795,168.20555,480.0,0.027277,0.004853,356880,4.885,True
S_Papuan-9.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.024714,0.004897,494898,4.856,True
HGDP00552.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.032465,0.00548,468713,4.843,True
B_Australian-3.DG,Australian,Australia,Oceania,True,-13.0,143.0,0.0,0.027413,0.005274,494111,4.829,True
HGDP00553.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.027601,0.005134,467910,4.827,True
HGDP00540.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.028089,0.005466,468727,4.811,True
HGDP00787.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.022525,0.004857,468342,4.797,True
HGDP00546.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.024749,0.004998,468040,4.779,True
HGDP00554.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.029606,0.005217,468498,4.617,True
HGDP00547.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.029711,0.005366,466990,4.602,True
HGDP00551.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.023817,0.004975,467791,4.602,True
S_Papuan-12.DG,Papuan,Papua New Guinea,Oceania,True,-4.0,143.0,0.0,0.030177,0.005291,493761,4.586,True
