genetic_id,group_id,locality,country,region,lat,lon,date_bp,full_date,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,D_Den_Z,coverage,snps_hit,assessment,data_type,high_conf
Oase1_d.AG.BY.AA,Romania_IUP,"Oase Cave (Caraș-Severin, Anina)",Romania,Europe,45.12,21.9,39982.0,"39956-35756 calBCE (34950±990 BP) [R_Combine: (34290±970-870 BP, GrA-22810), (>35200 BP, OxA-11711)]",0.097978,0.021787,0.055275479999999995,0.14068052,25775,4.354,1.297,0.051,55822.0,Pass,AA,False
I6558.AG,Ukraine_DonetsBasin_Eneolithic_SeredniiStih-3,"Оleksandria (Donets Basin, Kharkiv Region, Kupianskyi District)",Ukraine,Europe,49.5406778,37.6979944,5456.0,"3636-3372 calBCE (4730±60 BP, Ki-8301)",0.081608,0.023636,0.03528144,0.12793456,15162,2.671,1.012,0.08558549,33424.0,Pass,AG,False
WEZ39.SG,Germany_Tollensebattlefield_BA,"Tollense-battlefield (Mecklenburg-Vorpommern, Mecklenburg-Vorpommern, Mecklenburgische Seenplatte)",Germany,Europe,53.74,13.31,3200.0,1300-1200 BCE,0.080713,0.020645,0.040248799999999994,0.12117719999999998,16233,1.952,0.679,0.05283325,37172.0,Pass,SG,False
I18733.AG,Croatia_MLBA,"Bezdanjača Cave (Lika-Senj County, Općina Vrhovine)",Croatia,Europe,44.8520052,15.4199444,3100.0,1500-800 BCE,0.078408,0.02208,0.03513120000000001,0.12168480000000001,15928,3.508,1.694,0.03575578,36289.0,Pass,AG,False
GER003_d.AG,Spain_Gravettian,"Mollet III (Catalonia, Girona, Serinyà)",Spain,Europe,42.1686,2.7445,27203.0,"25372-25126 calBCE (22860±80 BP, ETH-66710)",0.077066,0.017301,0.04315603999999999,0.11097596,26251,3.86,1.477,0.0512,56200.0,Pass,AG,False
I3525.AG,Hungary_LateC_EBA_Yamnaya,"Sárrétudvari-Őrhalom (Hajdú-Bihar County, Püspökladány)",Hungary,Europe,47.24207,21.19861,4675.0,2950-2500 BCE,0.07502,0.021568,0.03274672,0.11729328,15940,3.966,0.875,0.03401675,35743.0,Pass,AG,False
CGG_2_106040.SG,Denmark_SdrTranderAalborg_PreImperialRoman,"Sdr. Trander, Aalborg (Jutland)",Denmark,Europe,57.0508547,9.90639486,1764.0,1-200 calCE (1850±100 BP),0.072427,0.021467,0.030351680000000006,0.11450232,14518,1.689,-0.673,0.0288,32593.0,PROVISIONAL_PASS,SG,False
VK247.SG,Denmark_Viking-o,Lejre (Zealand Region),Denmark,Europe,55.6,11.95,1075.0,850-900 CE,0.071378,0.021441,0.029353639999999993,0.11340236000000001,22385,3.965,2.056,0.05731598,48431.0,Pass,SG,False
CAN.019.SG,Spain_LaFortaleza_LateAntiquity,"La Fortaleza (Canary Islands Islands, Gran Canaria Region)",Spain,Unknown,,,1370.0,"481-646 calCE (1496±33 BP, D-AMS 021461)",0.070972,0.019905,0.0319582,0.1099858,14455,2.673,0.177,0.0284,32179.0,PROVISIONAL_PASS,SG,False
I5504.AG,England_Anglian,"Pocklington (England, East Yorkshire)",United Kingdom,Europe,53.919396,-0.766635,1350.0,400-800 CE,0.070124,0.016779,0.03723716000000001,0.10301083999999999,28150,1.972,1.233,0.06091659,64651.0,Pass,AG,False
DayindongM1_LowCov.AG,China_LBA,"Dayindong (Yunnan, East_YN)",China,East Asia,24.0,105.0,3300.0,1500-1200 calBCE,0.070001,0.025355,0.020305199999999995,0.11969679999999999,14454,1.976,1.671,0.0327,34268.0,PROVISIONAL_PASS,AG,False
MA1864.SG,Italy_Sicily_Epigravettian,"San Teodoro (Sicily, Messina)",Italy,Europe,37.85,14.7,12200.0,12000-8500 BCE,0.068146,0.015209,0.03833636,0.09795564,40944,3.138,1.804,,88404.0,Pass,SG,False
I17611.AG,Czechia_LBA,"Hostivice-Palouky (Central Bohemian Region, Prague-West District)",Czechia,Europe,50.07885,14.280243,3050.0,1300-900 BCE,0.067717,0.02093,0.0266942,0.1087398,17415,1.383,-1.304,0.04030022,40809.0,Pass,AG,False
pcw110.SG,Poland_CordedWare,"Szczytna (Subcarpathian Province, Jarosław County, Pawłosiów)",Poland,Europe,50.011944,22.594167,4300.0,2500-2200 BCE,0.067285,0.020497,0.027110879999999997,0.10745911999999999,21377,1.688,2.221,0.05022514,46210.0,Pass,SG,False
I4616.AG,Turkey_BA,"Tatika (Southeast, Şırnak, Güçlükonak, Koçtepe köyü)",Turkey,Europe,37.5432,41.8662,4678.0,"2871-2581 calBCE (4130±30 BP, PSUAMS-3064)",0.067048,0.025516,0.01703664,0.11705936,13623,2.325,0.949,0.02973304,31035.0,Pass,AG,False
cambridgeshire106.SG,England_Cambridgeshire_Medieval,Cambridgeshire (England),United Kingdom,Europe,52.205,0.1225,700.0,1000-1500 CE,0.066293,0.019388,0.02829252000000001,0.10429348,19381,2.023,1.861,0.0381,42994.0,Pass,SG,False
I20072.TW,Moldova_Eneolithic_Cernavoda_Skelya_SeredniiStih_II,Giurgiuleşti (Cahul Distict),Moldova,Europe,45.495589,28.221075,6168.0,"4330-4058 calBCE (5370±26 BP, MAMS-23175)",0.066078,0.020487,0.02592348,0.10623252,14027,2.167,1.019,0.04164903,31873.0,Questionable,TW,False
NEO33.SG,Denmark_MN-oWHG,Vittrup (Jutland Region),Denmark,Europe,57.391,9.761,5133.0,"3353-3102 calBCE (4513±19 BP, UBA-39121; UBA-29904)",0.06554,0.020428,0.025501119999999995,0.10557888000000001,22949,4.242,1.353,0.065,51361.0,Pass,SG,False
I0725.AG,Turkey_N,"Menteşe (Marmara, Bursa, Yenişehir)",Turkey,Europe,40.26,29.65,7950.0,6400-5600 BCE,0.065056,0.017964,0.02984656,0.10026544000000001,19970,2.902,0.501,0.0431256,45416.0,Pass,AG,False
poz637.SG,Ukraine_LBA,"Kordyshiv-8 (Ternopil Oblast, Kremenets District)",Ukraine,Europe,50.091,26.057,3532.0,"1686-1504 calBCE (3315±35, Poz-83756)",0.064846,0.018358,0.028864320000000006,0.10082768,18057,3.245,1.664,0.0358,40432.0,Pass,SG,False
DA207.SG,Kazakhstan_EarlyModern_KazakhKhanate,"Konyrtobe (Turkistan Region, Keles District)",Kazakhstan,Central Asia / Steppe,41.415234,68.798064,200.0,1650-1850 CE,0.064649,0.012873,0.039417919999999995,0.08988008,36358,3.251,0.024,0.08721067,80224.0,Pass,SG,False
