label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
ANC_Africa,ancient-other,196,2227.5,73.0,15950.0,Africa,1.47663255,301732.0,0.093,0.008943443877551022,,0.03453297258966904,0.004049837806511419,8.527001386116293,0.016324490681433275,0.002061637806978785,7.91821464768145,,,False,507219
ANC_Americas,ancient-other,855,883.0,60.0,12712.0,Americas,1.7777939,305649.0,0.097,0.02023495555555556,,0.07869144214465712,0.008205654976793087,9.589903836708853,0.03314808774435183,0.0037575127759487898,8.82181637718631,2.37393610007158,0.36858086574941673,True,507219
ANC_Oceania,ancient-other,160,525.0,135.0,2885.0,Oceania,3.2626219,321723.5,0.11,0.021164131250000003,,0.0727763986428598,0.007941294716298033,9.164298926408026,0.03521295658037539,0.0038478543410103453,9.151322648853021,2.066750585874376,0.3068300725668305,True,507089
CTRL_Chimp,control-reference,1,,,,,,,,,Chimp as the test population,-0.08454532171448904,0.011173644595733574,-7.566494619559578,-1.0,0.0,,,,False,507219
CTRL_Denisova,control-reference,1,,,,,,,,,Denisova as the test population,-0.14666706046406391,0.021798261474950658,-6.728383391152799,0.047960849576042644,0.008154234123882102,5.881711126686321,-3.058058015246813,0.5661661771384785,True,258424
CTRL_Mbuti,control-reference,15,,,,,,,,,Mbuti as the test population,-0.0211943636369989,0.005137712543490349,-4.1252529131574045,-0.0003529747456882419,0.0024648838202110303,-0.1432013723300038,,,False,505844
Caucasus_Bronze,grid,307,3842.0,3001.0,4991.0,Caucasus,2.1180179,324573.0,0.115,0.01832681107491857,,0.07113024251146137,0.0060836792550256645,11.691977753873433,0.030173972934722484,0.0036657042091094876,8.231425999877025,2.3573376520666507,0.34422442345388937,True,507219
Caucasus_Iron_Classical,grid,127,2599.0,1513.0,2987.0,Caucasus,2.06290157,331625.0,0.119,0.01932486614173228,,0.06868836838819892,0.006164438384682458,11.142680663152932,0.030371121043612732,0.003607987885167774,8.417744740348665,2.261634277166222,0.3231638736895904,True,507219
Caucasus_Medieval_Recent,grid,36,975.0,168.0,1470.0,Caucasus,2.056186605,355795.5,0.096,0.019872833333333336,,0.07196202841290465,0.006109897191391017,11.777944236819692,0.03083408551743412,0.0035268139144947275,8.7427594040928,2.333846689638844,0.33087539671894034,True,507219
Caucasus_Neolithic,grid,98,5534.0,5040.0,7920.0,Caucasus,2.1233692800000004,335198.0,0.127,0.018266030612244896,,0.0696914335354593,0.006492520154770085,10.73411123479635,0.03015497260589051,0.0036838779571061486,8.185660045475174,2.3111091641928962,0.3324203330132143,True,507218
CentralAsia_Bronze,grid,74,3760.0,3003.0,4998.0,CentralAsia,1.72860385,297691.0,0.126,0.018995472972972972,,0.0677848126380172,0.006230277861430057,10.879902011699093,0.03091925084608131,0.0034958499971022446,8.844558797348478,2.1923174327688537,0.3022382982558854,True,507201
CentralAsia_Iron_Classical,grid,134,2837.5,1588.0,2950.0,CentralAsia,1.823694925,309871.5,0.133,0.018006111940298507,,0.0715679413941012,0.005982421810807252,11.963038324180625,0.0302291808567286,0.003619417566927585,8.351946217244352,2.367511767298556,0.3413864361903721,True,507218
CentralAsia_Medieval_Recent,grid,43,1000.0,382.0,1475.0,CentralAsia,0.90362138,257866.0,0.0917258,0.01907560465116279,,0.0695164906601158,0.005993537030187953,11.5985753170421,0.02998808633029469,0.003497625077163772,8.573842441286493,2.318136939264729,0.3353601406420849,True,507219
CentralAsia_Neolithic,grid,35,5163.0,5000.0,7686.0,CentralAsia,1.68259376,335404.0,0.186,0.01911422857142857,,0.06271985453391833,0.006870481616707486,9.128887614137206,0.025835969764326356,0.003730344622091366,6.925893551851458,2.4276175853294384,0.3991221578463703,True,507217
EastAsia_Bronze,grid,212,4153.5,3001.0,4996.0,EastAsia,1.163623,289283.0,0.0835,0.02236985849056604,,0.07435554559714387,0.007879379035425627,9.43672658249361,0.03332227375144215,0.003662056922056352,9.099332550169843,2.2314067206751114,0.350247731636303,True,507219
EastAsia_Iron_Classical,grid,204,2051.0,1528.0,2968.0,EastAsia,1.776213045,299059.0,0.155,0.022517151960784312,,0.07516836646483106,0.007544165746009588,9.96377452398771,0.033843696863464036,0.0037609811847786933,8.998634983986365,2.2210447862148026,0.3489474254472111,True,507219
EastAsia_LateGlacial_Meso,grid,20,9417.0,8142.0,14521.0,EastAsia,3.34410271,275526.0,0.4275,0.02095135,,0.07089902976763633,0.008329461469426157,8.511838373690297,0.03318615838086442,0.003903634665427314,8.501348416330776,2.1364036461815257,0.3746343436190285,True,507218
EastAsia_Medieval_Recent,grid,111,700.0,142.0,1496.0,EastAsia,1.82970767,336223.0,0.242,0.022917729729729722,,0.07421157579837374,0.007432076335276848,9.985308606980196,0.03396835744023303,0.0035112724680706636,9.67408759904571,2.184726651235587,0.3233872661226638,True,507219
EastAsia_Neolithic,grid,150,6950.0,5075.0,7944.0,EastAsia,1.2392527100000001,245747.5,0.089,0.020061353333333334,,0.07590787659106202,0.007542588948200134,10.063902078234781,0.031215525696292826,0.003971475085242564,7.859932399496921,2.4317346864376814,0.40410031881628194,True,507219
Europe_Bronze,grid,1432,4044.0,3000.0,4998.0,Europe,1.330430815,295112.0,0.108,0.02073380027932961,,0.07502880956317765,0.006127977555159301,12.243649538175767,0.032290996831741595,0.003869247843312387,8.345548835170483,2.3235210097145527,0.3299567546435636,True,507219
Europe_Iron_Classical,grid,1646,2175.0,1500.0,2993.0,Europe,1.6182464699999999,329557.5,0.116,0.02066665613608748,,0.07481129484582384,0.006060573368589379,12.343930234976504,0.031505996134651486,0.003810272431006684,8.268699077332778,2.3745097449416477,0.33463165875432377,True,507219
Europe_LateGlacial_Meso,grid,145,8704.0,8001.0,14021.0,Europe,2.5722,387986.0,0.224,0.02284624827586207,,0.07648466856194479,0.006159155349982746,12.418045042841637,0.032814467368091065,0.004113997287443309,7.976297764766878,2.330821576470835,0.3457140741533503,True,507219
Europe_Medieval_Recent,grid,2984,1175.0,100.0,1498.0,Europe,1.69650342,331475.5,0.154,0.022128825402144774,,0.07624286889799806,0.006055717738188579,12.590228308891467,0.03293676073919077,0.0036949738969476566,8.913935972971057,2.3148259630546564,0.3106958114790209,True,507219
Europe_Neolithic,grid,1462,6427.0,5000.0,7994.0,Europe,1.63508103,322542.0,0.116,0.020602561559507522,,0.07441892564956344,0.006461407961250723,11.517447295675524,0.03189852927586511,0.003822618651959848,8.34467996422055,2.3329892424184546,0.3330831738131502,True,507219
Europe_Palaeolithic,grid,28,30940.5,15411.0,45875.0,Europe,1.00765,287637.0,0.33740000000000003,0.027455285714285713,,0.07078026275301048,0.005501688694125566,12.865188615376617,0.03898811802897903,0.004443072070561734,8.775036148367,1.8154316322834827,0.24977288425484506,True,507218
InnerAsia_Bronze,grid,59,3722.0,3046.0,4952.0,InnerAsia,1.7290323,322813.0,0.077126955,0.0204402372881356,,0.07525517662769106,0.007056056908283846,10.665330170359185,0.03364543724587247,0.0037236069199436408,9.035711332919565,2.2367126953276006,0.329417529607477,True,507190
InnerAsia_Iron_Classical,grid,220,2225.0,1509.0,2930.0,InnerAsia,1.49165985,299121.5,0.06078782,0.022042304545454545,,0.07390310417903177,0.006249254146084982,11.825907932601911,0.033848297763359105,0.003547420321098365,9.54166540740762,2.1833625045402467,0.29899277604425345,True,507219
