label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
ANC_Africa,ancient-other,196,2227.5,73.0,15950.0,Africa,1.47663255,301732.0,0.093,0.008943443877551022,,0.035946013712888525,0.006837679917127713,5.25704831880874,0.023040594419852498,0.0030643092971012285,7.519017235514839,1.5601165949918512,0.36340555768138116,True,138509
ANC_Americas,ancient-other,855,883.0,60.0,12712.0,Americas,1.7777939,305649.0,0.097,0.02023495555555556,,0.083875586226628,0.012894359598635045,6.5048276019467295,0.04946330710390409,0.006024987754457524,8.209694213454489,1.6957132698474133,0.3010857550359175,True,138509
ANC_Oceania,ancient-other,160,525.0,135.0,2885.0,Oceania,3.2626219,321723.5,0.11,0.021164131250000003,,0.07433962886388897,0.012413986522084591,5.988376798350644,0.049971547920718735,0.006046475764046492,8.264574252965533,1.4876391057933782,0.2809609199873999,True,138462
CTRL_Chimp,control-reference,1,,,,,,,,,Chimp as the test population,-0.09164395010884746,0.017291915935464117,-5.2998146909154356,-1.0,0.0,,,,False,138509
CTRL_Denisova,control-reference,1,,,,,,,,,Denisova as the test population,-0.14590908929012059,0.033103942246337933,-4.40760463525342,0.06916455433528168,0.014103847460461696,4.903949403109721,-2.1095934282004127,0.649289625080773,True,67046
CTRL_Mbuti,control-reference,15,,,,,,,,,Mbuti as the test population,-0.01795006397740914,0.007977757266915611,-2.2500138042366205,-0.006110135260356305,0.00390855782376805,-1.5632710416103863,,,False,137883
Caucasus_Bronze,grid,307,3842.0,3001.0,4991.0,Caucasus,2.1180179,324573.0,0.115,0.01832681107491857,,0.07172827521364857,0.011008352572513362,6.515804680234001,0.04521812357939113,0.006324305973635894,7.149894987353825,1.586272705184517,0.32035783060511813,True,138509
Caucasus_Iron_Classical,grid,127,2599.0,1513.0,2987.0,Caucasus,2.06290157,331625.0,0.119,0.01932486614173228,,0.0720214802798377,0.011339726295212257,6.351253849067404,0.04614579701855713,0.005772700938417872,7.9937965799427575,1.5607375954710432,0.30409822395708186,True,138509
Caucasus_Medieval_Recent,grid,36,975.0,168.0,1470.0,Caucasus,2.056186605,355795.5,0.096,0.019872833333333336,,0.07650788287668488,0.01093163840915152,6.998757186538077,0.04733377417337349,0.0064712038591651505,7.314523727503157,1.6163486688480166,0.3070746115969451,True,138509
Caucasus_Neolithic,grid,98,5534.0,5040.0,7920.0,Caucasus,2.1233692800000004,335198.0,0.127,0.018266030612244896,,0.0711141789464258,0.011719772256429629,6.067880620070205,0.04585221249796236,0.006160256122301728,7.4432315130478806,1.5509432385533426,0.31548941966018174,True,138509
CentralAsia_Bronze,grid,74,3760.0,3003.0,4998.0,CentralAsia,1.72860385,297691.0,0.126,0.018995472972972972,,0.0692593056929393,0.01114412695627651,6.214870484217841,0.04739690153118957,0.006655858410644394,7.121080198369302,1.461262307354905,0.30280734729862935,True,138503
CentralAsia_Iron_Classical,grid,134,2837.5,1588.0,2950.0,CentralAsia,1.823694925,309871.5,0.133,0.018006111940298507,,0.07316752337314592,0.01001776986373042,7.303773631100343,0.046090857100264795,0.006167559526785752,7.4731110255348,1.5874628500394183,0.28976055843648973,True,138509
CentralAsia_Medieval_Recent,grid,43,1000.0,382.0,1475.0,CentralAsia,0.90362138,257866.0,0.0917258,0.01907560465116279,,0.0719735744861668,0.01085834570399504,6.6284106666161895,0.04627501705220063,0.006114524238123752,7.568048673955402,1.5553440943085308,0.2836942362486364,True,138509
CentralAsia_Neolithic,grid,35,5163.0,5000.0,7686.0,CentralAsia,1.68259376,335404.0,0.186,0.01911422857142857,,0.0559028672772284,0.01087298515443567,5.141446114678327,0.042581147564541476,0.006153556238253985,6.919762478131423,1.312854877677846,0.3012189949830156,True,138509
EastAsia_Bronze,grid,212,4153.5,3001.0,4996.0,EastAsia,1.163623,289283.0,0.0835,0.02236985849056604,,0.07733082776558226,0.011916319223537692,6.489489440064232,0.04614488416851647,0.005889347543213156,7.835313475716595,1.6758266741591086,0.3073320630256013,True,138509
EastAsia_Iron_Classical,grid,204,2051.0,1528.0,2968.0,EastAsia,1.776213045,299059.0,0.155,0.022517151960784312,,0.07732769967031043,0.011606543588938133,6.662422716786181,0.04806101615280972,0.00593790886350897,8.093929573113787,1.6089484963124263,0.2902694112987293,True,138509
EastAsia_LateGlacial_Meso,grid,20,9417.0,8142.0,14521.0,EastAsia,3.34410271,275526.0,0.4275,0.02095135,,0.07958372593535996,0.013349556864514708,5.961525670331907,0.04736601237171631,0.006448430854223082,7.34535477583609,1.6801863182149956,0.30697436393231786,True,138509
EastAsia_Medieval_Recent,grid,111,700.0,142.0,1496.0,EastAsia,1.82970767,336223.0,0.242,0.022917729729729722,,0.0776493142003172,0.01202483517391269,6.457411937651646,0.048592315024406064,0.005946842651564716,8.171111608547536,1.5979751975454743,0.28913308616125943,True,138509
EastAsia_Neolithic,grid,150,6950.0,5075.0,7944.0,EastAsia,1.2392527100000001,245747.5,0.089,0.020061353333333334,,0.08144103842719332,0.011619604297363535,7.008933896799921,0.04384242214435293,0.006274243395065483,6.987682718657962,1.8575852894040716,0.34599683577438844,True,138509
Europe_Bronze,grid,1432,4044.0,3000.0,4998.0,Europe,1.330430815,295112.0,0.108,0.02073380027932961,,0.07811690268382744,0.011139697165009071,7.012479919938993,0.0484050851897647,0.006467093779654034,7.484828091104965,1.6138160356000228,0.29630830311577744,True,138509
Europe_Iron_Classical,grid,1646,2175.0,1500.0,2993.0,Europe,1.6182464699999999,329557.5,0.116,0.02066665613608748,,0.0785873042441206,0.01142118980366333,6.880833397840375,0.047071941815408386,0.006381028126891638,7.376858537424804,1.66951481526509,0.31088592205060545,True,138509
Europe_LateGlacial_Meso,grid,145,8704.0,8001.0,14021.0,Europe,2.5722,387986.0,0.224,0.02284624827586207,,0.0752766769745698,0.012204429338601441,6.167980073961909,0.04853126529055362,0.007109081884394225,6.826657236441304,1.551096525588053,0.30211275604498994,True,138509
Europe_Medieval_Recent,grid,2984,1175.0,100.0,1498.0,Europe,1.69650342,331475.5,0.154,0.022128825402144774,,0.0799508309196166,0.011198775625999661,7.1392475025572075,0.04829905709738034,0.006216368512956589,7.769657959741619,1.6553290214013932,0.2961560087635251,True,138509
Europe_Neolithic,grid,1462,6427.0,5000.0,7994.0,Europe,1.63508103,322542.0,0.116,0.020602561559507522,,0.07882103577877697,0.01188984895414359,6.629271413183764,0.04672303846718913,0.006391678950516105,7.309978931813591,1.6869843735468617,0.3157598662671242,True,138509
Europe_Palaeolithic,grid,28,30940.5,15411.0,45875.0,Europe,1.00765,287637.0,0.33740000000000003,0.027455285714285713,,0.0715624920501086,0.011682577097121064,6.125574131048854,0.05567173806135734,0.006657143455978647,8.36270668185161,1.2854366423990145,0.22944639897749733,True,138509
InnerAsia_Bronze,grid,59,3722.0,3046.0,4952.0,InnerAsia,1.7290323,322813.0,0.077126955,0.0204402372881356,,0.07482208139633796,0.01160795217771372,6.445760651908094,0.04923166060259429,0.005955679624125311,8.266337968074428,1.51979601095144,0.307980644859799,True,138498
InnerAsia_Iron_Classical,grid,220,2225.0,1509.0,2930.0,InnerAsia,1.49165985,299121.5,0.06078782,0.022042304545454545,,0.07587201636244348,0.010454891382044711,7.257083176659923,0.04911326106264898,0.005977116557188421,8.216881935083327,1.5448376817344907,0.264460403702233,True,138509
InnerAsia_Medieval_Recent,grid,61,1008.0,124.0,1494.0,InnerAsia,0.87481999,249772.0,0.037,0.020294950819672128,,0.0758043775376926,0.01067454878726305,7.101412813639762,0.04619163075124861,0.005722222795388631,8.072323012042292,1.6410846792986094,0.28959735231052464,True,138509
NearEast_Bronze,grid,106,3513.0,3095.0,4550.0,NearEast,1.1680321949999999,250454.5,0.15,0.01902679245283019,,0.07412582001923437,0.012256347994031252,6.0479532773818985,0.043133802235850734,0.006024477462624031,7.159758253467397,1.7185088301263776,0.350004853991744,True,138505
NearEast_Iron_Classical,grid,29,2375.0,1525.0,2951.0,NearEast,0.93970307,252784.0,0.161,0.02066686206896551,,0.07340525389112147,0.013428076163929928,5.466550308100005,0.045434571568971446,0.00623437697389014,7.287748520702796,1.6156255326340965,0.34403329518913583,True,138505
NearEast_Medieval_Recent,grid,24,800.0,60.0,1465.0,NearEast,0.7582121799999999,234313.0,0.0775,0.019277208333333334,,0.08026254662644522,0.01137453341155208,7.056337497319217,0.03965571263487542,0.005656990013801432,7.010037588563328,2.0239844726900182,0.4050137253587211,True,138506
Siberia_Bronze,grid,145,4065.0,3003.0,4952.0,Siberia,2.27932566,341257.0,0.079,0.02222168275862069,,0.07466779419430845,0.01117637765084777,6.680858192783475,0.05082479834692208,0.006349237939357374,8.004865911839842,1.4691213073712135,0.2798293540690732,True,138509
