control,cohort,a,b,D_VA_diff,D_VA_diff_se,D_VA_diff_z,D_VA_diff_se_independent,R_diff,R_diff_se,R_diff_z
random-split,Europe_Medieval_Recent,NULLrand_Europe_Medieval_Recent_r0A,NULLrand_Europe_Medieval_Recent_r0B,-0.00012245867509928787,0.000530481057003546,-0.23084457679036272,0.008571548168570817,-0.01784089797062638,0.022029340222436116,-0.8098698277153142
random-split,Europe_Medieval_Recent,NULLrand_Europe_Medieval_Recent_r1A,NULLrand_Europe_Medieval_Recent_r1B,0.00048460400450446584,0.0004636520342727233,1.0451889966677435,0.008569670897707571,0.01722941479162543,0.020134208559298688,0.8557284355569208
random-split,Europe_Medieval_Recent,NULLrand_Europe_Medieval_Recent_r2A,NULLrand_Europe_Medieval_Recent_r2B,-0.00013706592650460092,0.0005080461661177941,-0.26979029790143366,0.008570794606138181,-0.009776831670516906,0.022115157471282343,-0.44208736398158677
coverage-split,Europe_Medieval_Recent,NULLcov_Europe_Medieval_Recent_HI,NULLcov_Europe_Medieval_Recent_LO,0.0008331020557197366,0.0005133514557418996,1.6228687897957372,0.008577267982762928,0.06434815497765545,0.022351054033292298,2.8789763060752174
random-split,Europe_Neolithic,NULLrand_Europe_Neolithic_r0A,NULLrand_Europe_Neolithic_r0B,0.00016440997234500043,0.0006348493282063398,0.25897479140367563,0.009151622646528529,0.05466885246694675,0.02736707647136205,1.997613903851013
random-split,Europe_Neolithic,NULLrand_Europe_Neolithic_r1A,NULLrand_Europe_Neolithic_r1B,-0.0007895107965095044,0.0006440850538602547,-1.2257865506700647,0.00915081273623249,-0.031042194427091996,0.030327027773713874,-1.0235818247246107
random-split,Europe_Neolithic,NULLrand_Europe_Neolithic_r2A,NULLrand_Europe_Neolithic_r2B,-0.000634777084449048,0.000616579375255656,-1.0295139765027765,0.009145925888860961,-0.026128358975431976,0.028133220113689496,-0.9287368765411265
coverage-split,Europe_Neolithic,NULLcov_Europe_Neolithic_HI,NULLcov_Europe_Neolithic_LO,0.000891702070109926,0.0008656612548989938,1.0300819923076847,0.009236577780853409,-0.011831887118949336,0.03649209738173664,-0.32423149031907633
random-split,Europe_Bronze,NULLrand_Europe_Bronze_r0A,NULLrand_Europe_Bronze_r0B,-0.00042694803707513107,0.0007033477543865974,-0.6070226774911373,0.00867980824732045,0.05041071724494017,0.03283546025727264,1.535252341522298
random-split,Europe_Bronze,NULLrand_Europe_Bronze_r1A,NULLrand_Europe_Bronze_r1B,-0.000443676747716365,0.0008743469783615659,-0.507437846411694,0.008686742263469738,0.010398695509207023,0.03555084037909608,0.29250210116893505
random-split,Europe_Bronze,NULLrand_Europe_Bronze_r2A,NULLrand_Europe_Bronze_r2B,1.0092971303804488e-05,0.0005600596513916583,0.018021243413491893,0.008674406417518524,-0.04865285546372444,0.029964430363395543,-1.623686980652855
coverage-split,Europe_Bronze,NULLcov_Europe_Bronze_HI,NULLcov_Europe_Bronze_LO,0.0010019859358782746,0.0008985994143514589,1.1150529589443725,0.008691065583203416,0.0828276978673963,0.041219292696521824,2.0094400570436157
random-split,Europe_Iron_Classical,NULLrand_Europe_Iron_Classical_r0A,NULLrand_Europe_Iron_Classical_r0B,0.0003750236130403428,0.0007083399112136377,0.5294401841593173,0.008584430437373582,0.0009489783104181804,0.026727057083430157,0.035506277681672395
random-split,Europe_Iron_Classical,NULLrand_Europe_Iron_Classical_r1A,NULLrand_Europe_Iron_Classical_r1B,-0.001289948881135372,0.0006147436761427703,-2.0983524210109805,0.00858113772375037,-0.028766062675220194,0.025233493877200214,-1.1399952307520855
random-split,Europe_Iron_Classical,NULLrand_Europe_Iron_Classical_r2A,NULLrand_Europe_Iron_Classical_r2B,0.00029580846583701637,0.0006102603697991053,0.48472501325031975,0.008582466952850578,0.04335859843634138,0.03292266510985059,1.3169832482172992
coverage-split,Europe_Iron_Classical,NULLcov_Europe_Iron_Classical_HI,NULLcov_Europe_Iron_Classical_LO,6.037845167672362e-06,0.0006727094687288332,0.008975412787159975,0.008624767106203236,-0.013285495465393815,0.024216899326559408,-0.5486043149555158
random-split,EastAsia_Bronze,NULLrand_EastAsia_Bronze_r0A,NULLrand_EastAsia_Bronze_r0B,-0.0008151569583382395,0.001563373089167453,-0.5214091018877248,0.011179407637002283,-0.0674751044909403,0.06550750757981887,-1.0300362047620875
random-split,EastAsia_Bronze,NULLrand_EastAsia_Bronze_r1A,NULLrand_EastAsia_Bronze_r1B,0.00048358299829241724,0.0016240962165447964,0.29775514120784163,0.011213491898331155,-0.0047869557830506615,0.07753818954411107,-0.06173674948042716
random-split,EastAsia_Bronze,NULLrand_EastAsia_Bronze_r2A,NULLrand_EastAsia_Bronze_r2B,0.0004132274263904251,0.0019829465720787687,0.20839060023550168,0.01121692173351294,0.030004665325211732,0.08536555172111568,0.3514844655750043
coverage-split,EastAsia_Bronze,NULLcov_EastAsia_Bronze_HI,NULLcov_EastAsia_Bronze_LO,-0.0020457269167051123,0.0019899796408482276,-1.0280139930643324,0.011237447562192571,-0.07692834357384815,0.08156133812117353,-0.9431961925337435
