control,cohort,a,b,D_VA_diff,D_VA_diff_se,D_VA_diff_z,D_VA_diff_se_independent,R_diff,R_diff_se,R_diff_z
random-split,Europe_Medieval_Recent,NULLrand_Europe_Medieval_Recent_r0A,NULLrand_Europe_Medieval_Recent_r0B,-0.00030231307124808926,0.0008942810639961981,-0.3380515180509005,0.015850511732324657,-0.009012896086204814,0.022483450699969106,-0.400868007606021
random-split,Europe_Medieval_Recent,NULLrand_Europe_Medieval_Recent_r1A,NULLrand_Europe_Medieval_Recent_r1B,-4.711878861715646e-05,0.0007950226050522027,-0.05926723129345806,0.01584714372180348,-0.009546595640820721,0.019834741888771795,-0.4813067744645032
random-split,Europe_Medieval_Recent,NULLrand_Europe_Medieval_Recent_r2A,NULLrand_Europe_Medieval_Recent_r2B,0.000668753046893733,0.0008756498176392753,0.7637220192618442,0.015849575939991454,0.003926403425555058,0.027556657735548523,0.14248474772359407
coverage-split,Europe_Medieval_Recent,NULLcov_Europe_Medieval_Recent_HI,NULLcov_Europe_Medieval_Recent_LO,0.0013442306071417554,0.001072386272122894,1.2534947920218327,0.015901163626522427,0.03475292788187523,0.024265967838070328,1.4321673923655394
random-split,Europe_Neolithic,NULLrand_Europe_Neolithic_r0A,NULLrand_Europe_Neolithic_r0B,0.0009431066670048532,0.0011277709373745841,0.8362572892686669,0.016835959452487913,0.051579020066689685,0.03348205910632432,1.5404972526599205
random-split,Europe_Neolithic,NULLrand_Europe_Neolithic_r1A,NULLrand_Europe_Neolithic_r1B,-5.005488357952281e-05,0.0011469996815164816,-0.043639840870176874,0.01683720483107181,7.54617917599898e-05,0.03068446367303732,0.002459283387322121
random-split,Europe_Neolithic,NULLrand_Europe_Neolithic_r2A,NULLrand_Europe_Neolithic_r2B,0.000924185071940975,0.0010692848685478593,0.8643020200931705,0.016832877108762866,0.001751574368670461,0.026178539902506463,0.06690878770143925
coverage-split,Europe_Neolithic,NULLcov_Europe_Neolithic_HI,NULLcov_Europe_Neolithic_LO,-0.000285378360744451,0.0012853173407103905,-0.22202949552265697,0.016909253261112187,-0.031637575288359976,0.03620737432929599,-0.8737881681401429
random-split,Europe_Bronze,NULLrand_Europe_Bronze_r0A,NULLrand_Europe_Bronze_r0B,-0.0006391383641536769,0.001130098437261173,-0.5655599044120861,0.01577831354932376,0.004381743129552085,0.028064342534496085,0.1561320427929548
random-split,Europe_Bronze,NULLrand_Europe_Bronze_r1A,NULLrand_Europe_Bronze_r1B,-0.001511034501600006,0.0012535027515586871,-1.2054496886593085,0.0157822284468694,-0.012755727454783372,0.0342868648435224,-0.3720295662201157
random-split,Europe_Bronze,NULLrand_Europe_Bronze_r2A,NULLrand_Europe_Bronze_r2B,0.0012409141452415506,0.001244204956817009,0.997355088840124,0.01577717346293174,0.0018642174262775146,0.031683864245764866,0.05883807012355514
coverage-split,Europe_Bronze,NULLcov_Europe_Bronze_HI,NULLcov_Europe_Bronze_LO,0.0009188552977274361,0.0015324461786363774,0.5996003713129193,0.015794045045937982,0.04314937285393072,0.03744736106471951,1.152267386194625
random-split,Europe_Iron_Classical,NULLrand_Europe_Iron_Classical_r0A,NULLrand_Europe_Iron_Classical_r0B,0.0003103854540602302,0.0010628841752160839,0.29202189786777943,0.016164048760283472,-0.00677224607034832,0.028193473176591283,-0.24020616502018055
random-split,Europe_Iron_Classical,NULLrand_Europe_Iron_Classical_r1A,NULLrand_Europe_Iron_Classical_r1B,-0.00010899035184867845,0.0012413455780319175,-0.08780016924978815,0.016177761133032396,0.027904710654267584,0.03108436635098103,0.8977088462794708
random-split,Europe_Iron_Classical,NULLrand_Europe_Iron_Classical_r2A,NULLrand_Europe_Iron_Classical_r2B,0.0018578427380976231,0.0012142585489446625,1.5300223660869534,0.0161772594105371,0.05269549772918847,0.03431500220937822,1.5356402254517965
coverage-split,Europe_Iron_Classical,NULLcov_Europe_Iron_Classical_HI,NULLcov_Europe_Iron_Classical_LO,-0.0006777095227640528,0.0012734607861627802,-0.532179341623971,0.016163778828331383,-0.0345126959531028,0.03421899295099533,-1.0085830404923979
random-split,EastAsia_Bronze,NULLrand_EastAsia_Bronze_r0A,NULLrand_EastAsia_Bronze_r0B,-0.0028705193515963096,0.0031471715152718844,-0.9120949835961911,0.016989402075088356,-0.057899608359229804,0.08215690858196746,-0.7047442431632357
random-split,EastAsia_Bronze,NULLrand_EastAsia_Bronze_r1A,NULLrand_EastAsia_Bronze_r1B,0.00014540976639364211,0.002915246361025892,0.04987906625581777,0.017006246871074816,-0.016384981751776717,0.08095898974636491,-0.2023861933444199
random-split,EastAsia_Bronze,NULLrand_EastAsia_Bronze_r2A,NULLrand_EastAsia_Bronze_r2B,0.0012790492707890622,0.002988876614258682,0.42793645769358707,0.01695397016381991,-0.06873044281117457,0.09035522666019288,-0.7606692534750137
coverage-split,EastAsia_Bronze,NULLcov_EastAsia_Bronze_HI,NULLcov_EastAsia_Bronze_LO,-0.004690022449283626,0.003556274417762063,-1.318802178442411,0.017102262527401255,-0.1352948122068971,0.09836461548736669,-1.3754418856471153
