label,residual,residual_se,residual_z,in_fit,kind,n_ind,date_bp,region,D_VA,D_NEA,R
CTRL_Denisova,-0.2539991800969228,0.03311489214705262,-7.670240294577855,False,control-reference,1,,,-0.14666706046406391,0.047960849576042644,-3.058058015246813
IUP_Eurasia_45ka,-0.02229916058148876,0.007349361454174276,-3.034162997769463,False,named,10,45875.0,Europe,0.0650702740163061,0.03904061826620169,1.6667326724341056
Europe_Palaeolithic,-0.01647168097896054,0.005560677430783221,-2.9621716389760997,True,grid,28,30940.5,Europe,0.07078026275301048,0.03898811802897903,1.8154316322834827
Oase1_40ka,-0.19037313031532424,0.07374495901922498,-2.581507032442649,False,named-lowpower,1,39982.0,Europe,0.07364165685111593,0.1179737578690663,0.6242206587404586
PD_Papuan,-0.024108902215920172,0.011017883827995697,-2.188160865760908,False,present-day,32,0.0,Oceania,0.0638945620795559,0.03932393143528144,1.6248264033496327
Europe_Iron_Classical,0.004303675064918647,0.002380460581212071,1.807916963164886,True,grid,1646,2175.0,Europe,0.07481129484582384,0.031505996134651486,2.3745097449416477
UP_Europe_pre_LGM,-0.01494568463239343,0.008275711943977172,-1.8059696535559668,False,named,14,30246.0,Europe,0.07254574290584394,0.03909513023415607,1.8556209551250764
PD_Basque,0.007845129422861558,0.004586580507303815,1.7104527894732746,False,present-day,25,0.0,Europe,0.07553885582638206,0.030248621199195042,2.4972660845907337
PD_Mixe,0.013608714307197303,0.008282213362193295,1.6431252990074439,False,present-day,3,0.0,Americas,0.08352001931130937,0.0312395356994381,2.673535871815522
CentralAsia_Iron_Classical,0.00391772074958531,0.0024091117190164777,1.6262096600421352,True,grid,134,2837.5,CentralAsia,0.0715679413941012,0.0302291808567286,2.367511767298556
PD_French,0.0060699481558131735,0.003754741805697248,1.6166086697633784,False,present-day,31,0.0,Europe,0.07474528774209008,0.03068725040321224,2.4357114684431287
Caucasus_Bronze,0.0036035722907144935,0.0024073235386674044,1.49692063938746,True,grid,307,3842.0,Caucasus,0.07113024251146137,0.030173972934722484,2.3573376520666507
PD_Karitiana,0.013336719029157534,0.009271400075008478,1.4384795091635973,False,present-day,15,0.0,Americas,0.0909861879200052,0.034697297601802256,2.6222845641811356
Europe_Medieval_Recent,0.0025333250674075686,0.0018041511454084868,1.404164542341593,True,grid,2984,1175.0,Europe,0.07624286889799806,0.03293676073919077,2.3148259630546564
PD_Sardinian,0.005423147451169619,0.0041451971081740485,1.3082966405808638,False,present-day,31,0.0,Europe,0.07240216747762837,0.02992925803783618,2.419110002195794
CentralAsia_Neolithic,0.004901249941042601,0.0038315336606003975,1.2791874938858243,True,grid,35,5163.0,CentralAsia,0.06271985453391833,0.025835969764326356,2.4276175853294384
EastAsia_Neolithic,0.0060503038405016335,0.00481294190167606,1.257090562093566,True,grid,150,6950.0,EastAsia,0.07590787659106202,0.031215525696292826,2.4317346864376814
ANC_Oceania,-0.00602706922146759,0.005321206700346218,-1.1326508367125536,False,ancient-other,160,525.0,Oceania,0.0727763986428598,0.03521295658037539,2.066750585874376
UstIshim_44ka,-0.016363656295839017,0.014477473267922513,-1.1302839931395823,False,named,1,44366.0,WestSiberia,0.05625817430541966,0.032450721231610934,1.7336494281248018
Siberia_Bronze,-0.002636285117233572,0.0023902377633772914,-1.1029384430395024,True,grid,145,4065.0,Siberia,0.07490525707975076,0.03464907106954589,2.1618258373912727
Europe_Bronze,0.0027644279759920093,0.002638468824016273,1.0477394884598263,True,grid,1432,4044.0,Europe,0.07502880956317765,0.032290996831741595,2.3235210097145527
PD_Russian,0.00354349364092299,0.003421785910351396,1.0355684820033335,False,present-day,27,0.0,WestSiberia,0.07561343591952939,0.03220411254712729,2.3479434748862333
NearEast_Medieval_Recent,0.0036160113963286944,0.0035442867851708574,1.0202366838535555,True,grid,24,800.0,NearEast,0.06721860334235924,0.028420517133215417,2.365143569600991
InnerAsia_Iron_Classical,-0.0018463785140405836,0.0019342642076330123,-0.9545637595703765,True,grid,220,2225.0,InnerAsia,0.07390310417903177,0.033848297763359105,2.1833625045402467
WestSiberia_LateGlacial_Meso,-0.005913649869364809,0.006235607694850825,-0.9483678510192554,True,grid,37,8342.0,WestSiberia,0.07534567814230977,0.03631034606182431,2.0750470957787464
Caucasus_Medieval_Recent,0.00295808488851404,0.0032127403681949137,0.9207357425449375,True,grid,36,975.0,Caucasus,0.07196202841290465,0.03083408551743412,2.333846689638844
NearEast_Bronze,0.0032781501282107967,0.003656413645582024,0.8965479417712282,True,grid,106,3513.0,NearEast,0.0675090313620291,0.028701265227307864,2.3521273653747334
Europe_Neolithic,0.0030328515784396742,0.0035322655621414134,0.8586136928507231,True,grid,1462,6427.0,Europe,0.07441892564956344,0.03189852927586511,2.3329892424184546
PD_Japanese,0.00501389462498901,0.006121628446417622,0.8190458909545779,False,present-day,31,0.0,EastAsia,0.07508584374168756,0.031311318760700584,2.3980415617603814
CentralAsia_Medieval_Recent,0.002405818142515434,0.002987585653542839,0.8052716880811388,True,grid,43,1000.0,CentralAsia,0.0695164906601158,0.02998808633029469,2.318136939264729
ANC_Americas,0.0045089672546691495,0.005695174561968099,0.79171712923071,False,ancient-other,855,883.0,Americas,0.07869144214465712,0.03314808774435183,2.37393610007158
Caucasus_Neolithic,0.0022072843623019422,0.002935053409050321,0.7520423156511286,True,grid,98,5534.0,Caucasus,0.0696914335354593,0.03015497260589051,2.3111091641928962
Europe_LateGlacial_Meso,0.0030488064290975225,0.00443825507986974,0.6869380813477272,True,grid,145,8704.0,Europe,0.07648466856194479,0.032814467368091065,2.330821576470835
Siberia_Iron_Classical,-0.0015704299113447617,0.00233075385184163,-0.6737862559377074,True,grid,103,2270.0,Siberia,0.07435887703218291,0.033928651378434566,2.1916248955137148
NearEast_Iron_Classical,0.0030035071405142,0.004785557916592278,0.6276190138877163,True,grid,29,2375.0,NearEast,0.07084801367528111,0.030315996587089188,2.3369844851299884
Siberia_Neolithic,-0.0022840233915443486,0.003774694365225894,-0.6050882986939958,True,grid,66,5971.5,Siberia,0.07454179061633062,0.034329251316310545,2.171378278235688
WestSiberia_Medieval_Recent,-0.0014068354695165874,0.002357593128322623,-0.5967253011623429,True,grid,129,950.0,WestSiberia,0.07411543933660765,0.03374677099461845,2.1962231393464795
WestSiberia_Bronze,-0.001581793886904076,0.002779188104485159,-0.5691568283382176,True,grid,209,3841.0,WestSiberia,0.07334390045842067,0.0334801918397645,2.190665477947171
SouthAsia_Medieval_Recent,-0.003168579457946144,0.006052480434384096,-0.5235175053099664,True,grid,30,900.0,SouthAsia,0.07101367134645936,0.03314798761277007,2.142322248217016
