label,residual,residual_se,residual_z,in_fit,kind,n_ind,date_bp,region,D_VA,D_NEA,R
CTRL_Denisova,-0.2542903640261607,0.040843306473129386,-6.225998480153831,False,control-reference,1,,,-0.14590908929012059,0.06916455433528168,-2.1095934282004127
NearEast_Medieval_Recent,0.01812180521287033,0.006568899653521188,2.7587276665364087,True,grid,24,800.0,NearEast,0.08026254662644522,0.03965571263487542,2.0239844726900182
PD_Basque,0.012371145835210762,0.005555546860704123,2.2268097354583043,False,present-day,25,0.0,Europe,0.08082919525347652,0.0436871635825349,1.8501818068543623
EastAsia_Neolithic,0.01273969790403659,0.006128971728267197,2.0786028177092604,True,grid,150,6950.0,EastAsia,0.08144103842719332,0.04384242214435293,1.8575852894040716
PD_Mixe,0.024053161031456965,0.011982116174179802,2.007421784416428,False,present-day,3,0.0,Americas,0.09753448868061142,0.046892816966735286,2.0799451811521625
CentralAsia_Neolithic,-0.010822048355088001,0.005459238732035826,-1.982336528274943,True,grid,35,5163.0,CentralAsia,0.0559028672772284,0.042581147564541476,1.312854877677846
Europe_Palaeolithic,-0.015675458021998323,0.008260388670806276,-1.8976659146074153,True,grid,28,30940.5,Europe,0.0715624920501086,0.05567173806135734,1.2854366423990145
PD_French,0.010966240918626219,0.006110081194352521,1.7947782639553451,False,present-day,31,0.0,Europe,0.07816390874573244,0.042882838930908024,1.8227316729582332
Siberia_Iron_Classical,-0.006138508389484973,0.003494434414830953,-1.756652911679251,True,grid,103,2270.0,Siberia,0.07112896317994723,0.04930898117529454,1.4425153690984238
PD_Japanese,0.01159661358923414,0.0066278933598549255,1.749668101100524,False,present-day,31,0.0,EastAsia,0.07676974354812958,0.04159086059119269,1.8458320519673592
PD_Sardinian,0.009533058534514513,0.0056339097240781805,1.6920857808161474,False,present-day,31,0.0,Europe,0.07594432859573758,0.042380991622505,1.791943172830574
PD_Russian,0.008564186110400829,0.005254532492434295,1.6298664291698486,False,present-day,27,0.0,WestSiberia,0.07764349020181427,0.04408362323575101,1.7612774201111223
Europe_Medieval_Recent,0.004265916485163654,0.0026469481467378776,1.6116358344310626,True,grid,2984,1175.0,Europe,0.0799508309196166,0.04829905709738034,1.6553290214013932
UP_Europe_pre_LGM,-0.017109231572010677,0.011601059343039363,-1.474799073610137,False,named,14,30246.0,Europe,0.07672673139428701,0.059882323537829844,1.2812918213805773
Europe_Iron_Classical,0.004825286874304016,0.003493774985649297,1.3811098007524563,True,grid,1646,2175.0,Europe,0.0785873042441206,0.047071941815408386,1.66951481526509
WestSiberia_Bronze,-0.004361150408629555,0.003366888701407275,-1.2953057838848976,True,grid,209,3841.0,WestSiberia,0.07202038378912005,0.0487436117087457,1.4775348248598899
PD_Papuan,-0.018538134812219886,0.01433329861783151,-1.29336137524947,False,present-day,32,0.0,Oceania,0.07318164520578002,0.05853186100758736,1.250287346857016
Siberia_Bronze,-0.004974972046023804,0.0038719884868394887,-1.2848623034219364,True,grid,145,4065.0,Siberia,0.07466779419430845,0.05082479834692208,1.4691213073712135
PD_Karitiana,0.01744973281868456,0.013726908106399408,1.27120635495109,False,present-day,15,0.0,Americas,0.10105301104478864,0.053352237215883454,1.8940726072252547
Siberia_Neolithic,-0.0077960330395851485,0.0065028953817297085,-1.1988556761175324,True,grid,66,5971.5,Siberia,0.07067083274538469,0.050074386145775016,1.4113170062564506
NearEast_Bronze,0.006534891176235416,0.005669567671293057,1.1526260122661178,True,grid,106,3513.0,NearEast,0.07412582001923437,0.043133802235850734,1.7185088301263776
Oase1_40ka,-0.10269943843455157,0.09112052378133574,-1.127072520796764,False,named-lowpower,1,39982.0,Europe,0.03667499959215687,0.08894313999650814,0.41234208274631085
Europe_Neolithic,0.005605752064705011,0.005179510307584975,1.0822938331633087,True,grid,1462,6427.0,Europe,0.07882103577877697,0.04672303846718913,1.6869843735468617
UP_Europe_post_LGM,-0.014015801126092145,0.013198150637146555,-1.0619518985216225,False,named,5,17045.0,Europe,0.05772719495382886,0.04578348393327723,1.260873791036913
IUP_Eurasia_45ka,-0.010820554741044139,0.01019459687705095,-1.0614009432194698,False,named,10,45875.0,Europe,0.07322017147343984,0.053631398862900886,1.3652482132829347
CentralAsia_Bronze,-0.005011925515854623,0.005044292999794015,-0.9935833457848874,True,grid,74,3760.0,CentralAsia,0.0692593056929393,0.04739690153118957,1.461262307354905
