fraction,rep,se,n_ind,n_tracts
1.0,0,0.003582377948302539,116,59279
0.5,0,0.0035638490100158684,58,29664
0.5,1,0.003783359574887778,58,29721
0.5,2,0.0038205397984937043,58,29394
0.5,3,0.003840314076889084,58,29565
0.5,4,0.003784202695612118,58,29546
0.5,5,0.004209010820883419,58,29453
0.25,0,0.003823064610934026,29,14766
0.25,1,0.0042811745014248,29,14705
0.25,2,0.004002388909887508,29,15131
0.25,3,0.0042030783580880434,29,14579
0.25,4,0.004030417179545223,29,14652
0.25,5,0.004482377781491308,29,14678
0.125,0,0.005629035531289234,15,7706
0.125,1,0.004399412663983844,15,7693
0.125,2,0.005043696409072296,15,7563
0.125,3,0.004403708510479406,15,7590
0.125,4,0.0043554605491951705,15,7903
0.125,5,0.004704955110018621,15,7922
