group,level,n_ind,n_tracts,V,A,D_tract,se_block,se_individual
Abkhasian,pop,2,848,10365.0,9307.0,0.05378202521350142,0.0055752481398741414,
Adygei,pop,2,935,11306.0,10078.0,0.05742611298166854,0.005860616307155303,
Aleut,pop,2,1176,15150.0,13604.0,0.05376643249634833,0.004725423786649625,
Ami,pop,2,1179,15869.0,14162.0,0.05684126402717192,0.004976841791614997,
Armenian,pop,2,933,11449.0,10076.0,0.0637862950058072,0.00633590601017562,
Balochi,pop,2,954,11598.0,10169.0,0.06564983690908256,0.006015399156560104,
Basque,pop,2,920,10811.0,9513.0,0.06386538083054517,0.0076731355876875915,
BedouinB,pop,2,755,8834.0,7579.0,0.07646377871199658,0.009308263256664978,
Bengali,pop,2,1201,14627.0,12998.0,0.0589683257918552,0.005322932408985116,
Bergamo,pop,2,922,11291.0,10051.0,0.05810139630774998,0.006602846950366712,
Brahmin,pop,2,1096,12833.0,11309.0,0.06312650153259879,0.0053887722902126785,
Brahui,pop,2,957,11288.0,10072.0,0.05692883895131086,0.006301908036059735,
Bulgarian,pop,2,919,10848.0,9449.0,0.06892644233137903,0.006640745528615874,
Burmese,pop,2,1179,15836.0,13836.0,0.06740361283364789,0.0049088515176984775,
Burusho,pop,2,1097,14014.0,12274.0,0.06618989653073645,0.005894704774400237,
Cambodian,pop,2,1183,16207.0,14203.0,0.0658993752055245,0.005524125647259034,
Dai,pop,3,1775,22796.0,20275.0,0.05853126233428525,0.003968833181528505,0.002561175911895562
Druze,pop,2,862,10437.0,9374.0,0.05365705920953006,0.0073036956098442,
English,pop,2,952,10726.0,9334.0,0.06939182452642073,0.007042113839165288,
Eskimo_Naukan,pop,2,1139,14684.0,12940.0,0.06313350709527947,0.004712516481037112,
Eskimo_Sireniki,pop,2,1170,15959.0,13699.0,0.07620203655000338,0.004873074634742706,
Estonian,pop,2,962,11169.0,9842.0,0.06315739374613298,0.006783789604777647,
Even,pop,3,1710,22949.0,20064.0,0.06707274544905029,0.006987561001359152,0.0009127772772861148
Finnish,pop,3,1506,18533.0,16308.0,0.06386154243563617,0.00593908223393331,0.0033710688661507966
French,pop,2,900,10457.0,9266.0,0.06038635096080718,0.004925313593434085,
Georgian,pop,2,937,11960.0,10579.0,0.06127157371666889,0.004576540174318359,
Greek,pop,2,878,10261.0,8930.0,0.06935542702308374,0.008100236009479695,
Han,pop,2,1261,16487.0,14401.0,0.06753431753431753,0.005092807484297107,
Hazara,pop,2,1125,14017.0,12212.0,0.06881695832856762,0.006489732971121446,
Hezhen,pop,2,1212,15428.0,13646.0,0.06129187590286854,0.006443189808387104,
Hungarian,pop,2,979,12256.0,10654.0,0.0699257965953732,0.006071773556350925,
Icelandic,pop,2,971,11897.0,10760.0,0.0501831663503553,0.008464838668144115,
Iranian,pop,2,905,10615.0,9338.0,0.06400040094221421,0.0067156118860281526,
Iraqi_Jew,pop,2,868,10075.0,8975.0,0.05774278215223097,0.007552991459893367,
Irula,pop,2,1081,13146.0,11651.0,0.0602895511553817,0.006496239866905932,
Japanese,pop,3,1722,22107.0,19413.0,0.06488439306358382,0.005103505267465687,0.0006286632444750879
Jordanian,pop,3,1131,12684.0,11388.0,0.053838484546360914,0.0061318869647901475,0.002246381149534109
Kalash,pop,2,997,12071.0,10584.0,0.06563672478481572,0.007163371663587005,
Kapu,pop,2,1127,13778.0,12344.0,0.05489625602940051,0.006821878245227612,
Kinh,pop,2,1250,16153.0,14256.0,0.062382847183399655,0.005352243538444582,
Korean,pop,2,1209,16424.0,14348.0,0.06746392824645782,0.004880943983508718,
Kusunda,pop,2,1117,13361.0,11746.0,0.06432469032540726,0.005650009114776345,
Kyrgyz,pop,2,1193,14958.0,13209.0,0.06209393971668974,0.005545584643036722,
Lahu,pop,2,1218,15151.0,13406.0,0.06110585845852155,0.004923400487332027,
Lezgin,pop,2,958,11310.0,10060.0,0.0584932147870847,0.008342078385955638,
Madiga,pop,2,1073,12860.0,11345.0,0.06259037388969221,0.00803432884569999,
