a,b,f50,f80,melanesia
CentralAsiaSiberia,EastAsia,0.0819204980842912,0.12252024291497976,False
CentralAsiaSiberia,Melanesia,0.16507293354943273,0.23421052631578948,True
CentralAsiaSiberia,SouthAsia,0.1347450980392157,0.19336898395721927,False
CentralAsiaSiberia,WestEurasia,0.1505045871559633,0.21382857142857145,False
EastAsia,Melanesia,0.14203013481363996,0.19757142857142856,True
EastAsia,SouthAsia,0.11741894469167197,0.16068376068376067,False
EastAsia,WestEurasia,0.16139455782312925,0.2288252714708786,False
Melanesia,SouthAsia,0.1798272357723577,0.26268540202966434,True
Melanesia,WestEurasia,0.17849588719153936,0.2635186595582635,True
SouthAsia,WestEurasia,0.12942278860569714,0.18328220858895705,False
