pair,arm,fraction,rep,se,n_ind,n_tracts
CentralAsiaSiberia|EastAsia,variants,1.0,0,0.00195338632422371,72,42510
CentralAsiaSiberia|EastAsia,variants,0.5,0,0.0026607764481906245,72,42510
CentralAsiaSiberia|EastAsia,variants,0.5,1,0.0028852634311412875,72,42510
CentralAsiaSiberia|EastAsia,variants,0.5,2,0.0029457994058648745,72,42510
CentralAsiaSiberia|EastAsia,variants,0.5,3,0.003012255240858714,72,42510
CentralAsiaSiberia|EastAsia,variants,0.5,4,0.003467036424494,72,42510
CentralAsiaSiberia|EastAsia,variants,0.5,5,0.002747301466163075,72,42510
CentralAsiaSiberia|EastAsia,variants,0.25,0,0.0034759852644432932,72,42510
CentralAsiaSiberia|EastAsia,variants,0.25,1,0.0038148332554373086,72,42510
CentralAsiaSiberia|EastAsia,variants,0.25,2,0.003768243618865309,72,42510
CentralAsiaSiberia|EastAsia,variants,0.25,3,0.004927150330736477,72,42510
CentralAsiaSiberia|EastAsia,variants,0.25,4,0.0036663809825543277,72,42510
CentralAsiaSiberia|EastAsia,variants,0.25,5,0.0035814305804769105,72,42510
CentralAsiaSiberia|EastAsia,variants,0.125,0,0.005634032516399287,72,42510
CentralAsiaSiberia|EastAsia,variants,0.125,1,0.005654637900752774,72,42510
CentralAsiaSiberia|EastAsia,variants,0.125,2,0.005275068204607823,72,42510
CentralAsiaSiberia|EastAsia,variants,0.125,3,0.004117519826557083,72,42510
CentralAsiaSiberia|EastAsia,variants,0.125,4,0.006806298048381525,72,42510
CentralAsiaSiberia|EastAsia,variants,0.125,5,0.00571662707721962,72,42510
CentralAsiaSiberia|EastAsia,tracts,1.0,0,0.00195338632422371,72,42510
CentralAsiaSiberia|EastAsia,tracts,0.5,0,0.0023819783422095956,72,21325
CentralAsiaSiberia|EastAsia,tracts,0.5,1,0.002235329137900806,72,21029
CentralAsiaSiberia|EastAsia,tracts,0.5,2,0.002510973324431239,72,21243
CentralAsiaSiberia|EastAsia,tracts,0.5,3,0.0020865310276293194,72,21324
CentralAsiaSiberia|EastAsia,tracts,0.5,4,0.0028746001260950347,72,21266
CentralAsiaSiberia|EastAsia,tracts,0.5,5,0.0025750150132274555,72,21331
CentralAsiaSiberia|EastAsia,tracts,0.25,0,0.0038699734729367753,72,10683
CentralAsiaSiberia|EastAsia,tracts,0.25,1,0.0033066393794175496,72,10591
CentralAsiaSiberia|EastAsia,tracts,0.25,2,0.0037617101437805037,72,10449
CentralAsiaSiberia|EastAsia,tracts,0.25,3,0.004114635023395619,72,10633
CentralAsiaSiberia|EastAsia,tracts,0.25,4,0.0029126878378425234,72,10565
CentralAsiaSiberia|EastAsia,tracts,0.25,5,0.004212523652053217,72,10551
CentralAsiaSiberia|EastAsia,tracts,0.125,0,0.004346927360573607,72,5371
CentralAsiaSiberia|EastAsia,tracts,0.125,1,0.0031595604867381173,72,5255
CentralAsiaSiberia|EastAsia,tracts,0.125,2,0.0042727458689954525,72,5383
CentralAsiaSiberia|EastAsia,tracts,0.125,3,0.004565576033854533,72,5387
