pair,arm,b,b_se,n_points,var_share,var_axis,var_floor
CentralAsiaSiberia|EastAsia,variants,0.46260169211020596,0.04561484360381285,19,0.8548513554096795,3.801864130920403e-06,6.455337785072488e-07
CentralAsiaSiberia|EastAsia,tracts,0.3908626484294724,0.05157707244362431,19,0.34866453664787017,1.9220644198050205e-06,3.5905823158914974e-06
CentralAsiaSiberia|EastAsia,individuals,0.3693486867075331,0.03484508805424951,19,0.426550863979846,1.973437107275042e-06,2.653061802754794e-06
CentralAsiaSiberia|Melanesia,variants,0.26594708586205024,0.03399678414164729,19,0.24510506878393748,3.354668766333125e-06,1.0331987258272792e-05
CentralAsiaSiberia|Melanesia,tracts,0.19298050183180876,0.04126373023668637,19,0.16091670150868906,2.1894695427088122e-06,1.1416759780793614e-05
CentralAsiaSiberia|Melanesia,individuals,0.17412165461096996,0.026790656420772174,19,0.13614478038449146,1.79002143202601e-06,1.1357904084991573e-05
CentralAsiaSiberia|SouthAsia,variants,0.41393345722784974,0.04255860894461822,19,0.5387688109303317,5.414342709721658e-06,4.635130459247263e-06
CentralAsiaSiberia|SouthAsia,tracts,0.33126888409422345,0.037680553200751504,19,0.34681396914044554,3.214900566329699e-06,6.054912222058288e-06
CentralAsiaSiberia|SouthAsia,individuals,0.3147551542930429,0.04682442523151563,19,0.3417394896797229,3.2311101870543385e-06,6.223782456703408e-06
CentralAsiaSiberia|WestEurasia,variants,0.3555663180663526,0.03007062590453126,19,0.4236709005786336,4.563860847101915e-06,6.208323036352832e-06
CentralAsiaSiberia|WestEurasia,tracts,0.29225304975077254,0.034610836147102496,19,0.31782174622587167,3.307294149099427e-06,7.0988350361230884e-06
CentralAsiaSiberia|WestEurasia,individuals,0.21299978961365085,0.02541692603916566,19,0.16004163184294842,2.020578845532583e-06,1.0604753839873996e-05
EastAsia|Melanesia,variants,0.22747975191543574,0.026594859320260636,19,0.18332512201057366,2.0624232541067717e-06,9.187662012373057e-06
EastAsia|Melanesia,tracts,0.18167665601132882,0.03385284040406711,19,0.16379332971774213,1.6193105546631921e-06,8.266992858630128e-06
EastAsia|Melanesia,individuals,0.15087086258892562,0.019595528904979936,19,0.10444801535403463,1.1480311064597064e-06,9.843380291529677e-06
EastAsia|SouthAsia,variants,0.3878271155173851,0.042738910183476246,19,0.5559166698440022,4.018063885654678e-06,3.2097529862196654e-06
EastAsia|SouthAsia,tracts,0.3205581587734739,0.03786162651943264,19,0.32438520285713895,2.2935637335135404e-06,4.776930584082193e-06
EastAsia|SouthAsia,individuals,0.2501663354541474,0.03202533965963892,19,0.22225348463933572,1.6086621003619707e-06,5.62929910853626e-06
EastAsia|WestEurasia,variants,0.21239510923909477,0.040015152029726345,19,0.18540589668164278,2.6193421570556556e-06,1.1508267611220927e-05
EastAsia|WestEurasia,tracts,0.16318982548223088,0.023750365459410283,19,0.11293519794422979,1.6313888397695854e-06,1.281396450857453e-05
EastAsia|WestEurasia,individuals,0.17019173358198667,0.04284002770924625,19,0.13607217599477625,1.7222303839242618e-06,1.0934511314616499e-05
Melanesia|SouthAsia,variants,0.23498342269759573,0.03726329300165469,19,0.20602195224372385,3.4548716983997413e-06,1.3314563115578869e-05
Melanesia|SouthAsia,tracts,0.15757464378410804,0.03498307095297357,19,0.1236379262182751,1.958542303844614e-06,1.3882408476799579e-05
Melanesia|SouthAsia,individuals,0.14065395898988978,0.03509599148654535,19,0.11272956139380375,1.8786109723854556e-06,1.4786148023906663e-05
Melanesia|WestEurasia,variants,0.18797227672649083,0.0285670743208406,19,0.15679293677966907,2.4711922587901494e-06,1.3289672417548909e-05
Melanesia|WestEurasia,tracts,0.13305231538658996,0.03303471626842388,19,0.08936260876930685,1.5115843218293554e-06,1.5403592424314783e-05
Melanesia|WestEurasia,individuals,0.04292674936406178,0.026013498289759476,19,0.026243801450826016,4.575778930858733e-07,1.6978078063359842e-05
SouthAsia|WestEurasia,variants,0.35242183538963034,0.035052858826860364,19,0.44585263293801664,3.739014965138459e-06,4.647197628246102e-06
SouthAsia|WestEurasia,tracts,0.2977012113017868,0.028574896500611496,19,0.2905046188703241,2.6226775947587837e-06,6.405328930430059e-06
SouthAsia|WestEurasia,individuals,0.18846997331345763,0.04185119598663921,19,0.16209555040047605,1.6279328582308073e-06,8.415111841076536e-06
