label,series,date_bp,median_coverage,median_snps,n_ind,alpha,alpha_se,alpha_z,alpha_nsnp,D_Den,D_Den_se,D_Den_z,D_Den_nsnp,D_Nea,D_Nea_se,D_Nea_z,D_Nea_nsnp,date_min,date_max,f_papuan,f_papuan_se,f_papuan_hanbase
Papuan,present-day anchor,0.0,,,32,0.029363241055428042,0.004367412215198788,6.72325844426653,505841,0.03448500362076923,0.005822532024784169,5.922681657048941,560995,0.02778869193210565,0.004600385304342055,6.04051402083156,1098554,,,,,
Nasioi,present-day anchor,0.0,,,13,0.02863822637830167,0.003924851042325841,7.296640323279848,505814,0.02459248015729102,0.004832369894295991,5.089113767205481,560979,0.02651140686167485,0.004264918620821792,6.216157732117867,1098497,,,,,
Australian,present-day anchor,0.0,,,2,0.028674370557759968,0.004792323820018323,5.983395871118396,495710,0.03363598131138418,0.005931832835853742,5.670419622764555,554579,0.027594751222419577,0.004989374531733065,5.53070350740627,1075782,,,,,
Taiwan_Austronesian,present-day anchor,0.0,,,3,0.02234734430716647,0.0036258871054429304,6.163276367215126,495854,-0.003990479942513737,0.004471647049939373,-0.8923960003882327,554756,0.017010947651635647,0.00380270904206627,4.47337607570219,1076132,,,,,
Han,present-day anchor,0.0,,,46,0.022900935444953693,0.003812698339658238,6.006490260912297,505837,-0.003384936960550031,0.0043729918628674916,-0.7740551701668236,560996,0.017546161726448906,0.003829532266294595,4.581802817247533,1098550,,,,,
Vanuatu 2950-2820 BP,Vanuatu,2885.0,0.24639961,71168.0,5,0.018777959074057098,0.005292223347258581,3.5482174205259587,228309,-0.008004880040387422,0.007447290767490365,-1.0748714251001317,266484,0.012189759000710019,0.005329258778764233,2.2873272826013196,492475,2820.0,2950.0,-0.04497439521157709,0.01624386252614832,-0.02326904604323819
Vanuatu 2570-2040 BP,Vanuatu,2375.0,0.462530385,141163.0,6,0.019197291934376148,0.004989991342596613,3.847159366891119,421282,0.023923780140022353,0.005756404929107576,4.156028013083383,479906,0.018751875553469428,0.0046437121594211815,4.038121853747017,914042,2038.0,2567.0,0.7627780676472206,0.013603493365939835,0.7667660182373028
Vanuatu 1310-1160 BP,Vanuatu,1223.5,1.24580472,277452.0,6,0.024700142180457924,0.004008765063470773,6.161533985998331,483609,0.023813465972875043,0.005858614524396934,4.0646924070032275,547659,0.024558799736882134,0.004426553001433646,5.548064087096251,1050118,1159.0,1305.0,0.834354382173563,0.009651314707128147,0.83683295417836
Vanuatu 480-135 BP,Vanuatu,202.0,2.58716157,325529.0,14,0.029408458205178994,0.004213129677264683,6.980192981924078,490260,0.025763728075437992,0.005374012692522,4.794132345702963,553435,0.02782535888688637,0.004281718000269161,6.498643508315398,1064529,135.0,480.0,0.7752818113923547,0.007686020768991697,0.778823921785123
Guam 2700-2600 BP,Guam,2626.5,0.07594606000000001,32006.5,18,0.01866284988465691,0.005001240064981384,3.731644480602708,306851,-0.008744559348463094,0.006008735091700289,-1.4553078501566374,356071,0.01289824297088047,0.004777702084431116,2.699675020112995,663981,2420.0,2728.0,-0.049416706494927215,0.014543851158973655,-0.035678635738041704
Guam 600-500 BP,Guam,525.0,4.11323969,331606.0,78,0.024328453990175605,0.00350254120459192,6.945943693190643,494517,-0.005159958046032062,0.004029917787524052,-1.2804127324895869,557555,0.01950731009795208,0.003689000760968051,5.287965864456222,1074036,365.0,1565.0,-0.003625041101665072,0.014677286740922151,0.01158768069757695
