label,series,date_bp,median_coverage,median_snps,n_ind,alpha,alpha_se,alpha_z,alpha_nsnp,D_Den,D_Den_se,D_Den_z,D_Den_nsnp,D_Nea,D_Nea_se,D_Nea_z,D_Nea_nsnp,date_min,date_max,f_papuan,f_papuan_se,f_papuan_hanbase
Papuan,present-day anchor,0.0,,,32,0.04901100158976996,0.007355241730165442,6.663411399351459,137882,0.04643710771801922,0.00777198204730878,5.974937594471038,104212,0.049610534867094415,0.007339694174222792,6.759210082802629,216689,,,,,
Nasioi,present-day anchor,0.0,,,13,0.046160465786847,0.006493984668021442,7.108188292183166,137872,0.04568107155649105,0.007954247486136838,5.742978406958909,104207,0.04877495147162611,0.006859657757551674,7.110405970025347,216672,,,,,
Australian,present-day anchor,0.0,,,2,0.04739463035004118,0.008375295906625304,5.658860400687396,134794,0.0571907530196842,0.008650394420356096,6.611346285563928,102969,0.04933358297677964,0.00832661970817825,5.924803186138681,211566,,,,,
Taiwan_Austronesian,present-day anchor,0.0,,,3,0.03757792487680749,0.005812863101827978,6.464615494727601,134831,0.006860516716847857,0.007532883649812505,0.9107424242532428,102994,0.03646811450223233,0.005593990816433515,6.519158807894292,211634,,,,,
Han,present-day anchor,0.0,,,46,0.03605442050991592,0.005815037664186723,6.200204124552029,137879,0.004349471899648551,0.006752482510850644,0.6441293098737143,104212,0.0365401586809653,0.005979751302058656,6.11064855964588,216687,,,,,
Vanuatu 2950-2820 BP,Vanuatu,2885.0,0.24639961,71168.0,5,0.020985093730467357,0.008418963095413456,2.4925983749589977,62701,0.01055909329567669,0.01497820738528518,0.704963753275983,51023,0.026561297961356204,0.008981841388208569,2.957221889514335,97964,2820.0,2950.0,-0.018708279141217768,0.026001957881066736,0.023786993848622925
Vanuatu 2570-2040 BP,Vanuatu,2375.0,0.462530385,141163.0,6,0.039589847044240664,0.007300953815561534,5.42255820874491,113283,0.04338016865421146,0.010965671535497112,3.9559974520288135,88946,0.043841119418791846,0.007247576683992579,6.049072859845954,177700,2038.0,2567.0,0.7854377463844978,0.015862919315773164,0.7899056821803624
Vanuatu 1310-1160 BP,Vanuatu,1223.5,1.24580472,277452.0,6,0.04397599374624151,0.007055316256140515,6.233029413524518,131305,0.03784156041809818,0.009452511186541817,4.003334105753377,101761,0.04606394336915788,0.00738946261098809,6.233733871345536,206199,1159.0,1305.0,0.8429444062235624,0.016533325577732277,0.845509795598919
Vanuatu 480-135 BP,Vanuatu,202.0,2.58716157,325529.0,14,0.0489136188687347,0.006935535334232253,7.052608992893167,133119,0.042461021759241,0.008005101150725748,5.304245500432115,102833,0.05184845778696208,0.00738957769131741,7.016430431184568,209104,135.0,480.0,0.7982690129542687,0.011317737125420703,0.8019639581188386
Guam 2700-2600 BP,Guam,2626.5,0.07594606000000001,32006.5,18,0.03945839062264088,0.009325509473659836,4.231231626978903,83325,0.012293126285783836,0.011745622656714975,1.0466134188940468,67069,0.04570496353699343,0.009396040035001453,4.864279352443858,130646,2420.0,2728.0,-0.0165308699920485,0.018777171845614112,0.0102196063997546
Guam 600-500 BP,Guam,525.0,4.11323969,331606.0,78,0.037969703503859205,0.005893127194582194,6.4430483595817165,134233,0.004366429425584379,0.007644468367372512,0.5711881082824297,103510,0.03970153119650445,0.006220433706332455,6.3824377962726215,210859,365.0,1565.0,-0.002744637728558751,0.016944877644425656,0.015316661282452213
