genetic_id,group_id,date_bp,coverage,locality,alpha_Nea,alpha_SE,alpha_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
I5266.AG,Vanuatu_3000BP,2950.0,0.14625178,Teouma (Efate),0.011581,0.0089,62072,-0.012359,0.013228,-0.934,69894
I1370.AG,Vanuatu_2900BP,2945.0,0.31540909,Teouma (Efate),0.005127,0.0075,91923,-0.005809,0.009582,-0.606,107346
I1369.AG,Vanuatu_2900BP,2885.0,0.39217513,Teouma (Efate),0.018536,0.009107,106237,-0.014752,0.009141,-1.614,123709
I1368.AG,Vanuatu_2900BP,2870.0,0.24639961,Teouma (Efate),0.024671,0.011855,71168,-0.01589,0.012662,-1.255,82894
I5951.AG,Vanuatu_2900BP,2820.0,0.13257329,Teouma (Efate),0.023991,0.012225,55944,-0.025016,0.014089,-1.776,62638
I16998.AG,Guam_LateUnai,2728.0,0.13985968,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.017838,0.015134,48072,-0.029574,0.016197,-1.826,56002
I18495.AG,Guam_LateUnai,2719.0,0.34955186,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.023658,0.007824,109682,-0.01595,0.010481,-1.522,127014
I18496.AG,Guam_LateUnai,2708.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.007772,0.014747,42205,-0.005335,0.017523,-0.304,47371
I18501.AG,Guam_LateUnai_PreLatte,2703.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.022677,0.014847,26653,-0.004422,0.01667,-0.265,31403
I18445.AG,Guam_LateUnai,2693.0,0.12759171,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.019046,0.012264,54165,0.013309,0.012679,1.05,61190
I18442.AG,Guam_LateUnai,2674.0,0.06201685,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",-0.001472,0.019396,25161,-0.037454,0.020802,-1.801,28128
I18503.AG,Guam_LateUnai,2644.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.010663,0.019214,22479,-0.004462,0.019111,-0.233,25964
I18447.AG,Guam_PreLattePeriod_LateUnai,2632.0,0.31314079,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.007669,0.00851,101613,-0.017163,0.009818,-1.748,116032
I18461.AG,Guam_LateUnai,2630.0,0.08954763,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.016266,0.015276,37192,-0.035305,0.017889,-1.974,40953
I16820.AG,Guam_LateUnai,2623.0,0.07281606,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",-0.005278,0.015944,32199,-0.058441,0.019416,-3.01,36385
I18450.AG,Guam_LateUnai,2593.0,0.03167805,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.000392,0.01947,14324,-0.024763,0.022855,-1.083,16076
MAL004.AG,Vanuatu_2600BP,2567.0,1.77013729,Malakula (Malampa Province),0.016361,0.00544,307542,0.020146,0.006854,2.939,344000
I18443.AG,Guam_LateUnai,2550.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.04299,0.021149,15799,-0.006747,0.026439,-0.255,17991
I18462.AG,Guam_LateUnai,2550.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.006068,0.010751,46851,-0.013239,0.014736,-0.898,52828
I18444.AG,Guam_LateUnai,2550.0,0.06695758,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.009,0.01352,27588,-0.021615,0.01923,-1.124,30427
I18959.AG,Guam_LateUnai,2550.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.038669,0.01288,46332,0.00899,0.015079,0.596,51769
MAL002.AG,Vanuatu_2500BP,2525.0,0.30687383,Malakula (Malampa Province),0.019032,0.009764,101611,0.017759,0.012081,1.47,110673
I16997.AG,Guam_LateUnai,2525.0,0.07907606,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.018247,0.016675,31814,-0.018268,0.018882,-0.967,36576
I16819.AG,Guam_LateUnai,2518.0,0.03539772,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",-0.01101,0.020371,15803,-0.028245,0.028607,-0.987,17890
TAN002.AG,Vanuatu_2500BP,2490.0,0.24455976,Tanna (Tafea Province),0.020944,0.009663,88438,0.0344,0.014431,2.384,95371
I16822.AG,Guam_LateUnai,2420.0,0.04401207,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.045053,0.019367,19838,-0.042657,0.022213,-1.92,22268
I4451.AG,Vanuatu_2300BP,2260.0,1.73904066,Mele-Taplins (Efate),0.01567,0.006645,331957,0.029848,0.007214,4.138,380876
MAL001.AG,Vanuatu_2200BP,2240.0,0.08980836,Malakula (Malampa Province),0.007681,0.016975,29969,0.009669,0.017284,0.559,34251
MAL007.AG,Vanuatu_2000BP,2038.0,0.61818694,Malakula (Malampa Province),0.01949,0.008116,180715,0.025834,0.007763,3.328,197772
I24239.AG,Guam_PreLattePeriod,1565.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.02582,0.006169,263318,-0.001909,0.007289,-0.262,319795
I4096.AG,Vanuatu_1300BP,1305.0,10.8998669,Burumbe (Epi Island),0.022471,0.00461,432935,0.023136,0.007125,3.247,502265
I3921.AG,Vanuatu_1300BP,1260.0,13.1284903,Burumbe (Epi Island),0.023041,0.005318,448705,0.024272,0.007341,3.306,516990
FUT002.AG,Vanuatu_1200BP,1238.0,1.1821301,Futuna (Tafea Province),0.021943,0.005144,279232,0.020701,0.006645,3.115,318954
FUT006.AG,Vanuatu_1200BP,1209.0,0.75224028,Futuna (Tafea Province),0.020489,0.007018,209360,0.017745,0.007898,2.247,245069
FUT007.AG,Vanuatu_1200BP,1204.0,0.60816555,Futuna (Tafea Province),0.026301,0.00642,179788,0.02496,0.007322,3.409,202333
