cohort,series,date_bp,statistic,f_papuan,observed,observed_se,predicted,predicted_se,residual,residual_z
Vanuatu 2950-2820 BP,Vanuatu,2885.0,alpha,-0.04497439521157709,0.018777959074057098,0.005292223347258581,0.022031808594046534,0.0037957583274955313,-0.0032538495199894366,-0.4996151895762206
Vanuatu 2950-2820 BP,Vanuatu,2885.0,D_Den,-0.04497439521157709,-0.008004880040387422,0.007447290767490365,-0.005720891546245364,0.004721635436713465,-0.002283988494142058,-0.25901624876455864
Vanuatu 2570-2040 BP,Vanuatu,2375.0,alpha,0.7627780676472206,0.019197291934376148,0.004989991342596613,0.02769891647161785,0.0034419399684967994,-0.008501624537241702,-1.4024622720526694
Vanuatu 2570-2040 BP,Vanuatu,2375.0,D_Den,0.7627780676472206,0.023923780140022353,0.005756404929107576,0.02535777506167964,0.00459612126573268,-0.0014339949216572861,-0.1946729472784696
Vanuatu 1310-1160 BP,Vanuatu,1223.5,alpha,0.834354382173563,0.024700142180457924,0.004008765063470773,0.028201088503955765,0.003693756084657469,-0.003500946323497841,-0.6422508143718668
Vanuatu 1310-1160 BP,Vanuatu,1223.5,D_Den,0.834354382173563,0.023813465972875043,0.005858614524396934,0.028111708374758296,0.004928208755943548,-0.004298242401883253,-0.5614392870958657
Vanuatu 480-135 BP,Vanuatu,202.0,alpha,0.7752818113923547,0.029408458205178994,0.004213129677264683,0.02778664144670043,0.0034830503618747963,0.0016218167584785628,0.29668542759524635
Vanuatu 480-135 BP,Vanuatu,202.0,D_Den,0.7752818113923547,0.025763728075437992,0.005374012692522,0.02583886264862505,0.0046340397342093205,-7.513457318705785e-05,-0.010588181664489283
Guam 2700-2600 BP,Guam,2626.5,alpha,-0.049416706494927215,0.01866284988465691,0.005001240064981384,0.022000641796758914,0.0038125480338440224,-0.0033377919121020047,-0.530759050754037
Guam 2700-2600 BP,Guam,2626.5,D_Den,-0.049416706494927215,-0.008744559348463094,0.006008735091700289,-0.005891811621010887,0.004734618613715116,-0.002852747727452207,-0.372911351259678
Guam 600-500 BP,Guam,525.0,alpha,-0.003625041101665072,0.024328453990175605,0.00350254120459192,0.02232191139308899,0.0036405221710784255,0.0020065425970866163,0.39718959923143143
Guam 600-500 BP,Guam,525.0,D_Den,-0.003625041101665072,-0.005159958046032062,0.004029917787524052,-0.004129955151837077,0.004523296294885654,-0.001030002894194985,-0.17002107962770704
