cohort,series,date_bp,statistic,f_papuan,observed,observed_se,predicted,predicted_se,residual,residual_z
Vanuatu 2950-2820 BP,Vanuatu,2885.0,alpha,-0.018708279141217768,0.020985093730467357,0.008418963095413456,0.03736403168621844,0.005930665862588333,-0.016378937955751086,-1.5904749903000603
Vanuatu 2950-2820 BP,Vanuatu,2885.0,D_Den,-0.018708279141217768,0.01055909329567669,0.01497820738528518,0.006120106804940136,0.007743868433977978,0.004438986490736554,0.2632598029082355
Vanuatu 2570-2040 BP,Vanuatu,2375.0,alpha,0.7854377463844978,0.039589847044240664,0.007300953815561534,0.04655789488447782,0.005912965211716953,-0.006968047840237156,-0.7416717436456917
Vanuatu 2570-2040 BP,Vanuatu,2375.0,D_Den,0.7854377463844978,0.04338016865421146,0.010965671535497112,0.037945465162388885,0.006345885892579354,0.005434703491822575,0.42895960105602005
Vanuatu 1310-1160 BP,Vanuatu,1223.5,alpha,0.8429444062235624,0.04397599374624151,0.007055316256140515,0.047215372937924084,0.006269763780393777,-0.003239379191682573,-0.343204982594015
Vanuatu 1310-1160 BP,Vanuatu,1223.5,D_Den,0.8429444062235624,0.03784156041809818,0.009452511186541817,0.04022138271868303,0.006689394897933888,-0.0023798223005848523,-0.20551022046419362
Vanuatu 480-135 BP,Vanuatu,202.0,alpha,0.7982690129542687,0.0489136188687347,0.006935535334232253,0.046704595739494474,0.0059888125870977684,0.002209023129240227,0.24107078545970836
Vanuatu 480-135 BP,Vanuatu,202.0,D_Den,0.7982690129542687,0.042461021759241,0.008005101150725748,0.03845328295144771,0.006403211873722011,0.004007738807793287,0.3909612013587612
Guam 2700-2600 BP,Guam,2626.5,alpha,-0.0165308699920485,0.03945839062264088,0.009325509473659836,0.0373889261720564,0.005914103338923897,0.0020694644505844795,0.1874052560999087
Guam 2700-2600 BP,Guam,2626.5,D_Den,-0.0165308699920485,0.012293126285783836,0.011745622656714975,0.0062062812362790164,0.007694456924054014,0.006086845049504819,0.43348900322996864
Guam 600-500 BP,Guam,525.0,alpha,-0.002744637728558751,0.037969703503859205,0.005893127194582194,0.03754654522310759,0.00583207088715024,0.00042315828075161627,0.05103777882108002
Guam 600-500 BP,Guam,525.0,D_Den,-0.002744637728558751,0.004366429425584379,0.007644468367372512,0.006751893312018303,0.007583299789528233,-0.0023854638864339237,-0.2215379252691578
