"stat","pops","est","se"
"alpha_Nea","French",0.0138627459830318,NA
"D_Nea","French",0.00104419251349883,0.000215862938131206
"alpha_Nea","Han",0.0154956798670455,NA
"D_Nea","Han",0.00116719104054482,0.000240436554691963
"alpha_Nea","Sardinian",0.0139010551428832,NA
"D_Nea","Sardinian",0.00104707809893509,0.000222316114351534
"alpha_Nea","Papuan",0.0246953613379872,NA
"D_Nea","Papuan",0.00186014455280634,0.000280342406662179
"alpha_Nea","Yoruba",-0.00364372259269879,NA
"D_Nea","Yoruba",-0.000274458455577248,0.00013157616958499
"D_diff_FrenchHan","French;Han",-0.000597539651225564,0.000245352161498496
