genetic_id	excluded_chromosome	generations
RNI013.SG	1	56.41554022097298
RNI013.SG	2	58.691970936408524
RNI013.SG	3	54.63938945349583
RNI013.SG	4	55.91064656158645
RNI013.SG	5	55.838128385528634
RNI013.SG	6	59.556264632986576
RNI013.SG	7	55.57057849988732
RNI013.SG	8	56.218199530148375
RNI013.SG	9	53.40999544952574
RNI013.SG	10	45.2319189952281
RNI013.SG	11	56.00260518370071
RNI013.SG	12	56.403412217519744
RNI013.SG	13	54.343834532424886
RNI013.SG	14	55.8909562940306
RNI013.SG	15	55.26087047673084
RNI013.SG	16	60.12683933469992
RNI013.SG	17	55.07987493327391
RNI013.SG	18	54.7624161415057
RNI013.SG	19	55.368548143373765
RNI013.SG	20	53.32416423279276
RNI013.SG	21	55.21980999037611
RNI013.SG	22	54.91631027973054
ZKU002.SG	1	115.1583086205047
ZKU002.SG	2	121.56268739798111
ZKU002.SG	3	122.62133017746169
ZKU002.SG	4	126.28117030751886
ZKU002.SG	5	122.63545731427581
ZKU002.SG	6	139.91597235859018
ZKU002.SG	7	123.46613464193368
ZKU002.SG	8	126.41726618514224
ZKU002.SG	9	106.55922358222936
ZKU002.SG	10	122.46322043269204
ZKU002.SG	11	122.02116820383723
ZKU002.SG	12	116.69787342817476
ZKU002.SG	13	127.38834413369585
ZKU002.SG	14	123.21654683031879
ZKU002.SG	15	123.47753216972936
ZKU002.SG	16	118.80785769595784
ZKU002.SG	17	122.8394332012366
ZKU002.SG	18	122.84295648636508
ZKU002.SG	19	123.30447902225501
ZKU002.SG	20	124.98392277555746
ZKU002.SG	21	122.97265302856012
ZKU002.SG	22	122.65718617527271
Ust_Ishim.DG	1	139.84422966324658
Ust_Ishim.DG	2	100.21520725681017
Ust_Ishim.DG	3	90.53030681563304
Ust_Ishim.DG	4	90.61536684409916
Ust_Ishim.DG	5	91.08911556555704
Ust_Ishim.DG	6	79.40130914841293
Ust_Ishim.DG	7	86.4925744686667
Ust_Ishim.DG	8	90.15160431226235
Ust_Ishim.DG	9	97.6029243723334
Ust_Ishim.DG	10	79.64590767108231
Ust_Ishim.DG	11	88.20541500088302
Ust_Ishim.DG	12	73.39292087573527
Ust_Ishim.DG	13	89.38625030996624
Ust_Ishim.DG	14	81.30021461372328
Ust_Ishim.DG	15	88.1405680173446
Ust_Ishim.DG	16	87.66146160340801
Ust_Ishim.DG	17	88.72510411218549
Ust_Ishim.DG	18	87.74024759136273
Ust_Ishim.DG	19	89.34001601793256
Ust_Ishim.DG	20	87.52734101849546
Ust_Ishim.DG	21	90.75094344328052
Ust_Ishim.DG	22	83.32391799097108
Tianyuan.AG.BY.AA	1	152.26353833365198
Tianyuan.AG.BY.AA	2	172.62582611671036
Tianyuan.AG.BY.AA	3	178.32907955897434
Tianyuan.AG.BY.AA	4	179.43963914677164
Tianyuan.AG.BY.AA	5	186.37534442691916
Tianyuan.AG.BY.AA	6	176.31248961839017
Tianyuan.AG.BY.AA	7	177.09140131811404
Tianyuan.AG.BY.AA	8	177.3541073095333
Tianyuan.AG.BY.AA	9	336.41984955347056
Tianyuan.AG.BY.AA	10	177.14400118150616
Tianyuan.AG.BY.AA	11	174.26624933801594
Tianyuan.AG.BY.AA	12	177.21152708884736
Tianyuan.AG.BY.AA	13	176.40806407006235
Tianyuan.AG.BY.AA	14	178.45256720409026
Tianyuan.AG.BY.AA	15	182.55347870250262
Tianyuan.AG.BY.AA	16	176.32331043816404
Tianyuan.AG.BY.AA	17	178.11917849945021
Tianyuan.AG.BY.AA	18	179.5002497106548
Tianyuan.AG.BY.AA	19	178.5221953011445
Tianyuan.AG.BY.AA	20	179.06387325907363
Tianyuan.AG.BY.AA	21	177.88385448068973
Tianyuan.AG.BY.AA	22	176.94676303733658
Kostenki14_d.AG.BY.AA	1	145.8678404711833
Kostenki14_d.AG.BY.AA	2	119.2234495046451
Kostenki14_d.AG.BY.AA	3	205.37144795754475
Kostenki14_d.AG.BY.AA	4	156.31593208023105
Kostenki14_d.AG.BY.AA	5	182.5344677814403
Kostenki14_d.AG.BY.AA	6	89.92694046266973
Kostenki14_d.AG.BY.AA	7	153.99811430540328
Kostenki14_d.AG.BY.AA	8	173.69908466501866
Kostenki14_d.AG.BY.AA	9	332.7077368757081
Kostenki14_d.AG.BY.AA	10	196.39565939932544
Kostenki14_d.AG.BY.AA	11	163.4934661395867
Kostenki14_d.AG.BY.AA	12	123.80008946312316
Kostenki14_d.AG.BY.AA	13	168.38419191043658
Kostenki14_d.AG.BY.AA	14	162.49612723793516
Kostenki14_d.AG.BY.AA	15	164.42746970834088
Kostenki14_d.AG.BY.AA	16	90.65716858305927
Kostenki14_d.AG.BY.AA	17	171.58965133568546
Kostenki14_d.AG.BY.AA	18	147.72808261034112
Kostenki14_d.AG.BY.AA	19	170.15785583691348
Kostenki14_d.AG.BY.AA	20	137.51858357516912
Kostenki14_d.AG.BY.AA	21	164.9227588579466
Kostenki14_d.AG.BY.AA	22	163.74990490362285
F6-620.AG.BY.AA	1	71.25942314934409
F6-620.AG.BY.AA	2	71.55072377844171
F6-620.AG.BY.AA	3	70.1684578692627
F6-620.AG.BY.AA	4	69.68675497341611
F6-620.AG.BY.AA	5	69.23184911608783
F6-620.AG.BY.AA	6	56.64441738561722
F6-620.AG.BY.AA	7	70.52747162827939
F6-620.AG.BY.AA	8	70.6725840880951
F6-620.AG.BY.AA	9	98.2724097207455
F6-620.AG.BY.AA	10	67.0738937262409
F6-620.AG.BY.AA	11	70.27273493592386
F6-620.AG.BY.AA	12	66.04459852695992
F6-620.AG.BY.AA	13	69.54836353493799
F6-620.AG.BY.AA	14	69.92432437504608
F6-620.AG.BY.AA	15	64.85113331209186
F6-620.AG.BY.AA	16	68.2096410615471
F6-620.AG.BY.AA	17	69.67348042712077
F6-620.AG.BY.AA	18	69.57801879470516
F6-620.AG.BY.AA	19	68.66302577130199
F6-620.AG.BY.AA	20	69.17113391069103
F6-620.AG.BY.AA	21	69.6451436207809
F6-620.AG.BY.AA	22	69.58828843351563
