genetic_id	excluded_chromosome	generations
RNI013.SG	1	72.14832078359278
RNI013.SG	2	175.2062364472756
RNI013.SG	3	141.7350311638926
RNI013.SG	4	131.4428393469515
RNI013.SG	5	110.44447137874856
RNI013.SG	6	32.51521690767005
RNI013.SG	7	118.20021535116611
RNI013.SG	8	118.56561332878601
RNI013.SG	9	321.2125416881278
RNI013.SG	10	48.30771162432288
RNI013.SG	11	159.84953978182725
RNI013.SG	12	26.164304663356535
RNI013.SG	13	124.44008963732493
RNI013.SG	14	189.70623220967647
RNI013.SG	15	117.25140199752084
RNI013.SG	16	141.72749936210283
RNI013.SG	17	128.85582662808662
RNI013.SG	18	121.85871506380785
RNI013.SG	19	130.48148309995793
RNI013.SG	20	120.74391182070163
RNI013.SG	21	128.58747393472785
RNI013.SG	22	136.89008036498146
ZKU002.SG	1	94.42084277118018
ZKU002.SG	2	99.89922573416422
ZKU002.SG	3	102.02527002464403
ZKU002.SG	4	102.84618767496995
ZKU002.SG	5	101.22767814993394
ZKU002.SG	6	116.80964596382692
ZKU002.SG	7	101.00725875012398
ZKU002.SG	8	107.47432405504567
ZKU002.SG	9	98.10992802676172
ZKU002.SG	10	101.94294468802825
ZKU002.SG	11	100.94695270152074
ZKU002.SG	12	90.59308823148518
ZKU002.SG	13	105.25903364909234
ZKU002.SG	14	101.92326145198908
ZKU002.SG	15	103.83069886844433
ZKU002.SG	16	95.33728141921806
ZKU002.SG	17	103.16402915871114
ZKU002.SG	18	102.31464512013895
ZKU002.SG	19	103.49862357395602
ZKU002.SG	20	106.638616944014
ZKU002.SG	21	103.18360312640876
ZKU002.SG	22	102.81809443858658
