genetic_id	distance_cm	covariance	n_pairs	fitted_covariance
RNI013.SG	0.025	0.34050632911392403	80	0.24135632039935173
RNI013.SG	0.035	0.29388738331827763	82	0.23884041289554384
RNI013.SG	0.045	0.19807692307692307	65	0.23635685358495345
RNI013.SG	0.05500000000000001	0.2451923076923077	65	0.23390522655181148
RNI013.SG	0.065	0.21420765027322405	61	0.23148512122797138
RNI013.SG	0.075	0.11915535444947209	52	0.22909613232415219
RNI013.SG	0.085	0.12235294117647058	51	0.22673785976206584
RNI013.SG	0.095	-0.008456659619450317	44	0.224409908607417
RNI013.SG	0.10500000000000001	0.2782608695652174	46	0.22211188900376416
RNI013.SG	0.115	0.17610062893081763	54	0.21984341610723154
RNI013.SG	0.125	0.2669172932330827	57	0.21760411002206012
RNI013.SG	0.135	0.14328808446455504	52	0.2153935957369873
RNI013.SG	0.145	0.3698781838316722	43	0.21321150306244485
RNI013.SG	0.155	0.5113636363636364	33	0.21105746656856395
RNI013.SG	0.16499999999999998	0.06765327695560254	44	0.20893112552397766
RNI013.SG	0.175	0.2007843137254902	51	0.20683212383541
RNI013.SG	0.185	0.2578397212543554	42	0.20476010998804198
RNI013.SG	0.195	0.1700404858299595	39	0.20271473698664408
RNI013.SG	0.205	0.041811846689895474	42	0.2006956622974659
RNI013.SG	0.215	0.17417417417417416	37	0.19870254779087287
RNI013.SG	0.225	0.14358974358974358	40	0.1967350596847203
RNI013.SG	0.235	0.08108108108108109	37	0.19479286848845603
RNI013.SG	0.245	0.23170731707317072	41	0.19287564894794101
RNI013.SG	0.255	0.08403361344537814	35	0.1909830799909801
RNI013.SG	0.265	0.27586206896551724	30	0.18911484467355263
RNI013.SG	0.275	0.39420289855072466	46	0.18727063012673478
RNI013.SG	0.28500000000000003	0.19433198380566802	39	0.18545012750430392
RNI013.SG	0.29500000000000004	0.14492753623188406	24	0.1836530319310171
RNI013.SG	0.30500000000000005	0.3742690058479532	19	0.18187904245155406
RNI013.SG	0.315	0.0	29	0.18012786198011724
RNI013.SG	0.325	0.1391304347826087	46	0.17839919725067924
RNI013.SG	0.335	0.2213225371120108	39	0.17669275876787058
RNI013.SG	0.34500000000000003	0.2732732732732733	37	0.17500826075849832
RNI013.SG	0.35500000000000004	0.08484848484848485	45	0.17334542112368836
RNI013.SG	0.36500000000000005	0.189247311827957	31	0.17170396139164323
RNI013.SG	0.375	0.08695652173913043	24	0.17008360667100672
RNI013.SG	0.385	0.4559139784946237	31	0.16848408560482878
RNI013.SG	0.395	-0.008602150537634409	31	0.16690513032512186
RNI013.SG	0.405	0.05641025641025642	40	0.16534647640800182
RNI013.SG	0.41500000000000004	0.25882352941176473	35	0.1638078628294053
RNI013.SG	0.42500000000000004	0.23448275862068965	30	0.16228903192137684
RNI013.SG	0.43500000000000005	0.40459770114942534	30	0.16078972932891772
RNI013.SG	0.445	0.08859357696566998	43	0.15930970396738978
RNI013.SG	0.455	0.1231527093596059	29	0.15784870798046685
RNI013.SG	0.465	0.07804878048780488	41	0.15640649669862688
RNI013.SG	0.47500000000000003	-0.014778325123152709	29	0.1549828285981776
RNI013.SG	0.48500000000000004	0.14260249554367202	34	0.1535774652608094
RNI013.SG	0.49500000000000005	0.16734143049932526	39	0.15219017133366758
RNI013.SG	0.505	-0.04329004329004329	22	0.1508207144899387
RNI013.SG	0.515	0.06258890469416785	38	0.1494688653899432
RNI013.SG	0.525	0.40840840840840836	37	0.1481343976427285
RNI013.SG	0.535	0.10483870967741936	32	0.14681708776815589
RNI013.SG	0.545	0.10227272727272727	33	0.14551671515947454
RNI013.SG	0.555	0.3619047619047619	21	0.14423306204637754
RNI013.SG	0.5650000000000001	0.2898550724637681	24	0.14296591345853185
RNI013.SG	0.5750000000000001	0.3024193548387097	32	0.14171505718957825
