genetic_id	excluded_chromosome	generations
RNI013.SG	1	56.94712998818411
RNI013.SG	2	60.18990412286891
RNI013.SG	3	55.385272362824146
RNI013.SG	4	57.96792553219231
RNI013.SG	5	57.291071612427814
RNI013.SG	6	56.4808038223469
RNI013.SG	7	57.36225581394011
RNI013.SG	8	57.319411197966645
RNI013.SG	9	56.84045543745569
RNI013.SG	10	44.766432755497554
RNI013.SG	11	57.20788826756524
RNI013.SG	12	58.436029509608765
RNI013.SG	13	55.29105309611837
RNI013.SG	14	57.06290161182312
RNI013.SG	15	56.30592740095947
RNI013.SG	16	64.50882573009713
RNI013.SG	17	56.248386229885504
RNI013.SG	18	55.95385979661438
RNI013.SG	19	56.59598412917074
RNI013.SG	20	54.53038250816813
RNI013.SG	21	56.39597494856409
RNI013.SG	22	56.091589965114636
ZKU002.SG	1	106.71093918765403
ZKU002.SG	2	113.9496405917506
ZKU002.SG	3	114.31230438164502
ZKU002.SG	4	118.01204132626125
ZKU002.SG	5	114.69044469418756
ZKU002.SG	6	127.89904071288724
ZKU002.SG	7	115.01519159759954
ZKU002.SG	8	117.08079599058989
ZKU002.SG	9	102.96718633804522
ZKU002.SG	10	113.4382199655569
ZKU002.SG	11	114.26721004158695
ZKU002.SG	12	110.24685278770635
ZKU002.SG	13	117.60052546461334
ZKU002.SG	14	114.84950467983971
ZKU002.SG	15	114.99603754330457
ZKU002.SG	16	109.76045509121128
ZKU002.SG	17	114.16517676192467
ZKU002.SG	18	113.72413713160238
ZKU002.SG	19	114.8345203355995
ZKU002.SG	20	116.40096292156011
ZKU002.SG	21	114.50141345299484
ZKU002.SG	22	114.19903826392144
