target,date_bp,n,n_snp,p_free,p_constrained,free_feasible,Anatolia_N_pct,Anatolia_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se,WHG_pct,WHG_se,alpha_Nea,alpha_SE
Balkans_N,7617.0,26,475898,0.41206891018657194,0.43071582619060444,False,97.02367410460498,1.8428920394749864,2.9763258953950316,1.842892039474987,0.0,1.5370501194053903e-19,0.020870492768577078,0.0038019201074058085
CentralEuro_EN,7100.0,49,475899,0.00022417069247857068,0.00022417069247857068,True,94.00732515180385,1.3347231762811955,2.1558630455117864,0.7077220318826692,3.8368118026843567,0.630734946853593,0.022492195130517922,0.003941607937211787
CordedWare,4456.5,49,475899,0.0010177681653244471,0.0010177681653244471,True,20.82618593240926,0.9909231817026338,72.86516809607345,0.5407876048098836,6.3086459715172944,0.45371269183402907,0.023156580095821562,0.003939050013795385
BellBeaker,4200.0,48,475899,3.940068535741256e-09,3.940068535741256e-09,True,34.187623152821644,0.8334814839326086,56.0145425543022,0.4435439065628513,9.797834292876148,0.3942971965639388,0.022851461614341984,0.0040436555421862795
CentralEuro_BA,3912.0,47,475892,1.9841345449460264e-14,1.9841345449460264e-14,True,39.13814602929079,1.0233967312937293,47.082512781640915,0.584782621967099,13.779341189068292,0.44645425877209755,0.023392747330695945,0.004259412569188097
Italy_BA,3835.0,42,475899,3.5091423738505e-06,3.5091423738505e-06,True,81.88488388889677,1.617741014930836,9.445620238422425,0.8665418595375904,8.669495872680804,0.761207978782942,0.023173388332642812,0.004139794569261568
Steppe_MLBA,3825.0,48,475868,8.21421608080082e-18,8.21421608080082e-18,True,9.669235917609276,1.1520876466682857,85.87801150685644,0.6098540624571965,4.452752575534282,0.5511516240679016,0.02424466218383344,0.00404953234057694
Etruscan,2350.0,48,475899,4.068474650909597e-09,4.068474650909597e-09,True,66.839590151709,1.1020743949752494,27.464502556414423,0.6189545176446656,5.695907291876575,0.49264818925404535,0.019989754245619176,0.0039256104941096
ImperialRoman,1750.0,50,475899,2.607183807421097e-47,4.601497201724322e-52,False,71.51096535083452,1.008882186944369,28.489034649165472,1.0088821869443718,1.6940658945085985e-19,3.288452015543016e-19,0.02038699425048009,0.0038336993400189313
French,0.0,28,475893,5.301221091588359e-34,5.301221091588359e-34,True,49.18675917333063,1.2802866869115126,42.568034777791105,0.7194117651165234,8.245206048878257,0.5710178205977965,0.020759493956240514,0.0038016054484474723
English,0.0,10,475868,1.2774515731007463e-12,1.2774515731007463e-12,True,40.52087842384441,1.9025699850311433,48.1345316255737,1.0190798770315364,11.34458995058189,0.8934878284377448,0.020257279436066512,0.0040690669924137585
Sardinian,0.0,28,475897,4.875954568778347e-32,4.875954568778347e-32,True,83.40756258488122,1.4687946602145738,10.570822857316658,0.7888281765209386,6.0216145578021205,0.6895615698752835,0.02001924423310743,0.0037802495161873015
Spanish,0.0,49,475813,5.268601173652751e-81,5.268601173652751e-81,True,68.49552928704716,1.4055159639845327,23.453232289034947,0.7915322836783123,8.051238423917889,0.6197747402383792,0.02014250490609354,0.003761513796509687
Italian_North,0.0,20,475899,3.4972067240004725e-30,1.835230679285289e-30,False,66.38566846917506,1.2865574597155622,33.61433153082494,0.9092424414035053,5.2939559203393726e-21,0.4466107082430596,0.020012019867313317,0.0039701915478091414
Basque,0.0,23,475886,3.6145395570211275e-16,3.6145395570211275e-16,True,53.26486917441392,2.089642506812133,33.86019357947699,1.132887305614683,12.874937246109086,0.9600549134827574,0.019881143323662535,0.003934348813440678
Russian,0.0,25,475896,2.776768304842524e-119,2.776768304842524e-119,True,23.127194969469222,1.538991107878581,62.2548847802192,0.8753027987321194,14.617920250311577,0.6752483350204705,0.022006629976988976,0.00372260465625352
Orcadian,0.0,15,475891,1.7026287971144478e-20,1.7026287971144478e-20,True,36.345570973999216,1.8109848527156251,53.51726018089315,0.9892891233032463,10.137168845107627,0.8313423636658771,0.02118055937257439,0.004104884257299606
Finnish,0.0,8,475873,1.468827990842474e-68,1.468827990842474e-68,True,20.059106597887077,2.1355923070506737,63.41764695168695,1.140824258197087,16.523246450425972,1.0045446915080571,0.02198314711431458,0.004107961989993555
