group,kind,tier,n_ind,D_Den,D_Den_SE,Z,nSNP
Papuan,present_day,Oceanian (high),32,0.03449,0.00582,5.92,560995
Nasioi,present_day,Oceanian (high),13,0.02459,0.00483,5.09,560979
Han,present_day,East/SE Asian,46,-0.00338,0.00437,-0.77,560996
Japanese,present_day,East/SE Asian,31,-0.00351,0.00435,-0.81,560996
Dai,present_day,East/SE Asian,14,-0.00228,0.00414,-0.55,560997
Cambodian,present_day,East/SE Asian,11,-0.00464,0.00408,-1.14,560976
Kinh_Vietnamese,present_day,East/SE Asian,10,-0.00449,0.00435,-1.03,560974
French,present_day,West Eurasian (~0),31,-0.00162,0.00372,-0.44,560995
Sardinian,present_day,West Eurasian (~0),31,-0.00348,0.00392,-0.89,560995
Basque,present_day,West Eurasian (~0),25,-0.00238,0.00385,-0.62,560989
Yoruba,present_day,African (0),24,-0.00504,0.00256,-1.97,560995
Karitiana,present_day,American,16,0.00095,0.00523,0.18,560997
AncientEurasia_WestEurasia,ancient_region,Ancient Eurasian,10897,-0.00192,0.00375,-0.51,560997
AncientEurasia_CentralSouthAsia,ancient_region,Ancient Eurasian,2687,-0.00223,0.00378,-0.59,560997
AncientEurasia_EastEurasia,ancient_region,Ancient Eurasian,1808,-0.00219,0.00397,-0.55,560997
