chromosome	test_id	label	estimate	se	z	n_snp	interpretation
1	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8423175650898423	0.01807595449301165	46.59878765547296	35817	Positive values recover the Neanderthal-parent contribution in Denisova 11.
1	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.3154929577464789	0.05340425649892204	5.9076369268964	48352	Expected near zero if the two call sets for Denisova 3 are technically balanced.
1	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.946119733924612	0.005039511429381485	187.74036872076948	48352	Positive values distinguish the target's Denisovan lineage from Neanderthal.
1	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8306319003993422	0.016772022051725958	49.52485143637552	45830	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
2	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8368515205724508	0.015136346318858598	55.28755110008319	37425	Positive values recover the Neanderthal-parent contribution in Denisova 11.
2	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.4268292682926829	0.0460806268330021	9.26266193902978	50276	Expected near zero if the two call sets for Denisova 3 are technically balanced.
2	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9596479931315733	0.004142883856493426	231.6376771285662	50276	Positive values distinguish the target's Denisovan lineage from Neanderthal.
2	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8615530752790311	0.014345749809350425	60.056329346931655	47707	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
3	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.850438763830599	0.015413358798395086	55.17543417721197	31334	Positive values recover the Neanderthal-parent contribution in Denisova 11.
3	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.4	0.07018234948132492	5.699438718654432	42157	Expected near zero if the two call sets for Denisova 3 are technically balanced.
3	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9575051405071967	0.008123782700131572	117.864445154557	42157	Positive values distinguish the target's Denisovan lineage from Neanderthal.
3	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8463049349373926	0.015502339057759655	54.59208005863972	39950	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
4	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8526912181303116	0.01915170835319705	44.522984707417464	25788	Positive values recover the Neanderthal-parent contribution in Denisova 11.
4	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.38585858585858585	0.05546404920958187	6.956913376456575	34765	Expected near zero if the two call sets for Denisova 3 are technically balanced.
4	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.956334386670497	0.008046606373627706	118.84940585696206	34765	Positive values distinguish the target's Denisovan lineage from Neanderthal.
4	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8231821006836545	0.01812654555860502	45.41307101357071	32711	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
5	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8554216867469879	0.02032986927371539	42.07708742392002	26847	Positive values recover the Neanderthal-parent contribution in Denisova 11.
5	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.3576388888888889	0.06811157634338627	5.25077979528536	35922	Expected near zero if the two call sets for Denisova 3 are technically balanced.
5	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9489232468249585	0.00798399084177256	118.8532484105761	35922	Positive values distinguish the target's Denisovan lineage from Neanderthal.
5	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8344391785150079	0.020659232355701534	40.390618787184486	33997	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
6	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.7108329736728528	0.05965092187173823	11.916546322641754	25710	Positive values recover the Neanderthal-parent contribution in Denisova 11.
6	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.18526100307062435	0.06470624546810276	2.8631085257751447	34560	Expected near zero if the two call sets for Denisova 3 are technically balanced.
6	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.8850707479064395	0.038221837457662	23.15615383187228	34560	Positive values distinguish the target's Denisovan lineage from Neanderthal.
6	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.6971532404603271	0.06345204913170545	10.987087887630985	32622	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
7	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.812981298129813	0.021774542445309585	37.336320621742196	21697	Positive values recover the Neanderthal-parent contribution in Denisova 11.
7	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.5495145631067961	0.0599559277240287	9.165308318406117	29313	Expected near zero if the two call sets for Denisova 3 are technically balanced.
7	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9563745769086123	0.007552769506484152	126.62568030012727	29313	Positive values distinguish the target's Denisovan lineage from Neanderthal.
7	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8316179497735694	0.016808312236492286	49.47658861120247	27686	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
8	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8169257340241797	0.02140710717879181	38.16142588539541	21745	Positive values recover the Neanderthal-parent contribution in Denisova 11.
8	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.42857142857142855	0.06399424043613858	6.697031258603819	29122	Expected near zero if the two call sets for Denisova 3 are technically balanced.
8	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9442658092175777	0.009278191791754362	101.77261156174394	29122	Positive values distinguish the target's Denisovan lineage from Neanderthal.
8	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.7935656836461126	0.03268892664543561	24.27628451229429	27610	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
9	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8766233766233766	0.022445263790165728	39.05605141550907	18002	Positive values recover the Neanderthal-parent contribution in Denisova 11.
9	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.30183727034120733	0.06675157191780844	4.521800186411507	24078	Expected near zero if the two call sets for Denisova 3 are technically balanced.
9	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9414612676056338	0.012007825199886149	78.40397840023189	24078	Positive values distinguish the target's Denisovan lineage from Neanderthal.
9	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.7602961591855623	0.04597776776949693	16.536169459056822	22771	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
10	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.840956340956341	0.022889070295008588	36.74051982529531	22962	Positive values recover the Neanderthal-parent contribution in Denisova 11.
10	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.29554655870445345	0.07328307573017953	4.032944247490708	30804	Expected near zero if the two call sets for Denisova 3 are technically balanced.
10	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	0.9408766564729868	0.010589583362429251	88.84926103996878	30804	Positive values distinguish the target's Denisovan lineage from Neanderthal.
10	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	0.8077903167091373	0.02025531503185889	39.88041239736788	29134	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.
11	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	0.8290704928259514	0.02223656032479682	37.284115920636516	21052	Positive values recover the Neanderthal-parent contribution in Denisova 11.
11	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	0.411214953271028	0.08289424393757948	4.960717822345766	28428	Expected near zero if the two call sets for Denisova 3 are technically balanced.
