mode	test_id	label	statistic	estimate	se	z	n_snp	n_blocks	interpretation	is_percentage
all_snps	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	D(Target,Altai_Neanderthal;Denisova_replicate,Chimp)	0.948634061587372	0.00488109291143451	194.34869993256834	561674	50	Positive values distinguish the target's Denisovan lineage from Neanderthal.	False
all_snps	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	D(Target,Denisova_replicate;Altai_Neanderthal,Chimp)	0.3779518746502518	0.027023370257264603	13.986111689701186	561674	50	Expected near zero if the two call sets for Denisova 3 are technically balanced.	False
all_snps	technical_replicate_modern_balance	D(Target,Denisova replicate;Mbuti,Chimp)	D(Target,Denisova_replicate;Mbuti,Chimp)	0.3463305354570699	0.015380314890174187	22.51777924770093	560971	50	Expected near zero; detects differential modern-human/reference bias between call sets.	False
all_snps	target_neanderthal_affinity	D(Target,Mbuti;Altai,Chimp)	D(Target,Mbuti;Altai_Neanderthal,Chimp)	0.19233012697188487	0.007363624085463155	26.118949682884	1097939	50	Shared archaic affinity; this is not a Neanderthal ancestry percentage.	False
all_snps	target_denisovan_affinity_technical	D(Target,Mbuti;Denisova replicate,Chimp)	D(Target,Mbuti;Denisova_replicate,Chimp)	0.9628001945460403	0.0023663496834288923	406.87147858507615	560971	50	Technical positive control using a second call set from the same specimen.	False
all_snps	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	D(Denisova11_F1,Denisova_replicate;Altai_Neanderthal,Chimp)	0.8332489652502755	0.009515685052418803	87.5658410992145	417498	50	Positive values recover the Neanderthal-parent contribution in Denisova 11.	False
all_snps	f1_denisovan_parent_signal	D(Denisova11,Altai;Denisova replicate,Chimp)	D(Denisova11_F1,Altai_Neanderthal;Denisova_replicate,Chimp)	0.7554585152838428	0.013817629106523368	54.673526801149066	417498	50	Positive values recover the Denisovan-parent contribution in Denisova 11.	False
all_snps	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	D(Denisova25,Altai_Neanderthal;Denisova_replicate,Chimp)	0.8132187362263092	0.010046007026159055	80.94944927957428	531601	50	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.	False
all_snps	denisova25_neanderthal_excess_vs_target	D(Denisova25,Target;Altai,Chimp)	D(Denisova25,Target;Altai_Neanderthal,Chimp)	0.12799670524992413	0.02758515527181414	4.6400574507807155	1017631	50	Positive values indicate more Neanderthal-related sharing in Denisova 25 than Denisova 3.	False
all_snps	papuan_denisovan_positive_control	D(Papuan,Mbuti;Denisova replicate,Chimp)	D(Papuan,Mbuti;Denisova_replicate,Chimp)	0.034485003626997454	0.005822532027628516	5.922681655225347	560995	50	Modern-human Denisovan-affinity positive control.	False
all_snps	french_denisovan_negative_control	D(French,Mbuti;Denisova replicate,Chimp)	D(French,Mbuti;Denisova_replicate,Chimp)	-0.0016222945904294363	0.0037207220191801016	-0.436016069479688	560995	50	Modern West Eurasian negative control; expected near zero.	False
all_snps	target_neanderthal_axis_score	alpha = f4(Altai_Neanderthal,Chimp;Target,Mbuti) / f4(Altai_Neanderthal,Chimp;Vindija_Neanderthal,Mbuti)	alpha = f4(Altai_Neanderthal,Chimp;Target,Mbuti) / f4(Altai_Neanderthal,Chimp;Vindija_Neanderthal,Mbuti)	0.2007177240849204	0.007629306078340723	26.308778547337287	505572	50	Neanderthal-calibrated axis score for an archaic genome; not an admixture percentage.	False
all_snps	f1_neanderthal_axis_score	alpha = f4(Altai_Neanderthal,Chimp;Denisova11_F1,Mbuti) / f4(Altai_Neanderthal,Chimp;Vindija_Neanderthal,Mbuti)	alpha = f4(Altai_Neanderthal,Chimp;Denisova11_F1,Mbuti) / f4(Altai_Neanderthal,Chimp;Vindija_Neanderthal,Mbuti)	0.6087768726355983	0.00479550664671103	126.9473524873799	386499	50	Expected intermediate control for the F1; not a calibrated parental fraction.	False
transversions_only	primary_denisovan_lineage	D(Target,Altai;Denisova replicate,Chimp)	D(Target,Altai_Neanderthal;Denisova_replicate,Chimp)	0.9571485384768343	0.006485005657557866	147.59409459594502	104388	50	Positive values distinguish the target's Denisovan lineage from Neanderthal.	False
transversions_only	technical_replicate_neanderthal_balance	D(Target,Denisova replicate;Altai,Chimp)	D(Target,Denisova_replicate;Altai_Neanderthal,Chimp)	0.19363891487371376	0.05370345476279914	3.6057068531063883	104388	50	Expected near zero if the two call sets for Denisova 3 are technically balanced.	False
transversions_only	technical_replicate_modern_balance	D(Target,Denisova replicate;Mbuti,Chimp)	D(Target,Denisova_replicate;Mbuti,Chimp)	0.20609826778182241	0.04086961424398737	5.042823907058116	104200	50	Expected near zero; detects differential modern-human/reference bias between call sets.	False
transversions_only	target_neanderthal_affinity	D(Target,Mbuti;Altai,Chimp)	D(Target,Mbuti;Altai_Neanderthal,Chimp)	0.19854163715667847	0.009301387958931725	21.345377489176485	216470	50	Shared archaic affinity; this is not a Neanderthal ancestry percentage.	False
transversions_only	target_denisovan_affinity_technical	D(Target,Mbuti;Denisova replicate,Chimp)	D(Target,Mbuti;Denisova_replicate,Chimp)	0.971116230787774	0.00307932687314102	315.36640012406406	104200	50	Technical positive control using a second call set from the same specimen.	False
transversions_only	f1_neanderthal_parent_signal	D(Denisova11,Denisova replicate;Altai,Chimp)	D(Denisova11_F1,Denisova_replicate;Altai_Neanderthal,Chimp)	0.8385321100917431	0.018100733173364886	46.32586437579433	93937	50	Positive values recover the Neanderthal-parent contribution in Denisova 11.	False
transversions_only	f1_denisovan_parent_signal	D(Denisova11,Altai;Denisova replicate,Chimp)	D(Denisova11_F1,Altai_Neanderthal;Denisova_replicate,Chimp)	0.7794486215538847	0.024072976136402954	32.37857326561335	93937	50	Positive values recover the Denisovan-parent contribution in Denisova 11.	False
transversions_only	denisova25_denisovan_lineage	D(Denisova25,Altai;Denisova replicate,Chimp)	D(Denisova25,Altai_Neanderthal;Denisova_replicate,Chimp)	0.8204879101899827	0.011767752107988515	69.72341893852405	98264	50	Tests whether the provisional Denisova 25 genome falls on the Denisovan side.	False
transversions_only	denisova25_neanderthal_excess_vs_target	D(Denisova25,Target;Altai,Chimp)	D(Denisova25,Target;Altai_Neanderthal,Chimp)	0.10492332526230831	0.03509976592241194	2.989288461189212	199219	50	Positive values indicate more Neanderthal-related sharing in Denisova 25 than Denisova 3.	False
transversions_only	papuan_denisovan_positive_control	D(Papuan,Mbuti;Denisova replicate,Chimp)	D(Papuan,Mbuti;Denisova_replicate,Chimp)	0.04643710780094521	0.0077719820447744595	5.9749376070892355	104212	50	Modern-human Denisovan-affinity positive control.	False
transversions_only	french_denisovan_negative_control	D(French,Mbuti;Denisova replicate,Chimp)	D(French,Mbuti;Denisova_replicate,Chimp)	0.015538618812499488	0.006337924462968541	2.4516888617542074	104212	50	Modern West Eurasian negative control; expected near zero.	False
