test_id	estimate_all	se_all	z_all	n_snp_all	estimate_tv	se_tv	z_tv	n_snp_tv	same_direction	estimate_delta	tv_site_retention
primary_denisovan_lineage	0.948634061587372	0.00488109291143451	194.34869993256834	561674	0.9571485384768343	0.006485005657557866	147.59409459594502	104388	True	0.008514476889462386	0.18585157938590713
technical_replicate_neanderthal_balance	0.3779518746502518	0.027023370257264603	13.986111689701186	561674	0.19363891487371376	0.05370345476279914	3.6057068531063883	104388	True	-0.18431295977653805	0.18585157938590713
technical_replicate_modern_balance	0.3463305354570699	0.015380314890174187	22.51777924770093	560971	0.20609826778182241	0.04086961424398737	5.042823907058116	104200	True	-0.14023226767524746	0.18574935246207022
target_neanderthal_affinity	0.19233012697188487	0.007363624085463155	26.118949682884	1097939	0.19854163715667847	0.009301387958931725	21.345377489176485	216470	True	0.0062115101847936005	0.19716031582811067
target_denisovan_affinity_technical	0.9628001945460403	0.0023663496834288923	406.87147858507615	560971	0.971116230787774	0.00307932687314102	315.36640012406406	104200	True	0.008316036241733715	0.18574935246207022
f1_neanderthal_parent_signal	0.8332489652502755	0.009515685052418803	87.5658410992145	417498	0.8385321100917431	0.018100733173364886	46.32586437579433	93937	True	0.005283144841467635	0.22499988023894726
f1_denisovan_parent_signal	0.7554585152838428	0.013817629106523368	54.673526801149066	417498	0.7794486215538847	0.024072976136402954	32.37857326561335	93937	True	0.023990106270041944	0.22499988023894726
denisova25_denisovan_lineage	0.8132187362263092	0.010046007026159055	80.94944927957428	531601	0.8204879101899827	0.011767752107988515	69.72341893852405	98264	True	0.0072691739636734365	0.18484540096801924
denisova25_neanderthal_excess_vs_target	0.12799670524992413	0.02758515527181414	4.6400574507807155	1017631	0.10492332526230831	0.03509976592241194	2.989288461189212	199219	True	-0.023073379987615814	0.19576742453797102
papuan_denisovan_positive_control	0.034485003626997454	0.005822532027628516	5.922681655225347	560995	0.04643710780094521	0.0077719820447744595	5.9749376070892355	104212	True	0.011952104173947757	0.1857627964598615
french_denisovan_negative_control	-0.0016222945904294363	0.0037207220191801016	-0.436016069479688	560995	0.015538618812499488	0.006337924462968541	2.4516888617542074	104212	False	0.017160913402928926	0.1857627964598615
target_neanderthal_axis_score	0.2007177240849204	0.007629306078340723	26.308778547337287	505572	0.2015083888923387	0.01066185686033096	18.899933804408963	137765	True	0.0007906648074183231	0.272493334282753
f1_neanderthal_axis_score	0.6087768726355983	0.00479550664671103	126.9473524873799	386499	0.6026042221057855	0.008083464867534026	74.54776286911955	124278	True	-0.006172650529812862	0.3215480505771037
