genetic_id,group_id,country,date_bp,is_o,alpha_Nea,alpha_SE,alpha_nSNP,PC1,PC2,z_within_etr,z_ancestry_cond,high_conf
ITTQ14.SG,Italy_Lazio_BA_IA_a_Etruscan,Italy,2930.0,False,0.005631,0.005482,444910,12.885677337646484,6.416369915008545,-2.4198727211429274,-2.870315033678413,True
EV7A.SG,Italy_Monteriggioni_IA_Etruscan,Italy,2312.0,False,0.035277,0.008993,106360,4.141423225402832,1.839937448501587,1.821445317768762,1.4839587697404826,False
EV16A.SG,Italy_Monteriggioni_IA_Etruscan,Italy,2549.0,False,0.053539,0.021094,15994,0.2693997323513031,0.0810009092092514,1.642280162259148,1.4549574140197368,False
TAQ016.AG,Italy_Lazio_IA_c_IA_d_Etruscan,Italy,2151.0,False,0.026991,0.005561,365166,11.128223419189451,6.427587509155273,1.4555399645197757,1.492608619143938,True
MAG001.AG,Italy_Tuscany_Etruscan,Italy,2617.0,False,0.009343,0.006571,245695,10.279065132141112,6.089011669158936,-1.4539251647094094,-1.6257176458058642,False
TAQ018.AG,Italy_Lazio_IA_c_IA_d_Etruscan,Italy,2151.0,False,0.011652,0.0052,365320,12.236717224121094,8.837055206298828,-1.393219664866448,-1.482964424238505,True
CSN002.AG,Italy_Tuscany_IA_b_IA_c_Etruscan-oSteppe,Italy,2342.0,True,0.046905,0.020159,20908,0.8373932242393494,0.368457168340683,1.3893674161761236,1.3608079789474103,False
R473.SG,Italy_Lazio_IA_b_Etruscan,Italy,2600.0,False,0.011937,0.005011,473838,15.191412925720217,6.518341064453125,-1.388892887109465,-1.9638575780938556,True
R10338.SG,Italy_Lazio_IA_Etruscan,Italy,2328.0,False,0.025899,0.005264,352360,10.506725311279297,3.292813301086426,1.3302161365301046,0.8557406447346309,True
TAQ004.AG,Italy_Lazio_IA_c_IA_d_Etruscan,Italy,2151.0,False,0.026384,0.005716,339153,13.892760276794434,3.8063597679138175,1.309877141828984,1.1481050870720189,True
ITTQ10.SG,Italy_Lazio_TarquiniaCivita_IA_a_Etruscan,Italy,2746.0,False,0.011338,0.005971,331217,10.41120147705078,3.3753981590271,-1.2659089360752853,-1.8427238202385747,True
TAQ007.AG,Italy_Lazio_IA_c_Etruscan,Italy,2240.0,False,0.011823,0.006397,312999,11.236995697021484,11.066498756408691,-1.1057905670322852,-1.236093789832615,True
TAQ002.AG,Italy_Lazio_IA_a_Etruscan,Italy,1960.0,False,0.012419,0.006029,362254,15.267702102661133,4.945062160491943,-1.0744306281813782,-1.2163605149931709,True
CSN004.AG,Italy_Tuscany_IA_b_IA_c_Etruscan,Italy,2350.0,False,0.012938,0.005604,204584,7.537786483764648,3.260657548904419,-1.0633016162215434,-1.1563925277351506,True
R10363.SG,Italy_Lazio_IA_c_Etruscan,Italy,2253.0,False,0.025468,0.00633,354472,10.929100036621094,7.719637393951416,1.0381133874714807,0.6153678223528597,True
VET010.AG,Italy_Tuscany_IA_a_IA_b_Etruscan,Italy,2603.0,False,0.026855,0.007718,178825,8.092386245727539,4.6622395515441895,1.0311295339070319,1.0713157018890536,False
VET003_4.AG,Italy_Tuscany_IA_a_IA_b_Etruscan,Italy,2705.0,False,0.012372,0.00641,410976,17.82303810119629,7.365049839019775,-1.017900508159989,-1.2275671253153109,True
ITTQ8.SG,Italy_Lazio_IA_a_Etruscan,Italy,2747.0,False,0.024637,0.00613,404855,12.098095893859863,6.482733726501465,0.936420512674465,0.4935261869041417,True
TAQ013.AG,Italy_Lazio_IA_c_IA_d_Etruscan,Italy,2151.0,False,0.024848,0.006478,201050,8.489445686340332,3.198626041412353,0.9186875181683343,0.8830013564936989,True
EV16D1.SG,Italy_Monteriggioni_IA_Etruscan,Italy,2549.0,False,0.029591,0.011814,49107,1.816293478012085,1.186789631843567,0.9052190403499637,0.6239440970144731,False
CAM003.AG,Italy_Tuscany_IA_a_IA_b_Etruscan,Italy,2594.0,False,0.012442,0.007333,262487,11.82541847229004,6.710272312164307,-0.8802321365478697,-1.0198075478748914,True
EV15A.SG,Italy_Monteriggioni_IA_Etruscan,Italy,2491.0,False,0.034765,0.018763,24567,0.2565189003944397,0.3052518367767334,0.8457207132491856,0.6403794466914458,False
VET011.AG,Italy_Tuscany_IA_a_IA_b_Etruscan,Italy,2533.0,False,-0.000409,0.023126,13227,0.4366383254528045,0.3132930994033813,-0.8348068086701343,-0.8472517818080723,False
