,Anatolia Neolithic,Italy Neolithic,Italy Bronze Age,Yamnaya (Steppe),Etruscan,Sicily (anc),Magna Graecia Greek,Imperial Roman,Sardinia (anc),Sardinian (mod),Spanish (mod),French (mod),Han (mod)
Anatolia Neolithic,0.0,0.01450972372502495,0.010940296522179045,0.020558912562052264,0.012380290957982838,0.010628229249034407,0.02248299644685256,0.01080506642648911,0.010938048118613456,0.012473811553696595,0.011422374806532031,0.013995937701640248,0.045699884848230184
Italy Neolithic,0.01450972372502495,0.0,0.010545709633549852,0.015764069281477028,0.011009672876094459,0.009597387409315426,0.022021814518548354,0.009219366030494435,0.01060575857611181,0.011995663295115045,0.009339480872822268,0.011354806244799058,0.04217181431803131
Italy Bronze Age,0.010940296522179045,0.010545709633549852,0.0,0.014782870130411895,0.00767388104259868,0.00490003027502686,0.01899431363662637,0.0066893338493321805,0.0034267985546264264,0.00795963610227076,0.006507247187329509,0.008948695118199405,0.040399471678419785
Yamnaya (Steppe),0.020558912562052264,0.015764069281477028,0.014782870130411895,0.0,0.012046776115047014,0.012369183072429686,0.02317069145420512,0.008765799328098716,0.01542991697212931,0.015726234550781086,0.009515894639599128,0.009992481269781472,0.035757355662894376
Etruscan,0.012380290957982838,0.011009672876094459,0.00767388104259868,0.012046776115047014,0.0,0.007304185565431564,0.01920334730874966,0.0062003195166900225,0.00806583263951143,0.00919862840519842,0.0063087715380848435,0.008182782917455222,0.038545765775950216
Sicily (anc),0.010628229249034407,0.009597387409315426,0.00490003027502686,0.012369183072429686,0.007304185565431564,0.0,0.012532106090376386,0.005446406485250957,0.006530079448914458,0.008169054575234367,0.005767564867358167,0.007934072997066069,0.03820352363296797
Magna Graecia Greek,0.02248299644685256,0.022021814518548354,0.01899431363662637,0.02317069145420512,0.01920334730874966,0.012532106090376386,0.0,0.01709821754813767,0.019154577109075577,0.020425263374049225,0.017739462233820766,0.019687215440578387,0.049233359461467514
Imperial Roman,0.01080506642648911,0.009219366030494435,0.0066893338493321805,0.008765799328098716,0.0062003195166900225,0.005446406485250957,0.01709821754813767,0.0,0.006759932832775835,0.0074916478886760144,0.004068159663187347,0.005847483854890723,0.034633894080227476
Sardinia (anc),0.010938048118613456,0.01060575857611181,0.0034267985546264264,0.01542991697212931,0.00806583263951143,0.006530079448914458,0.019154577109075577,0.006759932832775835,0.0,0.0077239486352824165,0.006616583450026545,0.009130056640188493,0.0407753132090363
Sardinian (mod),0.012473811553696595,0.011995663295115045,0.00795963610227076,0.015726234550781086,0.00919862840519842,0.008169054575234367,0.020425263374049225,0.0074916478886760144,0.0077239486352824165,0.0,0.006620540566433715,0.008972878748593526,0.04036961464999797
Spanish (mod),0.011422374806532031,0.009339480872822268,0.006507247187329509,0.009515894639599128,0.0063087715380848435,0.005767564867358167,0.017739462233820766,0.004068159663187347,0.006616583450026545,0.006620540566433715,0.0,0.005123613781159962,0.035075819301183975
French (mod),0.013995937701640248,0.011354806244799058,0.008948695118199405,0.009992481269781472,0.008182782917455222,0.007934072997066069,0.019687215440578387,0.005847483854890723,0.009130056640188493,0.008972878748593526,0.005123613781159962,0.0,0.03658648817322104
Han (mod),0.045699884848230184,0.04217181431803131,0.040399471678419785,0.035757355662894376,0.038545765775950216,0.03820352363296797,0.049233359461467514,0.034633894080227476,0.0407753132090363,0.04036961464999797,0.035075819301183975,0.03658648817322104,0.0
