target,model,n,n_snp,chi2,dof,p,feasible,status,Anatolia_N_pct,Anatolia_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se,WHG_pct,WHG_se
Etruscan,west3,57,513493,43.596713245570896,5,8.454466687876236e-08,True,rejected,65.2927306215723,1.2427493384236692,21.939579498585594,2.2293282234315392,12.767689879842099,2.395089908970288
Etruscan,farmer_steppe,57,513495,75.90292712512225,6,6.073019411214451e-13,True,rejected,70.0133105147374,1.276256334481995,29.986689485262602,1.2762563344819986,,
Etruscan,farmer_whg,57,513494,139.73432065700243,6,3.974009596288896e-23,True,rejected,59.49674363301438,1.502252354396618,,,40.50325636698561,1.5022523543966129
Etruscan,steppe_whg,57,513493,891.9091825365822,6,1.2636305084296035e-112,False,rejected,,,-14.163111401213136,6.945672140297798,114.16311140121313,6.9456721402978
Latin_Italic,west3,5,500176,38.55808422970837,5,6.529834837176809e-07,True,rejected,65.8953157438183,3.3381613686433824,29.19961906208639,4.290561989645695,4.905065194095304,4.939334904747848
Latin_Italic,farmer_steppe,5,500177,41.46402831434926,6,4.947459524706205e-07,True,rejected,67.71852928442532,2.8684793176388017,32.28147071557467,2.8684793176387986,,
Latin_Italic,farmer_whg,5,500177,98.27700113098788,6,1.2793413852651177e-16,True,rejected,57.99221949412349,3.774830469304947,,,42.00778050587651,3.77483046930495
Latin_Italic,steppe_whg,5,500176,420.2899938116852,6,7.340718179427572e-61,False,rejected,,,-8.3914151326828,7.41992329903502,108.3914151326828,7.419923299035021
Imperial_Roman,west3,60,513493,335.90868799475726,5,1.5287828638181164e-49,True,rejected,82.28435767216725,2.481490680347635,12.930465974567174,4.324973868604051,4.785176353265584,6.109151846025236
Imperial_Roman,farmer_steppe,60,513495,321.22452166170035,6,1.8748529336023336e-48,True,rejected,84.05446634677283,1.4642379580351088,15.945533653227178,1.4642379580351104,,
Imperial_Roman,farmer_whg,60,513494,407.84452500164684,6,2.4206891851566064e-59,True,rejected,78.86857630901008,2.1673262938964966,,,21.131423690989923,2.167326293896498
Imperial_Roman,steppe_whg,60,513493,782.5777501838239,6,2.038579661257229e-101,False,rejected,,,-32.56750451382351,7.429077892940826,132.5675045138235,7.429077892940826
Italy_BronzeAge,west3,59,513493,47.00595570372302,5,2.143660079405523e-08,True,rejected,78.68785555858264,1.6064642535339193,10.183617169426611,2.1909581734641232,11.12852727199075,2.468276436435716
Italy_BronzeAge,farmer_steppe,59,513495,78.864466471612,6,1.9474795727385569e-13,True,rejected,82.8040884528253,1.5354648271858262,17.195911547174703,1.535464827185825,,
Italy_BronzeAge,farmer_whg,59,513494,51.877036338394525,6,7.51629798118124e-09,True,rejected,75.99322481507298,1.7219337238561931,,,24.006775184927022,1.7219337238561943
Italy_BronzeAge,steppe_whg,59,513493,800.4177600993271,6,2.8456507138711947e-103,False,rejected,,,-33.325718399101675,7.672227912785065,133.32571839910167,7.672227912785064
Early_Medieval_Italy,west3,60,513493,296.4048417389901,5,1.3150116926629328e-44,True,rejected,67.30836469289795,2.0134806464200485,24.991268777789877,3.0853410353285664,7.700366529312157,4.139611589419732
Early_Medieval_Italy,farmer_steppe,60,513495,252.00860443014346,6,2.8430452955210654e-39,True,rejected,70.15740554139728,1.4396458515658515,29.842594458602722,1.4396458515658577,,
Early_Medieval_Italy,farmer_whg,60,513494,338.43289703884017,6,1.1515374022227538e-50,True,rejected,60.708141264520854,2.250301673688385,,,39.291858735479146,2.250301673688384
Early_Medieval_Italy,steppe_whg,60,513493,689.1361812694686,6,1.6261511874136377e-91,False,rejected,,,-12.225938441841343,6.7424424603285225,112.22593844184135,6.742442460328521
