rank,chi2,dof,p,n_snp,n_left,n_right,target,model,lefts,rights
0,6266.541633671068,21,0.0,513493,4,8,Etruscan,west3,Etruscan;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,858.9238355540682,12,2.2961486371082678e-120,513493,4,8,Etruscan,west3,Etruscan;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
2,54.42443852311635,5,1.1174822197960449e-09,513493,4,8,Etruscan,west3,Etruscan;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,3901.7177408931707,14,0.0,513495,3,8,Etruscan,farmer_steppe,Etruscan;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,98.27415377792977,6,1.280697186986534e-16,513495,3,8,Etruscan,farmer_steppe,Etruscan;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,1806.4440415759304,14,3.832014226196926e-229,513494,3,8,Etruscan,farmer_whg,Etruscan;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,296.6518657452775,6,3.00342195529176e-45,513494,3,8,Etruscan,farmer_whg,Etruscan;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,4482.354906400996,14,0.0,513493,3,8,Etruscan,steppe_whg,Etruscan;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,657.3566116967595,6,4.5188973314494586e-88,513493,3,8,Etruscan,steppe_whg,Etruscan;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,5714.978263629792,21,0.0,500176,4,8,Latin_Italic,west3,Latin_Italic;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,777.796891501685,12,1.617506335519697e-110,500176,4,8,Latin_Italic,west3,Latin_Italic;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
2,90.46169795484973,5,1.1885935079229085e-15,500176,4,8,Latin_Italic,west3,Latin_Italic;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,4061.096896715238,14,0.0,500177,3,8,Latin_Italic,farmer_steppe,Latin_Italic;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,73.20366102429671,6,1.7202724070541568e-12,500177,3,8,Latin_Italic,farmer_steppe,Latin_Italic;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,1923.4917806679682,14,3.300828190380768e-241,500177,3,8,Latin_Italic,farmer_whg,Latin_Italic;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,137.48696609378032,6,8.768862965440961e-23,500177,3,8,Latin_Italic,farmer_whg,Latin_Italic;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,1210.810555435267,14,2.8066423759859405e-164,500176,3,8,Latin_Italic,steppe_whg,Latin_Italic;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,649.8553038392533,6,2.9784566529293747e-87,500176,3,8,Latin_Italic,steppe_whg,Latin_Italic;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,7722.492393305358,21,0.0,513493,4,8,Imperial_Roman,west3,Imperial_Roman;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,1240.326880688217,12,4.307742938954941e-164,513493,4,8,Imperial_Roman,west3,Imperial_Roman;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
2,669.1821488007281,5,5.879559440610859e-87,513493,4,8,Imperial_Roman,west3,Imperial_Roman;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,4687.48965236438,14,0.0,513495,3,8,Imperial_Roman,farmer_steppe,Imperial_Roman;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,501.2289760029968,6,1.7194286406622532e-70,513495,3,8,Imperial_Roman,farmer_steppe,Imperial_Roman;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,2106.593447582305,14,1.0332250321304408e-259,513494,3,8,Imperial_Roman,farmer_whg,Imperial_Roman;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,555.5308058802594,6,9.675492776833785e-77,513494,3,8,Imperial_Roman,farmer_whg,Imperial_Roman;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,5474.447515456012,14,0.0,513493,3,8,Imperial_Roman,steppe_whg,Imperial_Roman;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,851.991714269939,6,1.4123413014812575e-108,513493,3,8,Imperial_Roman,steppe_whg,Imperial_Roman;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,6320.930177272077,21,0.0,513493,4,8,Italy_BronzeAge,west3,Italy_BronzeAge;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,830.749570738265,12,5.698222511424283e-117,513493,4,8,Italy_BronzeAge,west3,Italy_BronzeAge;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
2,62.2312186985135,5,5.2319267870056185e-11,513493,4,8,Italy_BronzeAge,west3,Italy_BronzeAge;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,4118.7479000438125,14,0.0,513495,3,8,Italy_BronzeAge,farmer_steppe,Italy_BronzeAge;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,95.40647156881255,6,3.730104657810105e-16,513495,3,8,Italy_BronzeAge,farmer_steppe,Italy_BronzeAge;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,1928.817177454785,14,9.423871314317861e-242,513494,3,8,Italy_BronzeAge,farmer_whg,Italy_BronzeAge;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,58.39955333160134,6,5.623238612846433e-10,513494,3,8,Italy_BronzeAge,farmer_whg,Italy_BronzeAge;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,3832.9756021197513,14,0.0,513493,3,8,Italy_BronzeAge,steppe_whg,Italy_BronzeAge;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,660.3199687477781,6,2.1485962797644448e-88,513493,3,8,Italy_BronzeAge,steppe_whg,Italy_BronzeAge;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,5646.603293395639,21,0.0,513493,4,8,Early_Medieval_Italy,west3,Early_Medieval_Italy;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,1018.3493656714714,12,4.0957287190552e-139,513493,4,8,Early_Medieval_Italy,west3,Early_Medieval_Italy;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
2,353.3934865406143,5,1.1071619195973604e-51,513493,4,8,Early_Medieval_Italy,west3,Early_Medieval_Italy;Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,3947.2162581974876,14,0.0,513495,3,8,Early_Medieval_Italy,farmer_steppe,Early_Medieval_Italy;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,309.48101494212176,6,6.272901215616714e-47,513495,3,8,Early_Medieval_Italy,farmer_steppe,Early_Medieval_Italy;Anatolia_N;Steppe_Yamnaya,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,2244.882523531989,14,2.0576124348584643e-273,513494,3,8,Early_Medieval_Italy,farmer_whg,Early_Medieval_Italy;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,858.2624182433995,6,3.2416767588627015e-109,513494,3,8,Early_Medieval_Italy,farmer_whg,Early_Medieval_Italy;Anatolia_N;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
0,3475.49018511698,14,0.0,513493,3,8,Early_Medieval_Italy,steppe_whg,Early_Medieval_Italy;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
1,724.448973511994,6,2.6988753534750473e-95,513493,3,8,Early_Medieval_Italy,steppe_whg,Early_Medieval_Italy;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Iran_N;Natufian;Ust_Ishim;MA1
