"target","full_model","pattern","dropped","dof","chi2","p","feasible"
"Etruscan","Anatolia_N+Yamnaya+WHG","000","(full)",4,63.9510876834055,4.27946738132012e-13,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG","001","001",5,79.8642481490112,8.95891714396904e-16,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG","010","010",5,65.4142122109396,9.19543479487272e-13,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG","100","100",5,75.4614766392676,7.45252897176492e-15,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG","011","011",6,889.014081746546,8.90689470553659e-189,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG","101","101",6,2615.74545665564,0,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG","110","110",6,293.49778911324,2.02210287936062e-60,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0000","0000",3,30.4826283939865,1.0923252836599e-06,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0001","0001",4,64.3666942205635,3.49840536844939e-13,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0010","0010",4,34.0660105163919,7.22317131719016e-07,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0100","0100",4,65.3333036647349,2.18903796977052e-13,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1000","1000",4,59.8002693986957,3.19519129627958e-12,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0011","0011",5,80.3691657945187,7.02454918054841e-16,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0101","0101",5,66.2467464974353,6.17706329987669e-13,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0110","0110",5,188.917214259836,6.6565991618247e-39,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1001","1001",5,77.3654724119891,2.98311442356546e-15,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1010","1010",5,242.546410939252,2.18317059031707e-50,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1100","1100",5,133.141567977975,5.12523273139411e-27,FALSE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","0111","0111",6,923.944412377959,2.50093226310963e-196,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1011","1011",6,3098.05197622312,0,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1101","1101",6,298.803887977775,1.47589765331546e-61,TRUE
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N","1110","1110",6,290.783144615983,7.71373742018749e-60,TRUE
"Latin","Anatolia_N+Yamnaya+WHG","000","(full)",4,28.9741324744931,7.91254567527679e-06,TRUE
"Latin","Anatolia_N+Yamnaya+WHG","001","001",5,36.6595035985841,7.00844854157979e-07,TRUE
"Latin","Anatolia_N+Yamnaya+WHG","010","010",5,51.4522949447159,6.98666178505428e-10,TRUE
"Latin","Anatolia_N+Yamnaya+WHG","100","100",5,76.810941092027,3.89510045399412e-15,FALSE
"Latin","Anatolia_N+Yamnaya+WHG","011","011",6,457.570819045023,1.15181367962745e-95,TRUE
"Latin","Anatolia_N+Yamnaya+WHG","101","101",6,2008.33810624485,0,TRUE
"Latin","Anatolia_N+Yamnaya+WHG","110","110",6,327.88677239546,8.58910296684418e-68,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0000","0000",3,23.6355123731702,2.97622310012908e-05,FALSE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0001","0001",4,35.1867487826271,4.25258299300579e-07,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0010","0010",4,27.696806254029,1.43679460528891e-05,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0100","0100",4,50.8932243841484,2.34988597215538e-10,FALSE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1000","1000",4,59.3652376038331,3.94361827370556e-12,FALSE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0011","0011",5,43.6170654883135,2.7700848419825e-08,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0101","0101",5,51.7333840134795,6.11852053232666e-10,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0110","0110",5,173.169845200538,1.53700356652838e-35,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1001","1001",5,77.6999090371852,2.53972325719647e-15,FALSE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1010","1010",5,239.222638087332,1.12699303428736e-49,FALSE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1100","1100",5,131.792962673961,9.9089287403758e-27,FALSE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","0111","0111",6,472.89977328805,5.77086113506651e-99,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1011","1011",6,2499.42773192225,0,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1101","1101",6,331.885533214905,1.19149699254475e-68,TRUE
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N","1110","1110",6,323.591215122441,7.16691405929161e-67,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","000","(full)",4,74.4745378128293,2.57363206049925e-15,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","001","001",5,288.027374206021,3.75089919170023e-60,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","010","010",5,115.794382148335,2.43849439400691e-23,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","100","100",5,75.8170429074634,6.28168115714954e-15,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","011","011",6,1068.79394683341,1.17670240838896e-227,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","101","101",6,2716.15521711718,0,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","110","110",6,268.285175108583,5.04885246387408e-55,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0000","0000",3,22.5690589945852,4.96580355970856e-05,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0001","0001",4,76.8283085298366,8.17705629801964e-16,FALSE
