"target","model","f4rank","dof","chi2","p","p_nested"
"Etruscan","Anatolia_N+Yamnaya+WHG",2,4,63.9510876834055,4.27946738132012e-13,6.48364760210864e-17
"Etruscan","Anatolia_N+Yamnaya+WHG",1,10,152.359875657486,1.21821716015523e-27,0
"Etruscan","Anatolia_N+Yamnaya+WHG",0,18,3427.72647691635,0,NA
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N",3,3,30.4826283939865,1.0923252836599e-06,1.72287439440274e-13
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N",2,8,99.398102499262,5.66679857028148e-18,4.25623043610406e-62
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N",1,15,404.795061911785,6.79475288945791e-77,0
"Etruscan","Anatolia_N+Yamnaya+WHG+Iran_N",0,24,3595.05679148425,0,NA
"Latin","Anatolia_N+Yamnaya+WHG",2,4,28.9741324744931,7.91254567527679e-06,3.80706516480828e-15
"Latin","Anatolia_N+Yamnaya+WHG",1,10,108.840638046852,9.13879508414331e-19,0
"Latin","Anatolia_N+Yamnaya+WHG",0,18,3155.76283818463,0,NA
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N",3,3,23.6355123731702,2.97622310012908e-05,1.88473875627946e-11
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N",2,8,82.7132360280453,1.38802919434682e-14,5.22115521470571e-63
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N",1,15,392.37559410273,2.76383709687449e-74,0
"Latin","Anatolia_N+Yamnaya+WHG+Iran_N",0,24,3371.93220274979,0,NA
"ImperialRoman","Anatolia_N+Yamnaya+WHG",2,4,74.4745378128293,2.57363206049925e-15,2.13893354616023e-59
"ImperialRoman","Anatolia_N+Yamnaya+WHG",1,10,363.189549417178,6.31265802903839e-72,0
"ImperialRoman","Anatolia_N+Yamnaya+WHG",0,18,3562.29629906437,0,NA
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N",3,3,22.5690589945852,4.96580355970856e-05,9.77620381027042e-22
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N",2,8,130.781570079698,1.94811014173727e-24,3.9678573124207e-89
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N",1,15,562.378234761863,3.44822314629447e-110,0
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N",0,24,3689.78796431683,0,NA
"ItalyBA","Anatolia_N+Yamnaya+WHG",2,4,40.3369644473422,3.68662685366132e-08,1.29761326760751e-16
"ItalyBA","Anatolia_N+Yamnaya+WHG",1,10,127.293346428422,1.6642196257224e-22,0
"ItalyBA","Anatolia_N+Yamnaya+WHG",0,18,3382.53988932859,0,NA
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N",3,3,39.9928571987019,1.06923016770729e-08,2.84121322396241e-11
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N",2,8,98.2069999854564,9.92200507251979e-18,7.88682123763996e-62
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N",1,15,402.349902429862,2.21879146222696e-76,0
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N",0,24,3554.21075778976,0,NA
