genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
Oase1_d.AG.BY.AA		Romania_IUP	Oase Cave (Caraș-Severin, Anina)	Romania	Europe/Near East	45.12	21.9	39982.0	Upper Palaeolithic	M	0.051	55822.0	25775	9.797799999999999	2.1787	5.5275479999999995	14.068052	30978	0.029087	0.022423	1.297			not_estimable: Denisovan D is relative, not a percentage			broad	Moderate confidence	66.06	low_information=0.96;uncertainty=0.94;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.26;reference_instability=0.54;chromosome_instability=0.56;block_influence=0.44	0.07855726963608117	Pass	..	..	FuPääboNature2015	https://doi.org/10.1038/s41586-021-03335-3	ss.minus,ss.minus,ss.minus,ss.minus,ss.minus	False	wide_confidence_interval	complete	50.0	0.0979782372116347	0.0713438940257479	0.0279047701916915	9135.0	0.0713438940257479	transversion_proxy_only; terminal trimming requires reads	0.096883651600995	0.1088843495344494	0.0120006979334544	0.0865173239842205	0.1056229993107135	0.019105675326493	0.0101452830995788	28.0	14455.0	0.0985298700377187	0.0140530227665224	0.0738795625345764	0.1236546144277255	0.0962284870214602	0.0202518010548292	0.0526159670206633	0.1332871665205319	not_run: no validated general segment caller for EIGENSTRAT
GER003_d.AG		Spain_Gravettian	Mollet III (Catalonia, Girona, Serinyà)	Spain	Europe/Near East	42.1686	2.7445	27203.0	Upper Palaeolithic	M	0.0512	56200.0	26251	7.7066	1.7301	4.3156039999999996	11.097596	28783	0.027309	0.018489	1.477			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	56.1	low_information=0.95;uncertainty=0.70;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.44;chromosome_instability=0.36;block_influence=0.22	0.05727551936300836	Pass	..	..	PosthKrauseNature2023	https://doi.org/10.1038/s41586-023-05726-0	ss_minus	False	wide_confidence_interval	complete	50.0	0.0770657075955846	0.0814983159692031	0.0262548342308724	10462.0	0.0814983159692031	transversion_proxy_only; terminal trimming requires reads	0.0755145680523044	0.0857992933413114	0.010284725289007	0.0688574924114759	0.082827579575353	0.013970087163877	0.0063610807923919	24.0	14455.0	0.0773935506448666	0.0135703526718923	0.0512382643649252	0.1054386710119972	0.0758948781916967	0.0164242112707165	0.0452278689722673	0.1094825504008891	not_run: no validated general segment caller for EIGENSTRAT
DA30_d.SG		Kazakhstan_Sarmatian	Naurzum (Kostanay Region, Nauyrzym District)	Kazakhstan	Caucasus/Central Asia	51.555563	64.705221	1948.0	Iron Age/Classical	M	0.3557	331412.0	149411	5.5259	0.6668999999999999	4.218776	6.833024	174434	0.014026	0.009086	1.544			not_estimable: Denisovan D is relative, not a percentage			broad	Moderate confidence	39.94	low_information=0.61;uncertainty=0.15;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.034980385614112715	Pass	..	..	DamgaardWillerslevNature2018	https://doi.org/10.1038/s41586-018-0094-2	ds.minus	False																											
WEZ39.SG		Germany_Tollensebattlefield_BA	Tollense-battlefield (Mecklenburg-Vorpommern, Mecklenburg-Vorpommern, Mecklenburgische Seenplatte)	Germany	Europe/Near East	53.74	13.31	3200.0	Bronze Age/Chalcolithic	M	0.05283325	37172.0	16233	8.071299999999999	2.0645000000000002	4.02488	12.117719999999998	18690	0.017381	0.025591	0.679			not_estimable: Denisovan D is relative, not a percentage	2000.0		broad	Likely artifact	68.26	low_information=0.98;uncertainty=0.88;contamination=1.00;damage=0.35;missing_qc=0.33;transversion_instability=0.05;reference_instability=0.91;chromosome_instability=0.37;block_influence=0.20	0.05935597894791569	Pass	..	n/a (<2000 X SNPs)	BurgerWegmannCurrBiol2020	https://doi.org/10.1016/j.cub.2020.08.033	minus	False	wide_confidence_interval;contamination	complete	50.0	0.0807134421616626	0.0697610738809236	0.0353255637514509	4578.0	0.0697610738809236	transversion_proxy_only; terminal trimming requires reads	0.0831248040105663	0.0991091223595115	0.0183956801978489	0.0747386916963849	0.0889437080947061	0.0142050163983212	0.0060815310761908	27.0	14455.0	0.0805494696949033	0.0069637278356498	0.0676848587798903	0.0948490672713791	0.0812111074238521	0.0206116746957003	0.0423540103089655	0.1243151899100686	not_run: no validated general segment caller for EIGENSTRAT
DA207.SG		Kazakhstan_EarlyModern_KazakhKhanate	Konyrtobe (Turkistan Region, Keles District)	Kazakhstan	Caucasus/Central Asia	41.415234	68.798064	200.0	Historical/Recent	M	0.08721067	80224.0	36358	6.4649	1.2873	3.9417919999999995	8.988008	40562	0.000486	0.020139	0.024			not_estimable: Denisovan D is relative, not a percentage	2000.0		broad	Low confidence	59.52	low_information=0.93;uncertainty=0.47;contamination=1.00;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.04482322223707369	Pass	..	n/a (<2000 X SNPs)	DamgaardWillerslevNature2018	https://doi.org/10.1038/s41586-018-0094-2	ds.minus	False	contamination																										
M79_wcg.TW		Henan_Wangchenggang	Wangchenggang (Henan, Dengfeng City, Gaocheng Town, Bafang Village)	China	East Asia	34.458	113.032	3700.0	Bronze Age/Chalcolithic	M	0.0666	73383.0	33842	6.3812	1.2824	3.8676959999999996	8.894703999999999	38025	0.026346	0.015523	1.697			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	54.51	low_information=0.93;uncertainty=0.47;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.042135385712325515	Pass	..	..	FangWangCellRep2025	https://doi.org/10.1016/j.celrep.2025.115262	..	False																											
MA1864.SG		Italy_Sicily_Epigravettian	San Teodoro (Sicily, Messina)	Italy	Europe/Near East	37.85	14.7	12200.0	Mesolithic/Epipalaeolithic	F		88404.0	40944	6.8145999999999995	1.5209000000000001	3.833636	9.795563999999999	43991	0.028157	0.015612	1.804			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	59.17	low_information=0.91;uncertainty=0.59;contamination=0.35;damage=0.35;missing_qc=1.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.047973018677585993	Pass	n/a (female)	n/a (female)	ScorranoSikoraCommunBiol2022	https://doi.org/10.1038/s42003-022-04190-2	..	False																											
I5504.AG		England_Anglian	Pocklington (England, East Yorkshire)	United Kingdom	Europe/Near East	53.919396	-0.766635	1350.0	Historical/Recent	F	0.06091659	64651.0	28150	7.0124	1.6779	3.7237160000000014	10.301084	33113	0.022065	0.017898	1.233			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	58.4	low_information=0.95;uncertainty=0.68;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.95;chromosome_instability=0.47;block_influence=0.20	0.048679683039267424	Pass	n/a (female)	n/a (female)	PattersonReichNature2021	https://doi.org/10.1038/s41586-021-04287-4	ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half	False	wide_confidence_interval	complete	50.0	0.0701243970627066	0.0828269942469235	0.030627877394034	7357.0	0.0828269942469235	transversion_proxy_only; terminal trimming requires reads	0.0635951216100744	0.082670084078171	0.0190749624680966	0.0644325753585917	0.0812827705199294	0.0168501951613376	0.0060041916483058	18.0	14455.0	0.0702485522793489	0.0152656096865895	0.0397994207923588	0.0965742793869827	0.0702978984810396	0.0164866543389741	0.0408992781749191	0.0986594046000585	not_run: no validated general segment caller for EIGENSTRAT
LSC005.SG		Italy_Lazio	Grotta La Sassa (Lazio, Latino, Sonnino)	Italy	Europe/Near East	41.425119	13.236332	4633.0	Bronze Age/Chalcolithic	F	0.15736387	139494.0	65026	5.923	1.157	3.6552799999999994	8.19072	72258	0.000671	0.01285	0.052			not_estimable: Denisovan D is relative, not a percentage		0.10190409	broad	Moderate confidence	47.5	low_information=0.84;uncertainty=0.40;contamination=0.35;damage=0.27;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.03856585816585048	Pass	n/a (female)	n/a (female)	SaupeScheibCurrBiol2021	https://doi.org/10.1016/j.cub.2021.04.022	ds	False																											
GoyetQ-2_d.AG		Belgium_Magdalenian	Goyet Cave (Wallonia Region, Namur Province, Gesves Municipality, Troisième caverne)	Belgium	Europe/Near East	50.446	5.008	15077.0	Upper Palaeolithic	M	0.1101	95052.0	42320	6.0571	1.2298	3.646692	8.467508	49277	0.014833	0.014518	1.022			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	53.36	low_information=0.91;uncertainty=0.44;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0398630899500961	Pass	..	..	FuReichNature2016	https://doi.org/10.1016/j.cub.2019.02.006	ds.minus,ds.minus,ds.half	False																											
