genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
PA86.SG		Australia_PreEuropean	Cairns (North Queensland, Mulgrave District)	Australia	Oceania	-19.95	147.04	850.0	Historical/Recent	M	3.5397	1083350.0	476864	3.0411	0.46480000000000005	2.1300920000000003	3.952108	539439	0.030746	0.005878	5.23			not_estimable: Denisovan D is relative, not a percentage		0.11	elite-confidence	Very high confidence	13.75	low_information=0.00;uncertainty=0.04;contamination=0.35;damage=0.30;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.61;chromosome_instability=0.00;block_influence=0.00	0.010676100221004996	Pass	..	..	WrightLambertSciAdv2018	https://doi.org/10.1126/sciadv.aau5064	..	False		complete	50.0	0.0304109702250644	0.0427872573369466	0.008326102083978	130158.0	0.0427872573369466	transversion_proxy_only; terminal trimming requires reads	0.0314557724712007	0.0436111223496484	0.013200152124584	0.0281874482011437	0.03246500636945	0.0042775581683063	0.0016541978474027	31.0	14455.0	0.0308278150657822	0.0228364010826684	-0.0154245013871444	0.0726108532027707	0.0302295441018772	0.0047900415663676	0.0218747233457601	0.0386787925665311	not_run: no validated general segment caller for EIGENSTRAT
I5259.AG		Vanuatu_500BP	Mangalitu (Efate)	Vanuatu	Oceania	-17.63795	168.20555	480.0	Historical/Recent	F	2.89075809	812165.0	356880	2.7277	0.48529999999999995	1.7765120000000003	3.6788879999999997	413303	0.030663	0.006277	4.885			not_estimable: Denisovan D is relative, not a percentage		0.146	high-confidence	High confidence	15.39	low_information=0.02;uncertainty=0.05;contamination=0.35;damage=0.43;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.52;chromosome_instability=0.00;block_influence=0.00	0.0074125917043518195	Pass	n/a (female)	n/a (female)	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.half	False		complete	50.0	0.0272770754530011	0.0474230009318534	0.0100445999755935	95717.0	0.0474230009318534	transversion_proxy_only; terminal trimming requires reads	0.0292747182688384	0.0388076269101006	0.0115305514570994	0.024878577567341	0.0297045989210657	0.0048260213537246	0.0015158064381699	7.0	14455.0	0.0240422821323466	0.022968721842659	-0.0169593194705244	0.0693643394692394	0.0269606872045401	0.0046291828900146	0.0181646038590666	0.0359167572937769	not_run: no validated general segment caller for EIGENSTRAT
I4105.AG		Vanuatu_150BP	Wam Bay (Epi Island)	Vanuatu	Oceania	-16.89	168.3	150.0	Historical/Recent	M	8.09172382	991111.0	436085	3.3970000000000002	0.6248	2.172392	4.621608	503023	0.030514	0.007109	4.292			not_estimable: Denisovan D is relative, not a percentage	0.008		high-confidence	High confidence	12.93	low_information=0.00;uncertainty=0.13;contamination=0.07;damage=0.35;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.67;chromosome_instability=0.00;block_influence=0.02	0.014053686741051938	Pass	[0.006,0.015]	[0.008,0.011]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.minus,ds.half,ds.half	False		complete	50.0	0.0339700059421729	0.0541863515195024	0.0098175346645043	118083.0	0.0541863515195024	transversion_proxy_only; terminal trimming requires reads	0.0361784449344777	0.048126791873482	0.0141567859313091	0.0313372081892201	0.0360160048433475	0.0046787966541274	0.0028454620355925	8.0	14455.0	0.031951120202068	0.0207887488612348	-0.008712851768512	0.0688871035803913	0.0338014040468586	0.006097550495645	0.0232014032440424	0.04626318884479	not_run: no validated general segment caller for EIGENSTRAT
I4419.AG		Vanuatu_150BP	Banana Bay (Efate)	Vanuatu	Oceania	-17.801781	168.522778	140.0	Historical/Recent	M	4.19043592	740635.0	322070	2.8011999999999997	0.5455	1.7320200000000001	3.8703799999999995	387872	0.030578	0.007444	4.108			not_estimable: Denisovan D is relative, not a percentage	0.005	0.179	high-confidence	High confidence	13.12	low_information=0.12;uncertainty=0.09;contamination=0.00;damage=0.55;missing_qc=0.00;transversion_instability=0.00;reference_instability=0.57;chromosome_instability=0.00;block_influence=0.00	0.008142334059982072	Pass	[0.003,0.01]	[0.005,0.009]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus	False		complete	50.0	0.028012379463092	0.0568757828483307	0.0101397303518938	87075.0	0.0568757828483307	transversion_proxy_only; terminal trimming requires reads	0.0298545631675247	0.0405722146327963	0.0125598351697043	0.0260999317220196	0.029529945451613	0.0034300137295934	0.0017434293435416	25.0	14455.0	0.028331760300724	0.0208917642744528	-0.0094097716831612	0.0700866758492976	0.0275119557868069	0.0049606428201226	0.0188839333762796	0.0365459864970993	not_run: no validated general segment caller for EIGENSTRAT
I4451.AG		Vanuatu_2300BP	Mele-Taplins (Efate)	Vanuatu	Oceania	-17.689401	168.289509	2260.0	Iron Age/Classical	M	1.73904066	750176.0	331957	1.567	0.6645	0.26458000000000004	2.86942	380876	0.029848	0.007214	4.138			not_estimable: Denisovan D is relative, not a percentage	0.007		high-confidence	High confidence	15.94	low_information=0.09;uncertainty=0.15;contamination=0.04;damage=0.35;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.73;chromosome_instability=0.03;block_influence=0.03	-0.00411963025292468	Pass	[0.003,0.019]	[0.007,0.013]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.half,ds.half	False		complete	50.0	0.01566986919199	0.0277224120881323	0.0092133573885587	89523.0	0.0277224120881323	transversion_proxy_only; terminal trimming requires reads	0.0187419631700958	0.0309221575909222	0.0152522883989322	0.0129535913359779	0.0187731729229559	0.005819581586978	0.0030528518673399	8.0	14455.0	0.0134283003733786	0.0209198350709579	-0.0298854791262336	0.0451437970567676	0.0155201512764736	0.0062206236796073	0.0023299204056438	0.0271396205706771	not_run: no validated general segment caller for EIGENSTRAT
MH8.SG		Australia_PreEuropean	Mapoon (Queensland, Cape York)	Australia	Oceania	-12.044	141.893	850.0	Historical/Recent	M	6.8074	1056571.0	463645	2.9572000000000003	0.523	1.93212	3.9822800000000007	539699	0.02816	0.006546	4.302			not_estimable: Denisovan D is relative, not a percentage		0.05	elite-confidence	Very high confidence	12.4	low_information=0.00;uncertainty=0.07;contamination=0.35;damage=0.07;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.65;chromosome_instability=0.02;block_influence=0.00	0.009428402236091576	Pass	..	..	WrightLambertSciAdv2018	https://doi.org/10.1126/sciadv.aau5064	..	False		complete	50.0	0.0295723682873767	0.049656846057534	0.0080596440298119	125378.0	0.049656846057534	transversion_proxy_only; terminal trimming requires reads	0.03096020922176	0.0434512075463905	0.0138788392590138	0.0265909781337505	0.0319871847675951	0.0053962066338446	0.0021278099420133	12.0	14455.0	0.0322081819576036	0.0200405192910564	-0.0061589105649311	0.068931302308224	0.0297793895547611	0.0047660287162644	0.0206524163869456	0.0377715826950928	not_run: no validated general segment caller for EIGENSTRAT
ERI009.AG		PapuaNewGuinea_Eriama_EarlyModern	Eriama (Central Province, Kanobaba'a 1)	Papua New Guinea	Oceania	-9.21	147.13	390.0	Historical/Recent	M	1.4682	767567.0	337412	3.4160000000000004	0.6719	2.0990760000000006	4.732924000000001	404876	0.029685	0.007683	3.864			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	22.22	low_information=0.08;uncertainty=0.15;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.84;chromosome_instability=0.00;block_influence=0.00	0.013852827272811504	PROVISIONAL_PASS	..	..	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False		complete	50.0	0.0341600890611669	0.0468437513395598	0.0104436828228422	90293.0	0.0468437513395598	transversion_proxy_only; terminal trimming requires reads	0.0347444871130658	0.0514404514285278	0.0172803623673608	0.0316659051134108	0.0365147409672191	0.0048488358538082	0.0024370634031758	28.0	14455.0	0.0346410680872673	0.0239360877173994	-0.0114330474286583	0.079286454507682	0.0348291284069485	0.0061260708906202	0.0223395454831995	0.0460951884370344	not_run: no validated general segment caller for EIGENSTRAT
I10967.AG		Vanuatu_200BP-oPolynesian	Mangaasi (Efate)	Vanuatu	Oceania	-17.611529	168.241268	156.0	Historical/Recent	F	0.74934971	481082.0	206492	2.7368	0.7632	1.240928	4.232672	253943	0.028547	0.007826	3.648			not_estimable: Denisovan D is relative, not a percentage		0.0815	high-confidence	High confidence	27.87	low_information=0.45;uncertainty=0.20;contamination=0.35;damage=0.19;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.65;chromosome_instability=0.06;block_influence=0.07	0.0074891124272276725	Pass	n/a (female)	n/a (female)	LipsonReichCurrBiol2020	https://doi.org/10.1016/j.cub.2020.09.035	ds.half	False		complete	50.0	0.0273675135411706	0.0253183706530153	0.0126210038620437	53954.0	0.0253183706530153	transversion_proxy_only; terminal trimming requires reads	0.0297395336644554	0.0412868604589141	0.0139193469177435	0.0235128662570141	0.0300928902990769	0.0065800240420628	0.0038104965387045	36.0	14455.0	0.027140258126346	0.0208854665682599	-0.011562052806727	0.0654829534755287	0.0275800454837707	0.0075594108533382	0.0132678183213297	0.0411295229707929	not_run: no validated general segment caller for EIGENSTRAT
I4106.AG		Vanuatu_150BP	Wam Bay (Epi Island)	Vanuatu	Oceania	-16.89	168.3	140.0	Historical/Recent	M	13.0718253	1004313.0	441321	2.9259	0.5078	1.930612	3.9211880000000003	510786	0.025267	0.006717	3.762			not_estimable: Denisovan D is relative, not a percentage	0.006		elite-confidence	Very high confidence	11.28	low_information=0.00;uncertainty=0.07;contamination=0.02;damage=0.35;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.71;chromosome_instability=0.00;block_influence=0.00	0.009342281644593262	Pass	[0.002,0.01]	[0.006,0.008]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.minus,ds.half	False		complete	50.0	0.0292588749276806	0.0473088247348923	0.0091282313500629	119415.0	0.0473088247348923	transversion_proxy_only; terminal trimming requires reads	0.0304565397394529	0.0441336274930069	0.0148747525653263	0.0276927700889066	0.0319738407510965	0.0042810706621899	0.0015847431059819	10.0	14455.0	0.0290953953633923	0.0228855399873422	-0.0111747310671408	0.0769670640113204	0.0304193133700372	0.0049666425597196	0.0205437557715763	0.0406027057863402	not_run: no validated general segment caller for EIGENSTRAT
WAT003.AG		PapuaNewGuinea_ReberRakival_Medieval	Reber-Rakival (East New Britain, Nonga)	Papua New Guinea	Oceania	-4.09	152.07	570.0	Historical/Recent	F	1.1517	627372.0	274471	1.58	0.5568	0.4886720000000002	2.671328	321631	0.02614	0.007286	3.588			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	23.43	low_information=0.25;uncertainty=0.09;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.44;chromosome_instability=0.00;block_influence=0.00	-0.004762732747727573	PROVISIONAL_PASS	n/a (female)	n/a (female)	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False		complete	50.0	0.0158002412946682	0.0431757882907711	0.0097114445476533	72893.0	0.0431757882907711	transversion_proxy_only; terminal trimming requires reads	0.0168122111055542	0.0260029509204182	0.01020270962575	0.0135756339361078	0.0179502727947834	0.0043746388586756	0.0016876228719549	45.0	14455.0	0.0148577033244102	0.0227655697041874	-0.028164161955245	0.0555400148303572	0.0155250886854445	0.0061265683218311	0.0032427623819767	0.027027152690966	not_run: no validated general segment caller for EIGENSTRAT
