genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
I8156.AG		Spain_C	Sima del Ángel (Andalusia, Córdoba, Lucena)	Spain	Europe/Near East	37.24	-4.24	4650.0	Bronze Age/Chalcolithic	M	0.02965309	31655.0	14065	2.4576000000000002	2.0740000000000003	-1.6074400000000002	6.52264	15971	0.072735	0.021262	3.421			not_estimable: Denisovan D is relative, not a percentage	2000.0	0.085	broad	Likely artifact	65.18	low_information=0.99;uncertainty=0.88;contamination=1.00;damage=0.20;missing_qc=0.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.004124439230266855	Pass	n/a (<200 SNPs)	n/a (<2000 X SNPs)	OlaldeReichScience2019	https://doi.org/10.1126/science.aav4040	ds.half	False	wide_confidence_interval;contamination																										
cay033.SG		Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey	Caucasus/Central Asia	38.2153	39.7526	10100.0	Mesolithic/Epipalaeolithic	U	0.09424416	32036.0	16612	2.1048999999999998	1.9465	-1.7102400000000004	5.92004	15688	0.062211	0.027154	2.291			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	62.67	low_information=0.98;uncertainty=0.82;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0017828208948330766	Pass	n/a (unknown sex)	n/a (unknown sex)	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	..	False	wide_confidence_interval																										
BB.K.10.2.AG.SG		Kyrgyzstan_BozBarmak_IA_Saka	Boz-Barmak (Issyk-Kul Lake, 4 km southeast of Balykchi town)	Kyrgyzstan	Eurasia			2200.0	Iron Age/Classical	F	0.032	36100.0	16819	5.1603	1.8710999999999998	1.492944000000001	8.827656000000001	17724	0.060977	0.025141	2.425			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	61.86	low_information=0.98;uncertainty=0.78;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.029909511270817903	PROVISIONAL_PASS	n/a (female)	n/a (female)	RymbekovaKuhlwilmBioRxiv2025	https://doi.org/10.1101/2025.11.03.686206	ss.minus,ss.minus	False	wide_confidence_interval																										
I2232.AG		Argentina_BuenosAires_7700BP	Arroyo Seco II (Buenos Aires Province, Ptdo. Tres Arroyos)	Argentina	Americas	-38.3605556	-60.2441667	8373.0	Neolithic	M	0.03125394	33148.0	14651	4.479	2.2049	0.15739600000000062	8.800604	16747	0.058335	0.026139	2.232			not_estimable: Denisovan D is relative, not a percentage	2000.0		broad	Likely artifact	70.64	low_information=0.99;uncertainty=0.95;contamination=1.00;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.027211529208834358	Pass	..	n/a (<2000 X SNPs)	PosthReichCell2018	https://doi.org/10.1016/j.cell.2018.10.027	ds.half,ds.half	False	wide_confidence_interval;contamination																										
I1787.AG		Turkmenistan_BA1-1	Gonur (Mary Region)	Turkmenistan	Caucasus/Central Asia	38.21228	62.03443	4023.0	Bronze Age/Chalcolithic	F	0.02854675	30558.0	13274	-0.20279999999999998	2.415	-4.9362	4.5306	15363	0.056169	0.028716	1.956			not_estimable: Denisovan D is relative, not a percentage			broad	Likely artifact	66.55	low_information=0.99;uncertainty=1.00;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	-0.02153528563494463	Pass	n/a (female)	n/a (female)	NarasimhanReichScience2019	https://doi.org/10.1126/science.aat7487	ds.half,ds.half	False	wide_confidence_interval																										
I6048.AG		Russia_Novosibirsk_MLBA	Priobrazhenka-3 (Novosibirsk Oblast, Chanovsky District)	Russia	South Asia/Siberia	55.51	77.05	3573.0	Bronze Age/Chalcolithic	F	0.028804	30060.0	13619	1.8221999999999998	2.1444	-2.3808240000000005	6.025224	15218	0.05602	0.024739	2.264			not_estimable: Denisovan D is relative, not a percentage		0.17	broad	Low confidence	63.96	low_information=0.99;uncertainty=0.92;contamination=0.35;damage=0.52;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	-0.003500190061652475	Pass	n/a (female)	n/a (female)	NarasimhanReichScience2019	https://doi.org/10.1126/science.aat7487	ds.half	False	wide_confidence_interval																										
CGG_2_105325.SG		Denmark_Lundbjerggard_Roman	Lundbjerggård (Zealand/ Region Hovedstaden)	Denmark	Europe/Near East	55.6272	12.1338	1693.0	Iron Age/Classical	F	0.0268	30482.0	13592	5.6739	2.0729	1.6110159999999998	9.736784	15074	0.054017	0.025792	2.094			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	64.2	low_information=0.99;uncertainty=0.88;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.035223384309856255	PROVISIONAL_PASS	n/a (female)	n/a (female)	McCollWillerslevBioRxiv2025	https://doi.org/10.1101/2025.02.28.640770	..	False	wide_confidence_interval																										
AITI_33.AG.SG		Germany_KleinaitingenGewerbegebietNord_EBA	Kleinaitingen-Gewerbegebiet-Nord (Bayern, Schwaben, Augsburg-Landkreis)	Germany	Europe/Near East	48.22281	10.84499	3596.0	Bronze Age/Chalcolithic	M	0.07492011	66045.0	28725	3.116	1.8282	-0.4672719999999998	6.699272000000001	33875	0.052983	0.020483	2.587			not_estimable: Denisovan D is relative, not a percentage	2000.0		broad	Likely artifact	65.71	low_information=0.95;uncertainty=0.76;contamination=1.00;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.010102894020051607	Questionable	..	n/a (<2000 X SNPs)	MittnikKrauseScience2019	https://doi.org/10.1126/science.aax6219	ss.minus,ss.USER,ss.minus,ss.USER	False	wide_confidence_interval;contamination																										
CAO004_alt.AG		Cuba_PreCeramic-2	Canimar Abajo (Northwestern Cuba, Matanzas)	Cuba	Americas	23.038	-81.497	1175.0	Historical/Recent	M	0.04491678	43636.0	18978	5.595	1.4882	2.678128	8.511872	22286	0.051841	0.021301	2.434			not_estimable: Denisovan D is relative, not a percentage		0.08735	broad	Low confidence	53.67	low_information=0.97;uncertainty=0.58;contamination=0.35;damage=0.21;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.03491009234650641	Pass	..	..	NägeleSchroederScience2020	https://doi.org/10.1126/science.aba8697	ds.half	False																											
M344.SG		Nepal_2125BP	Mebrak Tomb (Mustang District)	Nepal	South Asia/Siberia	28.86	83.92	2125.0	Iron Age/Classical	M	0.05306443	49645.0	22183	-0.5055	1.8686	-4.167955999999999	3.1569560000000005	25718	0.050349	0.022459	2.242			not_estimable: Denisovan D is relative, not a percentage	2000.0		broad	Likely artifact	66.59	low_information=0.97;uncertainty=0.78;contamination=1.00;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	-0.02546049695467409	Pass	..	n/a (<2000 X SNPs)	JeongWarinnerPNAS2016	https://doi.org/10.1073/pnas.1520844113	ds.minus	False	wide_confidence_interval;contamination																										
