genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
SB605.SG		England_Medieval	Norwich (England, Norwich, Chapelfield Shopping Center, well shaft)	United Kingdom	Europe/Near East	52.625551	1.291518	750.0	Historical/Recent	F	6.23771313	981263.0	434197	4.3917	0.6098	3.1964919999999992	5.586908	486036	-0.008515	0.006988	-1.218			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	18.0	low_information=0.00;uncertainty=0.12;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.46;chromosome_instability=0.06;block_influence=0.00	0.022515530315766898	Pass	n/a (female)	n/a (female)	BraceBarnesCurrBiol2022	https://doi.org/10.1016/j.cub.2022.08.036	ds.half	False		complete	50.0	0.043917014944377	0.0678629008037075	0.0081754470350588	124299.0	0.0678629008037075	transversion_proxy_only; terminal trimming requires reads	0.0451651907944564	0.0544816350715396	0.0105646201271625	0.0396486747135886	0.0460826295783748	0.0064339548647862	0.0018218108095959	49.0	14455.0	0.0454311447588459	0.0191178189897513	0.0123262685389264	0.0829048174085655	0.0434771709752093	0.0062202261843612	0.0317410057759635	0.0560593029719311	not_run: no validated general segment caller for EIGENSTRAT
Sumidouro6_d.SG		Brazil_CentralMinasGerais_EarlyHolocene_10100BP_HG	Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)	Brazil	Americas	-19.54	-43.94	10070.0	Mesolithic/Epipalaeolithic	M	0.5192	449210.0	203830	4.2473	0.6462	2.9807479999999997	5.513852	229942	0.023965	0.00904	2.651			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	30.37	low_information=0.45;uncertainty=0.14;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.62;chromosome_instability=0.02;block_influence=0.00	0.02399665088096477	Pass	..	..	Moreno-MayarWillerslevScience2018	https://doi.org/10.1126/science.aav2621	ds.minus	False		complete	50.0	0.0424726626848823	0.0458593305362586	0.0103000210399988	59292.0	0.0458593305362586	transversion_proxy_only; terminal trimming requires reads	0.0421529254043374	0.0555344138285525	0.0133814884242151	0.0398554672439248	0.045478833871748	0.0056233666278232	0.0023181985436979	12.0	14455.0	0.0439537338478801	0.0223657236949911	8.859607546354385e-05	0.0879966198123332	0.0423857218404696	0.0062817151228805	0.0303937380406811	0.0529812347666552	not_run: no validated general segment caller for EIGENSTRAT
SB676.SG		England_Medieval	Norwich (England, Norwich, Chapelfield Shopping Center, well shaft)	United Kingdom	Europe/Near East	52.625551	1.291518	750.0	Historical/Recent	M	7.53406412	963547.0	422388	4.1014	0.6521	2.823284	5.379516	474360	-0.019678	0.006558	-3.001			not_estimable: Denisovan D is relative, not a percentage	0.003		high-confidence	High confidence	12.29	low_information=0.00;uncertainty=0.14;contamination=0.00;damage=0.35;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.65;chromosome_instability=0.00;block_influence=0.01	0.019612530315766902	Pass	..	[0.003,0.005]	BraceBarnesCurrBiol2022	https://doi.org/10.1016/j.cub.2022.08.036	ds.half	False		complete	50.0	0.0410136517622992	0.0674762494354999	0.0086298257672501	112086.0	0.0674762494354999	transversion_proxy_only; terminal trimming requires reads	0.0418268730340298	0.0548771444534327	0.0138634926911334	0.0378744826039396	0.0427447342783433	0.0048702516744037	0.0027227655098533	27.0	14455.0	0.0417658083387256	0.019699587507662	0.0034503685280393	0.0807480190345665	0.0404413291279522	0.0058256421607037	0.0291589943574029	0.0524296751686687	not_run: no validated general segment caller for EIGENSTRAT
DA231.SG		Kazakhstan_Andronovo	Michurino (Pavlodar Region, Pavlodar District)	Kazakhstan	South Asia/Siberia	52.4908333	76.8394444	3439.0	Bronze Age/Chalcolithic	F	0.71495056	512047.0	230960	4.081300000000001	0.6893	2.7302720000000003	5.432328	256229	0.003279	0.008253	0.397			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	29.22	low_information=0.38;uncertainty=0.16;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.71;chromosome_instability=0.00;block_influence=0.00	0.019240976439399413	Pass	n/a (female)	n/a (female)	DamgaardWillerslevNature2018	https://doi.org/10.1038/s41586-018-0094-2	ds.minus	False		complete	50.0	0.0408133230210093	0.0525182975731877	0.0107737388129618	69298.0	0.0525182975731877	transversion_proxy_only; terminal trimming requires reads	0.0405751337689496	0.0554658894830047	0.0148907557140551	0.0381887324850097	0.0429285615117834	0.0047398290267737	0.002062687726643	32.0	14455.0	0.0380553389698805	0.0226142428475053	-0.0055882543890038	0.0784721578571511	0.0407208468316508	0.0067485644722492	0.0286807891456034	0.0547883317020416	not_run: no validated general segment caller for EIGENSTRAT
RISE503.SG		Russia_Andronovo	Kytmanovo (Altai Krai, Kytmanovsky District, Kytmanovo Village)	Russia	South Asia/Siberia	53.456	85.447	3547.0	Bronze Age/Chalcolithic	F	1.01073143	654074.0	290737	4.0489	0.5321	3.0059839999999998	5.091816	341297	0.012863	0.007484	1.719			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	22.97	low_information=0.21;uncertainty=0.08;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.63;chromosome_instability=0.00;block_influence=0.00	0.018873494762673797	Pass	n/a (female)	n/a (female)	AllentoftWillerslevNature2015	https://doi.org/10.1038/nature14507	ds.minus	False		complete	50.0	0.0404894351421271	0.0512903301811635	0.0085029139058311	82526.0	0.0512903301811635	transversion_proxy_only; terminal trimming requires reads	0.0420982354569801	0.0540070245043367	0.0135175893622095	0.0381934205486603	0.0423740552352803	0.0041806346866199	0.0016545529040536	15.0	14455.0	0.0386545159616466	0.0205296443941009	0.0023900316750223	0.0786610509674048	0.0407188437585029	0.005241181772407	0.0298667599320654	0.0499814484133451	not_run: no validated general segment caller for EIGENSTRAT
cambridgeshire47.SG		England_Cambridgeshire_Medieval	Cambridgeshire (England)	United Kingdom	Europe/Near East	52.205	0.1225	700.0	Historical/Recent	F	0.7297	588243.0	262369	3.984	0.6279	2.753316	5.214684	299165	0.012369	0.00712	1.737			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	25.79	low_information=0.29;uncertainty=0.13;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.55;chromosome_instability=0.05;block_influence=0.00	0.01845792682164659	Pass	n/a (female)	n/a (female)	HuiKivisildSciAdv2024	https://doi.org/10.1126/sciadv.adi5903	..	False		complete	50.0	0.0398401088450395	0.069921110032734	0.0104524229747777	75423.0	0.069921110032734	transversion_proxy_only; terminal trimming requires reads	0.0381137947615208	0.0501851038841309	0.01207130912261	0.0365741546364761	0.0427306839374733	0.0061565293009971	0.0022563508744545	28.0	14455.0	0.040565280642944	0.0216657909765817	-0.0044447464123606	0.0850174298129431	0.0397017178569757	0.0062982001918581	0.026811965343824	0.0506821484084069	not_run: no validated general segment caller for EIGENSTRAT
TK5-8.AG		Mongolia_Khentii_LateMedieval	Tavan Khailaast (Khentii Province, Delgerkhaan District)	Mongolia	East Asia	47.1711	109.0238	596.0	Historical/Recent	F	0.5066	453936.0	203631	3.8489000000000004	0.624	2.6258600000000003	5.07194	222701	-0.002833	0.007652	-0.37			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	30.95	low_information=0.45;uncertainty=0.13;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.81;chromosome_instability=0.00;block_influence=0.00	0.016030385890974747	Pass	n/a (female)	n/a (female)	LeeGakuhariHPGG2024	https://doi.org/10.47248/hpgg2404010004	ds.half	False		complete	50.0	0.0384886811433972	0.0389019522650828	0.0123496078979767	57932.0	0.0389019522650828	transversion_proxy_only; terminal trimming requires reads	0.0351492929368864	0.0517471701061934	0.0165978771693069	0.0365532890717809	0.0401722487289834	0.0036189596572025	0.001992932765022	34.0	14455.0	0.0365580956585183	0.0210833013671356	-0.0052733728082505	0.0769591750777014	0.0387788145157217	0.0060604469298921	0.0275280185628432	0.0498118646376104	not_run: no validated general segment caller for EIGENSTRAT
RISE502.SG		Russia_Karasuk	Bystrovka (Khakassia Republic of, Tashtypsky District)	Russia	South Asia/Siberia	51.909	88.574	3360.0	Bronze Age/Chalcolithic	F	1.66398497	823534.0	364608	3.8057	0.5499	2.727896	4.883504	430001	0.014184	0.006425	2.208			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	18.04	low_information=0.00;uncertainty=0.09;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.65;chromosome_instability=0.00;block_influence=0.00	0.016514358696222472	Pass	n/a (female)	n/a (female)	AllentoftWillerslevNature2015	https://doi.org/10.1038/nature14507	ds.minus	False		complete	50.0	0.0380570070592772	0.0521439337072197	0.0088734599234445	102373.0	0.0521439337072197	transversion_proxy_only; terminal trimming requires reads	0.0390075228070738	0.0518726668370908	0.0138156597778135	0.0355534830556281	0.0399206699032798	0.0043671868476517	0.0017975120008532	8.0	14455.0	0.0403761413426206	0.0225924636634402	-0.0032076371509978	0.078379505729172	0.0378749704439226	0.0053832265482723	0.0275075224750779	0.0477994339681428	not_run: no validated general segment caller for EIGENSTRAT
VK99.SG		Iceland_Viking	Hofstadir (Northeastern Region, Skútustaðahreppur)	Iceland	Americas	65.61	-17.16	850.0	Historical/Recent	F	1.12677217	645345.0	285231	3.7705	0.6577999999999999	2.481212	5.059788	347824	0.004794	0.006309	0.76			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	30.27	low_information=0.22;uncertainty=0.14;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.01282501392590353	Pass	n/a (female)	n/a (female)	MargaryanWillerslevNature2020	https://doi.org/10.1038/s41586-020-2688-8	ds.minus	False																											
RISE1280.SG		Denmark_SingleGraveCulture	Gjerrild Cist (Eastern Jutland, Djursland)	Denmark	Europe/Near East	56.5	10.82	4226.0	Bronze Age/Chalcolithic	M	1.074	737295.0	333178	3.7527	0.528	2.71782	4.787579999999999	366054	0.013696	0.007036	1.946			not_estimable: Denisovan D is relative, not a percentage	0.007	0.273	high-confidence	High confidence	16.21	low_information=0.09;uncertainty=0.08;contamination=0.04;damage=0.90;missing_qc=0.00;transversion_instability=0.00;reference_instability=0.57;chromosome_instability=0.01;block_influence=0.00	0.01606871168269183	Pass	[0.006,0.028]	[0.007,0.015]	EgfjordAllentoftPLoSOne2021	https://doi.org/10.1371/journal.pone.0244872	ds.minus,ds.minus	False		complete	50.0	0.0375266452571271	0.0510452343379188	0.0088442429081637	99806.0	0.0510452343379188	transversion_proxy_only; terminal trimming requires reads	0.0384606550275341	0.049984913336565	0.0124582680794379	0.0343647820008234	0.0397388206878662	0.0053740386870428	0.0022692897713209	32.0	14455.0	0.0385468479739066	0.0212039535638021	-0.0022683275940448	0.0756701941745178	0.0379198487782972	0.005204741823317	0.0280489945652023	0.0490073780344421	not_run: no validated general segment caller for EIGENSTRAT
