genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
SB605.SG		England_Medieval	Norwich (England, Norwich, Chapelfield Shopping Center, well shaft)	United Kingdom	Europe/Near East	52.625551	1.291518	750.0	Historical/Recent	F	6.23771313	981263.0	434197	4.3917	0.6098	3.1964919999999992	5.586908	486036	-0.008515	0.006988	-1.218			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	18.0	low_information=0.00;uncertainty=0.12;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.46;chromosome_instability=0.06;block_influence=0.00	0.022515530315766898	Pass	n/a (female)	n/a (female)	BraceBarnesCurrBiol2022	https://doi.org/10.1016/j.cub.2022.08.036	ds.half	False		complete	50.0	0.043917014944377	0.0678629008037075	0.0081754470350588	124299.0	0.0678629008037075	transversion_proxy_only; terminal trimming requires reads	0.0451651907944564	0.0544816350715396	0.0105646201271625	0.0396486747135886	0.0460826295783748	0.0064339548647862	0.0018218108095959	49.0	14455.0	0.0454311447588459	0.0191178189897513	0.0123262685389264	0.0829048174085655	0.0434771709752093	0.0062202261843612	0.0317410057759635	0.0560593029719311	not_run: no validated general segment caller for EIGENSTRAT
RISE503.SG		Russia_Andronovo	Kytmanovo (Altai Krai, Kytmanovsky District, Kytmanovo Village)	Russia	South Asia/Siberia	53.456	85.447	3547.0	Bronze Age/Chalcolithic	F	1.01073143	654074.0	290737	4.0489	0.5321	3.0059839999999998	5.091816	341297	0.012863	0.007484	1.719			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	22.97	low_information=0.21;uncertainty=0.08;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.63;chromosome_instability=0.00;block_influence=0.00	0.018873494762673797	Pass	n/a (female)	n/a (female)	AllentoftWillerslevNature2015	https://doi.org/10.1038/nature14507	ds.minus	False		complete	50.0	0.0404894351421271	0.0512903301811635	0.0085029139058311	82526.0	0.0512903301811635	transversion_proxy_only; terminal trimming requires reads	0.0420982354569801	0.0540070245043367	0.0135175893622095	0.0381934205486603	0.0423740552352803	0.0041806346866199	0.0016545529040536	15.0	14455.0	0.0386545159616466	0.0205296443941009	0.0023900316750223	0.0786610509674048	0.0407188437585029	0.005241181772407	0.0298667599320654	0.0499814484133451	not_run: no validated general segment caller for EIGENSTRAT
Sumidouro6_d.SG		Brazil_CentralMinasGerais_EarlyHolocene_10100BP_HG	Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)	Brazil	Americas	-19.54	-43.94	10070.0	Mesolithic/Epipalaeolithic	M	0.5192	449210.0	203830	4.2473	0.6462	2.9807479999999997	5.513852	229942	0.023965	0.00904	2.651			not_estimable: Denisovan D is relative, not a percentage			high-confidence	High confidence	30.37	low_information=0.45;uncertainty=0.14;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.62;chromosome_instability=0.02;block_influence=0.00	0.02399665088096477	Pass	..	..	Moreno-MayarWillerslevScience2018	https://doi.org/10.1126/science.aav2621	ds.minus	False		complete	50.0	0.0424726626848823	0.0458593305362586	0.0103000210399988	59292.0	0.0458593305362586	transversion_proxy_only; terminal trimming requires reads	0.0421529254043374	0.0555344138285525	0.0133814884242151	0.0398554672439248	0.045478833871748	0.0056233666278232	0.0023181985436979	12.0	14455.0	0.0439537338478801	0.0223657236949911	8.859607546354385e-05	0.0879966198123332	0.0423857218404696	0.0062817151228805	0.0303937380406811	0.0529812347666552	not_run: no validated general segment caller for EIGENSTRAT
DA45_d.SG		Mongolia_Omnogovi_XiongnuPeriod	Omnogobi (Ömnögovi Province, Nomgon District)	Mongolia	East Asia	42.5258333	105.18	2046.0	Iron Age/Classical	M	1.64	896919.0	401045	3.5836	0.4715	2.65946	4.50774	447320	-0.006767	0.006932	-0.976			not_estimable: Denisovan D is relative, not a percentage			elite-confidence	Very high confidence	16.77	low_information=0.00;uncertainty=0.05;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.56;chromosome_instability=0.00;block_influence=0.00	0.013674745429091133	Pass	..	..	DamgaardWillerslevNature2018	https://doi.org/10.1038/s41586-018-0094-2	ds.minus	False		complete	50.0	0.0358359243079032	0.0416685782984282	0.0091043627911949	113760.0	0.0416685782984282	transversion_proxy_only; terminal trimming requires reads	0.0358195256148859	0.048133270693786	0.0123137450789	0.0339398974984096	0.0381879267324368	0.0042480292340271	0.001787486299307	17.0	14455.0	0.0361498197732037	0.0216161324862291	-0.0061319421292676	0.0762828221555289	0.0353306269689748	0.0045285503512539	0.0263878250092158	0.0436505870594807	not_run: no validated general segment caller for EIGENSTRAT
DA26.SG		Kazakhstan_Sarmatian	Bestamak (Kostanay Region, Auliekol District)	Kazakhstan	Caucasus/Central Asia	52.1811111	64.5394444	2300.0	Iron Age/Classical	F	1.08493802	650108.0	297532	3.7154	0.616	2.5080400000000003	4.922759999999999	315828	0.00424	0.007916	0.536			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	28.97	low_information=0.19;uncertainty=0.12;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.016857360776218525	Pass	n/a (female)	n/a (female)	DamgaardWillerslevNature2018	https://doi.org/10.1038/s41586-018-0094-2	ds.minus	False																											
I4105.AG		Vanuatu_150BP	Wam Bay (Epi Island)	Vanuatu	Oceania	-16.89	168.3	150.0	Historical/Recent	M	8.09172382	991111.0	436085	3.3970000000000002	0.6248	2.172392	4.621608	503023	0.030514	0.007109	4.292			not_estimable: Denisovan D is relative, not a percentage	0.008		high-confidence	High confidence	12.93	low_information=0.00;uncertainty=0.13;contamination=0.07;damage=0.35;missing_qc=0.33;transversion_instability=0.00;reference_instability=0.67;chromosome_instability=0.00;block_influence=0.02	0.014053686741051938	Pass	[0.006,0.015]	[0.008,0.011]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.minus,ds.half,ds.half	False		complete	50.0	0.0339700059421729	0.0541863515195024	0.0098175346645043	118083.0	0.0541863515195024	transversion_proxy_only; terminal trimming requires reads	0.0361784449344777	0.048126791873482	0.0141567859313091	0.0313372081892201	0.0360160048433475	0.0046787966541274	0.0028454620355925	8.0	14455.0	0.031951120202068	0.0207887488612348	-0.008712851768512	0.0688871035803913	0.0338014040468586	0.006097550495645	0.0232014032440424	0.04626318884479	not_run: no validated general segment caller for EIGENSTRAT
Sanglung.SG		India_Sanglung_EarlyMiddleAges	Sanglung (Himachal Pradesh Region, Lahaul & Spiti district District)	India	Eurasia			1360.0	Historical/Recent	M	16.0732	1140048.0	501899	3.1086	0.5788	1.974152	4.243048	559699	0.002833	0.005571	0.508			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	23.83	low_information=0.00;uncertainty=0.10;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.009358483168289258	PROVISIONAL_PASS	..	..	BandyopadhyayRaiSciAdv2025	https://doi.org/10.1126/sciadv.adu9625	ds.minus	False																											
I24494.AG		Tunisia_Punic	Kerkouene (Nabeul, Dar Allosh, Ezzahra)	Tunisia	Africa	36.947562	11.099143	2464.0	Iron Age/Classical	F	3.72369179	802460.0	349184	2.7484	0.5523	1.6658920000000002	3.8309080000000004	421613	-0.011309	0.005715	-1.979			not_estimable: Denisovan D is relative, not a percentage		0.15	high-confidence	Moderate confidence	22.95	low_information=0.04;uncertainty=0.09;contamination=0.35;damage=0.44;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.016225780459321243	Pass	n/a (female)	n/a (female)	RingbauerReichNature2025	https://doi.org/10.1038/s41586-025-08913-3	ds.half	False																											
Kolyma1.SG		Russia_Sakha_Mesolithic	Duvanni-Yar (Sakha Republic, Nizhnekolymsky Ulus)	Russia	Island SE Asia/Oceania	68.6	159.1	9775.0	Neolithic	M	17.8098222	1149936.0	505777	2.629	0.5339	1.5825560000000003	3.6754439999999997	560912	0.007657	0.005748	1.332			not_estimable: Denisovan D is relative, not a percentage	0.008		elite-confidence	Moderate confidence	17.3	low_information=0.00;uncertainty=0.08;contamination=0.07;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.004622884454208651	Pass	..	[0.008,0.009]	SikoraWillerslevNature2019	https://doi.org/10.1038/s41586-019-1279-z	ds.minus	False																											
IRN69.SG		Unknown_Achaemenid	Unknown	..	Unknown			2310.0	Iron Age/Classical	M	0.8006	603688.0	272951	2.7693	0.6161	1.561744	3.9768559999999993	289732	0.004149	0.006836	0.607			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	30.7	low_information=0.26;uncertainty=0.12;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.006615688204502958	PROVISIONAL_PASS	..	..	AmjadiSzécsényi-NagySciRep2025	https://doi.org/10.1038/s41598-025-99743-w	ds.half,ds.half	False																											
