genetic_id,pop
I0723.AG,Anatolia_N
I0724.AG,Anatolia_N
I0727.AG,Anatolia_N
I1580.AG,Anatolia_N
I1581.AG,Anatolia_N
I1585.AG,Anatolia_N
I0708.AG,Anatolia_N
I0736.AG,Anatolia_N
I0746.AG,Anatolia_N
I1098.AG,Anatolia_N
I1099.AG,Anatolia_N
I1100.AG,Anatolia_N
kum4.SG,Anatolia_N
kum6.SG,Anatolia_N
CCH311.SG,Anatolia_N
cth217.SG,Anatolia_N
cth728.SG,Anatolia_N
cth747.SG,Anatolia_N
cth842.SG,Anatolia_N
Bar31.SG,Anatolia_N
Tep001.WGC.SG,Anatolia_N
Tep003.WGC.SG,Anatolia_N
Tep004.WGC.SG,Anatolia_N
Tep006.WGC.SG,Anatolia_N
I11948.AG,Anatolia_N
Bar25.SG,Anatolia_N
I1099.TW,Anatolia_N
I1099.AG.TW,Anatolia_N
I1102.TW,Anatolia_N
I0726.TW,Anatolia_N
I0726.AG.TW,Anatolia_N
I3121.AG,Anatolia_N
I1103.AG.TW,Anatolia_N
I1103.TW,Anatolia_N
I0707.SG,Anatolia_N
I1581.SG,Anatolia_N
I1583.SG,Anatolia_N
I0709.SG,Anatolia_N
I1098.SG,Anatolia_N
I1510.AG,Anatolia_N
Loschbour.AG,WHG
I3025.AG,WHG
I3004.AG,WHG
I3006.AG,WHG
I3025.AG.SG,WHG
I3016.AG.SG,WHG
PER503.SG,WHG
PER3023.SG,WHG
PER3123.SG,WHG
Rochedane.AG,WHG
Loschbour.DG,WHG
I3016.AG,WHG
hoe001.SG,WHG
hoe002.SG,WHG
hoe003.SG,WHG
hoe004.SG,WHG
hoe005.SG,WHG
tev001.SG,WHG
tev002_France.SG,WHG
tev003_France.SG,WHG
ACR001.AG,WHG
FRM001.AG,WHG
BerryAuBac.AG,WHG
LesCloseaux13_d.AG,WHG
Chaudardes1_d.AG,WHG
Chaudardes1.AG,WHG
MAF001.AG,WHG
I2362.AG,Yamnaya
I5120.AG,Yamnaya
I6882_d.AG,Yamnaya
I0439.AG,Yamnaya
I10424.AG,Yamnaya
I10567.AG,Yamnaya
I11029.AG,Yamnaya
I11501.AG,Yamnaya
I11829.AG,Yamnaya
I12843.AG,Yamnaya
I1448.AG,Yamnaya
I17742.AG,Yamnaya
I17747.AG,Yamnaya
I20067.AG,Yamnaya
I24086.AG,Yamnaya
I24088.AG,Yamnaya
I26230.AG,Yamnaya
RISE240.TW,Yamnaya
I32851.TW,Yamnaya
I33308.TW,Yamnaya
I10206.AG,Yamnaya
I26638.AG,Yamnaya
I7848.AG,Yamnaya
I10208.AG,Yamnaya
I17744.TW,Yamnaya
I17744.AG.TW,Yamnaya
I18819.AG.TW,Yamnaya
I10034.TW,Yamnaya
I10627.TW,Yamnaya
I8950.TW,Yamnaya
I8951.AG,Yamnaya
I10498.AG,Yamnaya
I11831.TW,Yamnaya
I11831.AG.TW,Yamnaya
I8952.AG.TW,Yamnaya
I0231.AG.TW,Yamnaya
I0231.AG,Yamnaya
I2105.DG,Yamnaya
I20076.SG,Yamnaya
I17745.TW,Yamnaya
I1944.AG,Iran_N
I1946.AG,Iran_N
I1947.AG,Iran_N
I1949.AG,Iran_N
I1951.AG,Iran_N
I1952.AG,Iran_N
I1954.AG,Iran_N
I7526.AG,Iran_N
I1290.AG,Iran_N
I1945.AG,Iran_N
I1954.AG.BY,Iran_N
I7526.TW,Iran_N
I7526.AG.TW,Iran_N
I1290.AG.BY,Iran_N
I1945.AG.TW.BY,Iran_N
I1290.SG,Iran_N
I1947.SG,Iran_N
I0861.AG,Natufian
I1069.AG,Natufian
I1690.AG,Natufian
I0861_d.AG,Natufian
I1685.TW,Natufian
I1687.AG,Natufian
I1690.TW,Natufian
I1690_alt.AG,Natufian
I1690.AG.TW,Natufian
I1685_alt.AG,Natufian
I1685.AG.TW,Natufian
I1690_d.AG.TW,Natufian
I1685_d.AG,Natufian
I1685_d.AG.TW,Natufian
I1685.AG,Natufian
I0861.AG.BY,Natufian
I1072.AG,Natufian
R1015.SG,Etruscan
R475.SG,Etruscan
CAM002.AG,Etruscan
CAM003.AG,Etruscan
CSN001.AG,Etruscan
CSN004.AG,Etruscan
CSN005.AG,Etruscan
CSN008.AG,Etruscan
CSN012.AG,Etruscan
CSN013.AG,Etruscan
MAG001.AG,Etruscan
MAS001.AG,Etruscan
PRZ002.AG,Etruscan
TAQ002.AG,Etruscan
TAQ005.AG,Etruscan
TAQ008.AG,Etruscan
TAQ013.AG,Etruscan
TAQ017.AG,Etruscan
TAQ018.AG,Etruscan
TAQ019.AG,Etruscan
VET001.AG,Etruscan
VET002.AG,Etruscan
VET003_4.AG,Etruscan
VET011.AG,Etruscan
VOL001.AG,Etruscan
R10337.SG,Etruscan
R10340.SG,Etruscan
R10341.SG,Etruscan
