genetic_id,group_id,country,date_bp,snps,reason
cay011.SG,Turkey_PPN,Turkey,8369.0,23943.0,low_snps:23943
cay012.SG,Turkey_PPN,Turkey,10100.0,25796.0,low_snps:25796
cay014.SG,Turkey_PPN,Turkey,8908.0,17719.0,low_snps:17719
cay015.SG,Turkey_PPN,Turkey,10100.0,13799.0,low_snps:13799
cay1820.SG,Turkey_PPN,Turkey,10100.0,15198.0,low_snps:15198
cay022.SG,Turkey_PPN,Turkey,7303.0,15946.0,low_snps:15946
cay027.SG,Turkey_PPN,Turkey,8400.0,23407.0,low_snps:23407
CL110.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-4,Italy,1350.0,24319.0,low_snps:24319
CL31.AG,Italy_Piedmont_North_EarlyMedieval_Lombards,Italy,1350.0,816869.0,qc_assessment:CRITICAL
SZ20.AG,Hungary_Lombards,Hungary,1425.0,11467.0,low_snps:11467
SZ35.AG,Hungary_Lombards,Hungary,1425.0,7125.0,low_snps:7125
JK2134.AG,Egypt_AbusirelMeleq_ThirdIntermediatePeriod,Egypt,2609.0,135011.0,non_eurasian:Africa
JK2888.AG,Egypt_AbusirelMeleq_Ptolemaic,Egypt,1997.0,207380.0,non_eurasian:Africa
JK2911.AG,Egypt_AbusirelMeleq_ThirdIntermediatePeriod,Egypt,2602.0,520709.0,non_eurasian:Africa
I1454.AG,Ukraine_Cherkasy_Eneolithic_SeredniiStih,Ukraine,5650.0,5488.0,low_snps:5488
I1752.AG,Chile_Conchali_700BP,Chile,595.0,786020.0,non_eurasian:Americas
I1753.AG,Chile_LosRieles_5100BP,Chile,5095.0,805391.0,non_eurasian:Americas
I1754.AG,Chile_Conchali_700BP,Chile,825.0,842552.0,non_eurasian:Americas
I1863.AG,Mexico_2750BP,Mexico,2750.0,91525.0,non_eurasian:Americas
I1864.AG,Mexico_950BP,Mexico,942.0,501416.0,non_eurasian:Americas
I1867.AG,Mexico_700BP,Mexico,682.0,101871.0,non_eurasian:Americas
I1894.AG,Hungary_MN_Vinca,Hungary,7150.0,16149.0,low_snps:16149
I1929.AG,Ukraine_Ternopil_Eneolithic_Trypillia,Ukraine,5650.0,27233.0,low_snps:27233
I2014.AG,Germany_HalberstadtSonntagsfeld_EN_LBK,Germany,6946.0,19763.0,low_snps:19763
I2022.AG,Germany_HalberstadtSonntagsfeld_EN_LBK,Germany,7125.0,21603.0,low_snps:21603
I2557.AG,Peru_EIP_1350BP,Peru,1395.0,452042.0,non_eurasian:Americas
I2558.AG,Peru_EIP_1350BP,Peru,1320.0,327403.0,non_eurasian:Americas
I2560.AG,Peru_MiddleHolocene_950BP,Peru,950.0,595962.0,non_eurasian:Americas
I2563.AG,Peru_LIP,Peru,650.0,35425.0,non_eurasian:Americas
