genetic_id,group_id,country,date_bp,snps,reason
cay011.SG,Turkey_PPN,Turkey,8369.0,23943.0,low_snps:23943
cay012.SG,Turkey_PPN,Turkey,10100.0,25796.0,low_snps:25796
cay014.SG,Turkey_PPN,Turkey,8908.0,17719.0,low_snps:17719
cay015.SG,Turkey_PPN,Turkey,10100.0,13799.0,low_snps:13799
cay1820.SG,Turkey_PPN,Turkey,10100.0,15198.0,low_snps:15198
cay022.SG,Turkey_PPN,Turkey,7303.0,15946.0,low_snps:15946
cay027.SG,Turkey_PPN,Turkey,8400.0,23407.0,low_snps:23407
CL110.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-4,Italy,1350.0,24319.0,low_snps:24319
CL31.AG,Italy_Piedmont_North_EarlyMedieval_Lombards,Italy,1350.0,816869.0,qc_assessment:CRITICAL
SZ20.AG,Hungary_Lombards,Hungary,1425.0,11467.0,low_snps:11467
SZ35.AG,Hungary_Lombards,Hungary,1425.0,7125.0,low_snps:7125
JK2134.AG,Egypt_AbusirelMeleq_ThirdIntermediatePeriod,Egypt,2609.0,135011.0,qc_assessment:CRITICAL
JK2888.AG,Egypt_AbusirelMeleq_Ptolemaic,Egypt,1997.0,207380.0,qc_assessment:CRITICAL
I1454.AG,Ukraine_Cherkasy_Eneolithic_SeredniiStih,Ukraine,5650.0,5488.0,low_snps:5488
I1894.AG,Hungary_MN_Vinca,Hungary,7150.0,16149.0,low_snps:16149
I1929.AG,Ukraine_Ternopil_Eneolithic_Trypillia,Ukraine,5650.0,27233.0,low_snps:27233
I2014.AG,Germany_HalberstadtSonntagsfeld_EN_LBK,Germany,6946.0,19763.0,low_snps:19763
I2022.AG,Germany_HalberstadtSonntagsfeld_EN_LBK,Germany,7125.0,21603.0,low_snps:21603
I2713.AG,USA_California_4900BP,USA,5105.0,12812.0,low_snps:12812
I2954.AG,Pakistan_Historic,Pakistan,2316.0,5860.0,qc_assessment:CRITICAL
I3065.AG,Scotland_Mesolithic,United Kingdom,6290.0,16018.0,qc_assessment:CRITICAL
I3496.AG,Spain_IA,Spain,2200.0,140772.0,qc_assessment:MERGE_CRITICAL
I3562.AG,USA_California_3000BP,USA,3200.0,14556.0,low_snps:14556
I3563.AG,USA_California_3000BP,USA,3200.0,26535.0,low_snps:26535
I3587.AG,Germany_StkrStraubing_BellBeaker-1,Germany,4175.0,8280.0,qc_assessment:CRITICAL
I3592.AG,Germany_StkrStraubing_BellBeaker,Germany,4260.0,18186.0,qc_assessment:CRITICAL
I3607.AG,Germany_KunzingBruck_BellBeaker,Germany,4200.0,10344.0,low_snps:10344
I3686.AG,Italy_Campania_ImperialRoman,Italy,1871.0,63780.0,qc_assessment:CRITICAL
I3778.AG,Spain_EarlyMedieval,Spain,1300.0,29533.0,low_snps:29533
