genetic_id,group_id,locality,country,lat,lon,date_bp,date_sd,full_date,coverage,snps_hit,mol_sex,assessment,angsd_contam,hapconx_contam,damage,y_hap,mt_hap,flags
Loschbour.AG,Luxembourg_Loschbour_Mesolithic,Loschbour (Echternach),Luxembourg,49.81,6.4,8025.0,64.0,"6221-5986 calBCE (7205±50 BP, OxA-7738)",3.36425934,463455.0,M,Pass,..,"[0.005,0.012]",,I-V6473,U5b1a,
Kou01.SG,Greece_EpanoKoufonisi_EBA_Cycladic,"Potamia (Cyclades, Epano Koufonisi)",Greece,36.937529,25.60652,4250.0,173.0,2600-2000 BCE,2.67758524,1033440.0,U,Pass,n/a (unknown sex),n/a (unknown sex),,n/a (sex unknown),..,
Kou03.SG,Greece_EpanoKoufonisi_EBA_Cycladic,"Potamia (Cyclades, Epano Koufonisi)",Greece,36.937529,25.60652,4250.0,173.0,2600-2000 BCE,3.37016215,1072759.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,
Log02.SG,Greece_ElatiLogkassite_MBA,"Elati-Logkas site (Kozani, Elati)",Greece,39.980392,21.823641,4250.0,173.0,2600-2000 BCE,5.26035446,1141145.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,
Log04.SG,Greece_ElatiLogkassite_MBA,"Elati-Logkas site (Kozani, Elati)",Greece,39.980392,21.823641,4250.0,173.0,2600-2000 BCE,5.6578423,1138096.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,
Mik15.SG,Greece_Manika_EBA,"Manika (Euboea Island, north of Chalkis)",Greece,38.498226,23.626147,4250.0,173.0,2600-2000 BCE,3.94474462,1076504.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,
Pta08.SG,Greece_Crete_KephalaPetrasSiteias,"Kephala Petras Siteias (Crete, Petras)",Greece,35.197343,26.11498,4250.0,173.0,2600-2000 BCE,4.82049539,1128313.0,U,Pass,n/a (unknown sex),n/a (unknown sex),,n/a (sex unknown),..,
cay004.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,8396.0,58.0,6591-6269 calBCE (7593±55 BP),0.09875904,83724.0,F,Pass,n/a (female),n/a (female),,n/a (female),K1a,low_power
cay008.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,8541.0,139.0,7031-6279 calBCE (7720±112 BP),0.10842236,93395.0,F,Pass,n/a (female),n/a (female),,n/a (female),T2g,low_power
cay013.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,8600.0,260.0,7100-6200 BCE,0.19123548,155759.0,F,Pass,n/a (female),n/a (female),,n/a (female),K1a12a,low_power
cay016.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,10550.0,173.0,8900-8300 BCE,0.05169041,44979.0,F,Pass,n/a (female),n/a (female),,n/a (female),n/a (<2x),low_power
cay033.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,10100.0,953.0,9800-6500 BCE,0.09424416,32036.0,U,Pass,n/a (unknown sex),n/a (unknown sex),,n/a (sex unknown),n/a (<2x),low_power
AV1.AG,Hungary_Avar-5,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1360.0,25.0,549-640 calCE (1487±26 BP),3.01575994,825101.0,F,Pass,n/a (female),n/a (female),0.0874,n/a (female),X2m'n,
AV2.AG,Hungary_Avar-5,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1348.0,24.0,560-645 calCE (1472±27 BP),2.91781523,793248.0,F,Pass,n/a (female),n/a (female),0.0706,n/a (female),X2m'n,
CL102.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,0.51579601,423599.0,F,Pass,n/a (female),n/a (female),0.1025,n/a (female),H1i2,
CL121.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,3.17073557,868719.0,M,Pass,"[0.003,0.012]","[0.004,0.008]",0.1126,R-BY125315,T2b,
CL145.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.87212757,838147.0,M,Pass,"[0.003,0.013]","[0.003,0.007]",0.1022,R-S17624,T2b,
CL146.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,3.07700156,849289.0,M,Pass,"[0,0.006]","[0.002,0.005]",0.1042,R-S17624,T2b3,
CL151.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,1.79240318,744519.0,F,Pass,n/a (female),n/a (female),0.1332,n/a (female),T2b,
CL23.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,3.25137858,865420.0,M,Pass,"[0,0.008]","[0.004,0.008]",0.1005,T-Y144958,H,
CL25.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,1.2925192,707033.0,F,Pass,n/a (female),n/a (female),0.0854,n/a (female),H,
CL30.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.75732789,842607.0,M,Pass,"[0.002,0.01]","[0.003,0.007]",0.0941,R-L151,I1b,
CL36.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,1.912672,696293.0,F,Pass,n/a (female),n/a (female),0.1121,n/a (female),X2b,
CL38.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.44581315,770189.0,M,Pass,"[0,0.008]","[0.003,0.006]",0.0872,E-BY3880,X2,
CL47.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.28093173,794036.0,F,Pass,n/a (female),n/a (female),0.1001,n/a (female),H11a,
CL49.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,0.43745953,315573.0,M,Questionable,"[0,0.079]","[0.018,0.041]",0.2682,R-M269,n/a (<2x),questionable
CL53.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,0.39163109,336670.0,M,Pass,"[0,0.032]","[0,0.007]",0.1019,R-M269,H11a,
CL57.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,1.71774814,792075.0,M,Pass,"[0,0.01]","[0.006,0.011]",0.082,R-BY48364,H24a,
CL63.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.75764162,856827.0,M,Pass,"[0.003,0.013]","[0.003,0.007]",0.1285,I-L121,H,
CL83.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,1.20034868,716339.0,F,Pass,n/a (female),n/a (female),0.0781,n/a (female),H1,
CL84.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.52022572,823647.0,M,Pass,"[0,0.007]","[0.001,0.004]",0.0545,R-U198,H1t,
CL87.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,3.22608568,879568.0,F,Pass,n/a (female),n/a (female),0.1317,n/a (female),H1,
CL92.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,1.88537587,763872.0,M,Pass,"[0.001,0.012]","[0.002,0.007]",0.103,R-S17624,H,
CL93.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.32712171,795244.0,M,Pass,"[0.001,0.011]","[0.003,0.006]",0.1148,R-S17624,J2b1a,
CL94.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,2.97721614,878236.0,M,Pass,"[0.001,0.01]","[0.004,0.007]",0.1082,R-DF99,K1c1,
CL97.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,1350.0,29.0,550-650 CE,0.1501696,94344.0,M,Pass,..,n/a (<2000 X SNPs),0.0804,R,n/a (<2x),low_power
SZ12.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,1.13324162,535929.0,M,Pass,"[0,0.014]","[0.002,0.008]",0.1223,I-CTS616,W6,
SZ13.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1462.0,37.0,424-550 calCE (1579±25 BP),2.92284287,832283.0,M,Pass,"[0.001,0.01]","[0.003,0.006]",0.1128,I-Y4928,N1b1b1,
SZ14.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.57710107,371528.0,M,Pass,"[0,0.024]","[0.001,0.011]",0.1186,I-CTS616,I3,
SZ16.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,1.30334623,663351.0,M,Pass,"[0,0.003]","[0.001,0.006]",0.1068,R-L151,U4b1b,
SZ18.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,1.88725308,734160.0,M,Pass,"[0,0.008]","[0.002,0.006]",0.1475,E-Y20282,H13a1a2,
SZ19.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1456.0,39.0,430-562 calCE (1567±24 BP),2.64512241,776928.0,F,Pass,n/a (female),n/a (female),0.0796,n/a (female),HV9c,
SZ22.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.04406769,707936.0,M,Pass,"[0.005,0.02]","[0.005,0.01]",0.1458,I-CTS616,N1b1b1,
SZ23.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.18604011,729220.0,M,Pass,"[0.002,0.013]","[0.007,0.012]",0.0995,R-S10271,H13a1a2,
SZ24.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.84289078,458529.0,M,Questionable,"[0,0.027]","[0.015,0.028]",0.1255,I-Y3249,U4b,questionable
SZ25.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.46103687,367837.0,F,Pass,n/a (female),n/a (female),0.1422,n/a (female),n/a (<2x),
SZ27.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1467.0,37.0,419-543 calCE (1595±27 BP),3.22477945,890299.0,M,Pass,"[0.001,0.015]","[0.004,0.007]",0.1158,R-BY1717,N1a1a1a1,
SZ28.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.7374007,780105.0,F,Pass,n/a (female),n/a (female),0.0982,n/a (female),H3b5,
SZ30.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.79776455,471468.0,F,Pass,n/a (female),n/a (female),0.1886,n/a (female),H13a,
SZ31.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.12983134,127162.0,F,Pass,n/a (female),n/a (female),0.1628,n/a (female),n/a (<2x),low_power
SZ32.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.88186738,797618.0,F,Pass,n/a (female),n/a (female),0.0782,n/a (female),H74,
SZ37.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1430.0,46.0,433-593 calCE (1544±26 BP),0.86945341,501182.0,M,Pass,"[0,0.012]","[0.005,0.015]",0.097,R-L2,H66a,
SZ38.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.41617832,747516.0,F,Pass,n/a (female),n/a (female),0.0757,n/a (female),HV0,
SZ40.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.2863435,747468.0,F,Pass,n/a (female),n/a (female),0.1158,n/a (female),T2,
SZ41.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.30160372,215693.0,F,Pass,n/a (female),n/a (female),0.2058,n/a (female),n/a (<2x),
SZ42.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,3.27751363,847341.0,M,Pass,"[0.002,0.01]","[0.003,0.007]",0.0794,R-L2,K2a6,
SZ6.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.05396132,56632.0,M,Pass,..,n/a (<2000 X SNPs),0.1521,I-M436,n/a (<2x),low_power
SZ7.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,2.17841565,759609.0,M,Pass,"[0,0.01]","[0.002,0.006]",0.0864,I-Y3249,T2e,
SZ8.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,0.22160643,210528.0,F,Pass,n/a (female),n/a (female),0.1025,n/a (female),n/a (<2x),
SZ9.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,3.14317349,832068.0,F,Pass,n/a (female),n/a (female),0.0892,n/a (female),J1b1a1d,
SZ11.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,10.9596285,1149833.0,M,Pass,"[0,0.007]","[0.005,0.007]",0.115,R-Z326,K2a3a,
SZ15.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,13.049635,1149883.0,M,Pass,"[0,0.004]","[0.004,0.006]",0.1017,R-YP986,H1c1,
SZ1.SG,Hungary_BA,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,3850.0,635.0,3000-800 BCE,12.9467861,1149848.0,M,Pass,"[0,0.006]","[0.006,0.008]",0.1111,R-Y20746,J1b,
SZ2.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,7.58433358,1148219.0,M,Pass,..,"[0.009,0.011]",0.1002,R-Z8,T1a1,
SZ36.SG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,6.88936322,1147176.0,M,Pass,..,"[0.008,0.011]",0.0867,T-A21015,U4c2a,
SZ3.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,13.0279019,1149980.0,M,Pass,"[0,0]","[0.007,0.008]",0.0872,I-Y226798,H18,
SZ43.SG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1393.0,35.0,438-605 calCE (1521±25 BP),14.2404638,1149969.0,M,Pass,"[0,0.008]","[0.006,0.007]",0.1027,I-Y3672,H1e,
SZ45.SG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,12.87873,1150009.0,M,Pass,"[0,0.003]","[0.006,0.008]",0.1095,I-FGC21810,J1c,
SZ4.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,1425.0,72.0,400-650 CE,12.5923952,1149913.0,M,Pass,"[0,0.015]","[0.007,0.008]",0.0828,R-Z19,H1c9,
I1902.AG,Hungary_LN_Lengyel,"Felsörs-Bárókert (Veszprém County, Balatonalmádi)",Hungary,47.01938,17.96243,6550.0,173.0,4900-4300 BCE,0.17387382,173832.0,M,Pass,..,"[0,0.007]",,J-Z6055,H44,low_power
I0577.AG,Russia_Tuva_IA_AldyBel,"Arzhan (Tuva Republic, Piy-Khemsky District, Arzaan Village)",Russia,52.096067,93.711133,2750.0,58.0,900 -700 BCE,2.75385156,797036.0,M,Pass,"[0.001,0.005]","[0.001,0.002]",0.026,R-YP1456,A8a,
I1594.AG,Germany_BlatterhohleCave_MN,"Blätterhöhle Cave (Nordrhein-Westfalen, Arnsberg, Hagen-Kreisfreie Stadt)",Germany,51.358333,7.551111,5140.0,96.0,"3338-3024 calBCE (4465±30 BP, KIA-28846)",0.10838673,110791.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.104,R-V88,J1c1b1,low_power
I1717.AG,Russia_Adygea_EN_ProtoMaikop,"Unakozovskaya (Adygea Republic of, Maykopsky District)",Russia,44.25056667,40.21921667,6450.0,58.0,4600-4400 BCE,2.13104458,746167.0,F,Pass,n/a (female),n/a (female),0.067,n/a (female),J1d6,
I1763.AG,Ukraine_Zaporizhia_EN,"Vasylivka-Zaporizhia (Zaporizhia Oblast, Vasylivka District, Vasylivska Municipality)",Ukraine,47.434167,35.276389,10081.0,99.0,"8282-7960 calBCE (8960±50 BP, Poz-81127)",3.84711017,828040.0,M,Pass,"[0.004,0.008]","[0.006,0.009]",0.128,I-FT344596,U5b2,
I1767.AG,England_BellBeaker-ohighEEF,"Windmill Fields (England, Durham County, Stockton-on-Tees, Ingleby Barwick)",United Kingdom,54.522812,-1.308134,4045.0,58.0,"2202-1978 calBCE (3705±35 BP, OxA-8651)",1.97632794,728709.0,M,Pass,"[0.001,0.012]","[0.003,0.007]",0.074,I-Y3709,U5a1a1,
I1770.AG,England_BellBeaker,"Staxton Beacon (England, North Yorkshire, Staxton)",United Kingdom,54.201949,-0.434355,3950.0,231.0,2400-1600 BCE,0.85762781,495188.0,F,Pass,n/a (female),n/a (female),0.119,n/a (female),U5b1d2,
I1774.AG,England_EBA_C,"Neat's Court (England, Kent, Isle of Sheppey)",United Kingdom,51.423287,0.738864,3698.0,69.0,"1879-1627 calBCE (3437±36 BP, UBA-28373)",0.09840967,100320.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.088,R-M269,U4b1a2,low_power
I1775.AG,Wales_EBA_C,"Great Orme (Wales, North Wales, Llandudno)",United Kingdom,53.33,-3.84,3563.0,50.0,"1731-1536 calBCE (3344±27 BP, OxA-14308)",0.54876117,416409.0,M,Pass,"[0.01,0.074]","[0.018,0.033]",0.081,R-L151,I3,
I1784.AG,Turkmenistan_BA1-1,Gonur (Mary Region),Turkmenistan,38.21228,62.03443,4060.0,56.0,"2204-2027 calBCE (3720±30 BP, Poz-83485)",1.96827154,661408.0,M,Pass,"[0.003,0.009]","[0.003,0.008]",0.119,J-ZS6592,U7a2,
Ukraine_HG1.AG,Ukraine_Mesolithic,"Vasylivka-Zaporizhia-3 (Zaporizhia Oblast, Vasylivka District, Vasylivska Municipality)",Ukraine,47.434168,35.276389,10658.0,94.0,"9107-8556 calBCE (9420±50 BP, Poz-81128)",3.8462324,811106.0,M,Pass,"[0.004,0.009]","[0.007,0.011]",0.156,R-M459,U5b2,
I1821.AG,Russia_KrasnoyarskKrai_MLBA,"Potroshilovo-2 (Krasnoyarsk Krai, Minusinsky District, Potroshilovo Village)",Russia,53.873133,91.460467,3490.0,33.0,"1612-1501 calBCE (3275±20 BP, PSUAMS-2435)",0.53175062,425171.0,M,Pass,"[0,0.008]","[0,0.008]",0.086,R-BY29826,T1a1,
I1828.AG,Russia_KrasnoyarskKrai_MLBA_Andronovo,"Ustye-Biri-4 (Krasnoyarsk Krai, Krasnoturansky District, Lebyazhye Village)",Russia,54.17931667,91.57886667,3484.0,33.0,"1612-1465 calBCE (3270±20 BP, PSUAMS-2960)",0.1301642,131460.0,F,Pass,n/a (female),n/a (female),0.068,n/a (female),K1a4b,low_power
I1829.AG,Russia_Altai_Afanasievo,"Saldyar-1 (Altai Republic, Ongudaysky District)",Russia,50.5542389,86.5901361,4879.0,35.0,"3011-2890 calBCE (4320±21 BP) [R_combine: (4270±25 BP, PSUAMS-2109), (4409±34 BP, UBA-29307)]",0.33910897,302527.0,F,Pass,n/a (female),n/a (female),0.05,n/a (female),J2a2a,
I1836.AG,Spain_MBA,"Cova del Gegant (Catalonia, Barcelona, Sitges)",Spain,41.223,1.77416,3527.0,45.0,"1684-1503 calBCE (3310±35 BP, Poz-83482)",0.34877577,294103.0,M,Questionable,"[0,0.043]","[0.015,0.037]",0.065,R-Y454442,U,questionable
I1838.AG,Spain_C,"Las Yurdinas II (Basque Country, Álava, Peñacerrada-Urizaharra)",Spain,42.63,-2.7,5126.0,108.0,"3356-2936 calBCE (4470±50 BP, Poz-83429)",4.64306703,839950.0,F,Pass,n/a (female),n/a (female),0.072,n/a (female),J1c3,
I1840.AG,Spain_MBA,"El Sotillo (Basque Country, Álava, Laguardia)",Spain,42.5731538,-2.621938,3475.0,42.0,"1613-1450 calBCE (3260±30 BP, Beta-299302)",1.09154218,666259.0,M,Pass,"[0.001,0.011]","[0.001,0.005]",0.048,R-BY3332,H3ap,
I1843.AG,Spain_C,"Alto de la Huesera (Basque Country, Álava, Laguardia)",Spain,42.569508,-2.566083,4904.0,38.0,"3015-2901 calBCE (4340±22 BP) [R_combine: (4390±30 BP, Beta-301225), (4290±30 BP, Beta-301226)]",1.29823689,654483.0,F,Pass,n/a (female),n/a (female),0.048,n/a (female),U5b1+16189+@16192,
I1851.AG,Russia_KrasnoyarskKrai_MLBA_Andronovo,"Ustye-Biri-4 (Krasnoyarsk Krai, Krasnoturansky District, Lebyazhye Village)",Russia,54.17931667,91.57886667,3463.0,30.0,"1607-1450 calBCE (3255±20 BP, PSUAMS-2436)",0.55125022,410799.0,M,Pass,"[0,0.025]","[0,0.008]",0.053,R-S23592,H2b,
I1852.AG,Russia_KrasnoyarskKrai_MLBA_Andronovo,"Ustye-Biri-4 (Krasnoyarsk Krai, Krasnoturansky District, Lebyazhye Village)",Russia,54.17931667,91.57886667,3512.0,31.0,"1614-1511 calBCE (3295±20 BP, PSUAMS-2865)",0.40393208,337632.0,F,Pass,n/a (female),n/a (female),0.049,n/a (female),T2b34,
I1853.AG,Russia_KrasnoyarskKrai_MLBA,"Potroshilovo-2 (Krasnoyarsk Krai, Minusinsky District, Potroshilovo Village)",Russia,53.873133,91.460467,3484.0,33.0,"1612-1465 calBCE (3270±20 BP, PSUAMS-2437)",0.12252844,122234.0,M,Questionable,n/a (<200 SNPs),"[0,0.014]",0.094,R-M459,H2b,low_power;questionable
I1856.AG,Russia_KrasnoyarskKrai_MLBA,"Potroshilovo-2 (Krasnoyarsk Krai, Minusinsky District, Potroshilovo Village)",Russia,53.873133,91.460467,3540.0,42.0,"1686-1518 calBCE (3330±25 BP, PSUAMS-2067)",1.80241501,716314.0,M,Pass,"[0,0.005]","[0.001,0.005]",0.044,R-S23592,K1a+195,
I1887.AG,Hungary_MN_Vinca,Versend-Gilencsa (Baranya County),Hungary,45.5853,18.30771,7150.0,115.0,5400-5000 BCE,0.45230172,385309.0,M,Pass,"[0,0.022]","[0,0.01]",0.159,H-P96,T2b,
I1889.AG,Hungary_MN_Vinca,"Szederkény/Kukorica-dűlő (Baranya County, Bóly District)",Hungary,46.0526762,18.2659314,6943.0,71.0,"5205-4848 calBCE (6079±33 BP, MAMS-14808)",0.50381223,399142.0,M,Pass,"[0,0.023]","[0,0.009]",0.196,G-FT99363,K1a2,
I1890.AG,Hungary_LN_Sopot,"Fajsz-Garadomb-Unknown-Site-1 (Bács-Kiskun, Kalocsai, Fajsz)",Hungary,46.41594,18.91974,6875.0,101.0,5100-4750 BCE,0.09872688,103415.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.127,I-L596,HV0a,low_power
I1891.AG,Hungary_LN_Sopot,"Fajsz-Garadomb-Unknown-Site-1 (Bács-Kiskun, Kalocsai, Fajsz)",Hungary,46.41594,18.91974,6913.0,72.0,"5203-4841 calBCE (6060±40 BP, Poz-83633)",0.52774676,422002.0,F,Pass,n/a (female),n/a (female),0.084,n/a (female),H,
I1892.AG,Hungary_Avar-2,"Bicske-Galagonyás (Fejér County, Bicske)",Hungary,47.48641,18.66366,1404.0,45.0,"435-605 calCE (1525±30 BP, Poz-82583)",0.90783035,599616.0,M,Pass,"[0,0.007]","[0,0.005]",0.057,E-CTS9320,H1m,
