aadr_release,panel,panel_prefix,genetic_id,master_id,published_group_id,archaeological_context,locality,country,lat,lon,date_bp,date_sd,full_date,snp_count,coverage,damage,contamination_angsd,contamination_hapconx,sex,assessment,status,exclusion_reason,notes
v66.p1,1240k,v66.p1_1240K,Ancestor.REF,,Ancestor,Ancestor,Unknown,..,,,0.0,0.0,present,1135001.0,,,..,..,M,Pass,excluded,reference_or_archaic,
v66.p1,1240k,v66.p1_1240K,Chimp.REF,,Chimp,Chimp,Unknown,..,,,0.0,0.0,present,1102442.0,,,..,..,M,Pass,excluded,reference_or_archaic,
v66.p1,1240k,v66.p1_1240K,Gorilla.REF,,Gorilla,Gorilla,Unknown,..,,,0.0,0.0,present,1054589.0,,,n/a (female),n/a (female),F,Pass,excluded,reference_or_archaic,
v66.p1,1240k,v66.p1_1240K,IRN57.SG,,Unknown_Achaemenid,Unknown_Achaemenid,Unknown,..,,,2305.0,50.0,454-258 calBCE,178374.0,0.1756,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,non_eurasian:Unknown,
v66.p1,1240k,v66.p1_1240K,IRN61.TW,,Unknown_Achaemenid,Unknown_Achaemenid,Unknown,..,,,2267.0,22.0,361-275 calBCE,22030.0,0.0317,,..,..,M,PROVISIONAL_PASS,excluded,non_eurasian:Unknown,
v66.p1,1240k,v66.p1_1240K,IRN65.TW,,Unknown_Achaemenid,Unknown_Achaemenid,Unknown,..,,,2267.0,22.0,361-275 calBCE,239826.0,0.3296,,..,..,M,PROVISIONAL_PASS,excluded,non_eurasian:Unknown,
v66.p1,1240k,v66.p1_1240K,IRN68.TW,,Unknown_Achaemenid,Unknown_Achaemenid,Unknown,..,,,2267.0,22.0,361-275 calBCE,33261.0,0.0482,,..,..,M,PROVISIONAL_PASS,excluded,non_eurasian:Unknown,
v66.p1,1240k,v66.p1_1240K,IRN69.SG,,Unknown_Achaemenid,Unknown_Achaemenid,Unknown,..,,,2310.0,50.0,459-263 calBCE,603688.0,0.8006,,..,..,M,PROVISIONAL_PASS,excluded,non_eurasian:Unknown,
v66.p1,1240k,v66.p1_1240K,CAN.005.SG,,Unknown_Medieval,Unknown_Medieval,Unknown,..,,,633.0,40.0,"1272-1389 calCE (690±30 BP, Beta-571819)",134843.0,0.1249,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,non_eurasian:Unknown,
v66.p1,1240k,v66.p1_1240K,Href.REF,,hg19ref,hg19ref,Unknown,..,,,0.0,0.0,present,1150639.0,,,n/a (unknown sex),n/a (unknown sex),U,Pass,excluded,reference_or_archaic,
v66.p1,1240k,v66.p1_1240K,S_Abkhasian-1.DG,,Abkhasian,Abkhasian,Sukhum (Abkhazia),Abkhazia,43.003333,41.015278,0.0,0.0,present,1119737.0,35.0155027,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,S_Abkhasian-2.DG,,Abkhasian,Abkhasian,Sukhum (Abkhazia),Abkhazia,43.003333,41.015278,0.0,0.0,present,1119154.0,35.8252276,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,I14691.AG,,Albania_Cinamak_BA_IA,Albania_Cinamak_BA_IA,"Çinamak (Northern Albania, Kukës County, Kukës Municipality, Surroj)",Albania,42.016111,20.369444,3500.0,664.0,2700-400 BCE,4280.0,0.00396736,0.241,n/a (female),n/a (female),F,Questionable,excluded,low_snps:4280,
v66.p1,1240k,v66.p1_1240K,I17640.AG,,Albania_Cinamak_IA,Albania_Cinamak_IA,"Çinamak (Northern Albania, Kukës County, Kukës Municipality, Surroj)",Albania,42.016111,20.369444,2450.0,58.0,600-400 BCE,6317.0,0.00629042,0.074,n/a (<200 SNPs),n/a (<2000 X SNPs),M,Pass,excluded,low_snps:6317,
v66.p1,1240k,v66.p1_1240K,I17622.AG,,Albania_Dukat_BA_IA,Albania_Dukat_BA_IA,"Dukat (Vlorë County, Vlorë Municipality, Orikum)",Albania,40.250556,19.567222,3050.0,173.0,1400-800 BCE,3216.0,0.00380137,0.096,n/a (<200 SNPs),n/a (<2000 X SNPs),M,Questionable,excluded,low_snps:3216,
v66.p1,1240k,v66.p1_1240K,I17623.AG,,Albania_Dukat_Medieval,Albania_Dukat_Medieval,"Dukat (Vlorë County, Vlorë Municipality, Orikum)",Albania,40.250556,19.567222,1050.0,58.0,800-1000 CE,5206.0,0.0064399,0.089,n/a (<200 SNPs),n/a (<2000 X SNPs),M,Pass,excluded,low_snps:5206,
v66.p1,1240k,v66.p1_1240K,S_Albanian-1.DG,,Albanian,Albanian,Tirana,Albania,41.33,19.83,0.0,0.0,present,1120101.0,33.5906535,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,I13901.AG,,Algeria_Afalou_Paleolithic,Algeria_Afalou_Paleolithic,"Afalou (Kabylie Region, Béjaïa Province)",Algeria,36.645508,5.372823,15950.0,4619.0,22000-6000 BCE,378208.0,,,..,..,M,PROVISIONAL_PASS,excluded,non_eurasian:Africa,
v66.p1,1240k,v66.p1_1240K,I12433.AG,,Algeria_KhenchelaCave_IA,Algeria_KhenchelaCave_IA,"Khenchela Cave (Aurès, Constantine)",Algeria,35.427657,7.145072,2752.0,6.0,"816-791 calBCE (2635±15 BP, PSUAMS-5278)",767604.0,4.49035101,0.049,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Africa,
v66.p1,1240k,v66.p1_1240K,R10760.SG,,Algeria_Numidia_Roman_Berber,Algeria_Numidia_Roman_Berber,Sitifis (Necropole Orientale),Algeria,36.1898,5.4108,1919.0,33.0,"40 calBCE - 109 calCE (1985±15 BP, UCIAMS-235946)",857724.0,1.47663255,,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Africa,
v66.p1,1240k,v66.p1_1240K,R10766.SG,,Algeria_Numidia_Roman_Berber,Algeria_Numidia_Roman_Berber,Sitifis (Necropole Orientale),Algeria,36.1898,5.4108,1836.0,36.0,"63-204 calCE (1920±15 BP, UCIAMS-235947)",1010970.0,2.24963955,,..,"[0.003,0.006]",M,Pass,excluded,non_eurasian:Africa,
v66.p1,1240k,v66.p1_1240K,R10770.SG,,Algeria_Numidia_Roman_Berber,Algeria_Numidia_Roman_Berber,Sitifis (Necropole Orientale),Algeria,36.1898,5.4108,1798.0,34.0,"81-210 calCE (1900±15 BP, UCIAMS-235948)",579726.0,0.7290436,,..,"[0.003,0.011]",M,Pass,excluded,non_eurasian:Africa,
v66.p1,1240k,v66.p1_1240K,HGDP01253.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1065214.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01254.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062706.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01255.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062839.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01256.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1059344.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01257.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1059031.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01258.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1063212.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01259.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1063621.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01260.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1059434.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01261.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062423.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01262.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1063878.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01263.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1063481.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01264.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062978.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01265.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062355.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01266.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1063104.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01267.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062691.0,,,..,..,U,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01268.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1060764.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01269.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062373.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01270.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1060709.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01271.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1064828.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01272.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1062361.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01274.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1065404.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01275.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1064688.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01276.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1064140.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01277.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1064424.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01279.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1064125.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01280.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1063561.0,,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01282.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1064187.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,S_Mozabite-1.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1119147.0,35.2328784,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,S_Mozabite-2.DG,,Mozabite,Mozabite,"Algeria, modern",Algeria,32.0,3.0,0.0,0.0,present,1119047.0,36.5047282,,n/a (female),n/a (female),F,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,HGDP01031.DG,,BantuSA_Ovambo,BantuSA_Ovambo,"Angola, modern 20",Angola,-19.0,18.0,0.0,0.0,present,1061642.0,,,..,..,M,PROVISIONAL_PASS,excluded,present_day,
v66.p1,1240k,v66.p1_1240K,Aconcagua.SG,,Argentina_500BP_Inca_Aconcagua,Argentina_500BP_Inca_Aconcagua,Mendoza Province (Cerro Aconcagua),Argentina,-32.65,-70.01,500.0,29.0,1400-1500 CE,1062900.0,3.24653519,,..,"[0.005,0.008]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12941.AG,,Argentina_BeagleChannel_100BP_Yamana,Argentina_BeagleChannel_100BP_Yamana,"Almanza (Beagle Channel, Tierra del Fuego)",Argentina,-54.85,-67.57,160.0,115.0,"1560-1960 calCE (555±20 BP, PSUAMS-6678)",833739.0,4.36572027,0.018,"[0.001,0.004]","[0,0.002]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12942.AG,,Argentina_BeagleChannel_100BP_Yamana,Argentina_BeagleChannel_100BP_Yamana,"Acatushún (Beagle Channel, Tierra del Fuego)",Argentina,-54.87,-67.33,60.0,43.0,"1810-1960 calCE (490±25 BP, PSUAMS-6679)",292888.0,0.31710988,0.031,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12943.AG,,Argentina_BeagleChannel_100BP_Yamana,Argentina_BeagleChannel_100BP_Yamana,"Almanza (Beagle Channel, Tierra del Fuego)",Argentina,-54.85,-67.57,180.0,118.0,"1550-1960 calCE (570±20 BP, PSUAMS-6680)",845245.0,4.01009178,0.05,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,Yaghan890.SG,,Argentina_BeagleChannel_100BP_Yamana,Argentina_BeagleChannel_100BP_Yamana,Tierra del Fuego (Beagle Channel),Argentina,-55.01,-69.07,100.0,29.0,1800-1900 CE,270794.0,0.54207358,,..,"[0.002,0.015]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,Yaghan894.SG,,Argentina_BeagleChannel_100BP_Yamana,Argentina_BeagleChannel_100BP_Yamana,Tierra del Fuego (Beagle Channel),Argentina,-55.01,-69.07,100.0,29.0,1800-1900 CE,629575.0,1.27881638,,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,Yaghan895.SG,,Argentina_BeagleChannel_100BP_Yamana,Argentina_BeagleChannel_100BP_Yamana,Tierra del Fuego (Beagle Channel),Argentina,-55.01,-69.07,100.0,29.0,1800-1900 CE,674317.0,1.65132157,,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12355.AG,,Argentina_BeagleChannel_1500BP_LateHorizon_Yamana,Argentina_BeagleChannel_1500BP_LateHorizon_Yamana,"Río Pipo (Beagle Channel, Tierra del Fuego)",Argentina,-54.85,-68.52,1490.0,98.0,"260-600 calCE (1975±25 BP, PSUAMS-6673)",658852.0,2.9883543,0.058,"[0,0.003]","[0.001,0.003]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I23842.AG.TW,,Argentina_BuenosAires_10000BP,Argentina_BuenosAires_10000BP,Laguna de los Pampas (Buenos Aires Province),Argentina,-35.328333,-61.530556,10032.0,125.0,8288-7823 calBCE (8971±71 BP),891473.0,1.7243,0.16,n/a (female),n/a (female),F,Questionable,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I23842_d.AG.TW,,Argentina_BuenosAires_10000BP,Argentina_BuenosAires_10000BP,Laguna de los Pampas (Buenos Aires Province),Argentina,-35.328333,-61.530556,10032.0,125.0,8288-7823 calBCE (8971±71 BP),184109.0,0.1838,,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34694.TW,,Argentina_BuenosAires_1600BP,Argentina_BuenosAires_1600BP,"Túmulo de Campana (Buenos Aires Province, Ptdo. de Campana)",Argentina,-34.19,-58.92,1626.0,59.0,"212-427 calCE (1754±49 BP, AA-100007)",496799.0,0.61150109,0.09,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12370.AG,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"El Guanaco 1 (Buenos Aires Province, Ptdo. de San Cayetano)",Argentina,-38.68,-59.65,2520.0,115.0,"763-400 calBCE (2470±60 BP, BETA-128180)",590702.0,0.90793464,0.079,"[0,0.006]","[0.001,0.005]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12371.AG,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"El Guanaco 1 (Buenos Aires Province, Ptdo. de San Cayetano)",Argentina,-38.68,-59.65,2233.0,59.0,"391-190 calBCE (2280±30 BP, BETA-137745)",213418.0,0.2727076,0.157,"[0,0.014]","[0,0.013]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12372.AG,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"El Guanaco 1 (Buenos Aires Province, Ptdo. de San Cayetano)",Argentina,-38.68,-59.65,2511.0,117.0,"763-396 calBCE (2460±60 BP, PTA-8520)",820603.0,3.74071885,0.062,"[0.003,0.007]","[0.002,0.005]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12373.AG,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"El Guanaco 1 (Buenos Aires Province, Ptdo. de San Cayetano)",Argentina,-38.68,-59.65,2425.0,188.0,800-150 BCE,117693.0,0.11560272,0.1065,n/a (<200 SNPs),"[0,0.012]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12374.AG,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"El Guanaco 1 (Buenos Aires Province, Ptdo. de San Cayetano)",Argentina,-38.68,-59.65,2425.0,188.0,800-150 BCE,141437.0,0.14299359,0.0825,n/a (<200 SNPs),"[0,0.008]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I12376.AG,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Laguna Toro (Buenos Aires Province, Ptdo. de Coronel Dorrego)",Argentina,-38.84,-61.42,2333.0,127.0,"736-194 calBCE (2369±52 BP, UGAMS-16601)",196776.0,0.20063113,0.079,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34660.TW,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Túmulo de Malacara (Buenos Aires Province, Ptdo. de Lobería)",Argentina,-38.45,-58.25,2638.0,82.0,"802-547 calBCE (2585±20 BP, PSUAMS-12926/LI-0340)",1076622.0,3.134391,0.082,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34661.TW,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Túmulo de Malacara (Buenos Aires Province, Ptdo. de Lobería)",Argentina,-38.45,-58.25,2765.0,27.0,"897-777 calBCE (2680±20 BP, PSUAMS-12925/LI-0339)",1067040.0,5.4323641,0.127,"[0.003,0.006]","[0.005,0.007]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34667.TW,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Túmulo de Malacara (Buenos Aires Province, Ptdo. de Lobería)",Argentina,-38.45,-58.25,2650.0,84.0,"806-547 calBCE (2595±25 BP, PSUAMS-13095/LI-0343)",582302.0,0.7821454,0.057,"[0.000,0.014]","[0.001,0.006]",M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34668.TW,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Túmulo de Malacara (Buenos Aires Province, Ptdo. de Lobería)",Argentina,-38.45,-58.25,2795.0,40.0,"919-782 calBCE (2710±40 BP, AA-24049)",151817.0,0.14746763,0.093,n/a (<200 SNPs),"[0,0.014]",M,Questionable,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I42078.TW,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Túmulo de Malacara (Buenos Aires Province, Ptdo. de Lobería)",Argentina,-38.45,-58.25,2700.0,87.0,900-600 BCE,1089940.0,5.9034,0.115,"[0.003,0.005]",..,M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I42079.TW,,Argentina_BuenosAires_2600BP,Argentina_BuenosAires_2600BP,"Túmulo de Malacara (Buenos Aires Province, Ptdo. de Lobería)",Argentina,-38.45,-58.25,2698.0,71.0,"815-568 calBCE (2620±25, UGAMS-74313)",1111657.0,7.3885,0.114,"[0.001,0.003]",..,M,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34672.TW,,Argentina_BuenosAires_3300BP,Argentina_BuenosAires_3300BP,"La Colorada (Buenos Aires Province, Ptdo. de Rauch)",Argentina,-36.48,-58.62,3342.0,89.0,"1505-1128 calBCE (3140±70 BP, LP-807)",200325.0,0.20254745,0.133,n/a (female),n/a (female),F,Pass,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I34939.TW,,Argentina_BuenosAires_400BP,Argentina_BuenosAires_400BP,"Cementerio Indígena Arroyo Paicarabí y Fredes (Buenos Aires Province, Ptdo. de San Fernando)",Argentina,-34.23,-58.59,420.0,59.0,"1445-1628 calCE (421±45 BP, AA-103896)",12124.0,0.01125027,0.056,n/a (female),n/a (female),F,Questionable,excluded,non_eurasian:Americas,
v66.p1,1240k,v66.p1_1240K,I0308.AG,,Argentina_BuenosAires_7700BP,Argentina_BuenosAires_7700BP,"Arroyo Seco II (Buenos Aires Province, Ptdo. Tres Arroyos)",Argentina,-38.3605556,-60.2441667,7428.0,70.0,"5620-5336 calBCE (6560±60 BP, LP-186)",461637.0,0.9758,0.06,"[0,0.004]","[0.001,0.004]",M,PROVISIONAL_PASS,excluded,non_eurasian:Americas,
