genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
Loschbour.AG,0.029227,0.005625,206599,0.020313,0.004744,4.282,447680,0.003175,0.00652,0.487,348007
Kou01.SG,0.023488,0.005667,458533,0.015376,0.005438,2.827,987814,0.0016,0.006368,0.251,502827
Kou03.SG,0.021531,0.004736,474744,0.016101,0.004405,3.655,1025141,-0.005335,0.005145,-1.037,529244
Log02.SG,0.014214,0.005765,502550,0.01033,0.004759,2.17,1090114,-0.0097,0.005492,-1.766,557158
Log04.SG,0.020828,0.004373,501340,0.015447,0.004213,3.666,1087230,-0.003609,0.004897,-0.737,556151
Mik15.SG,0.019807,0.004124,477813,0.010099,0.003498,2.887,1028849,-0.003878,0.005398,-0.718,528609
Pta08.SG,0.01452,0.005229,497623,0.008832,0.004138,2.134,1077996,-0.005359,0.00589,-0.91,551759
cay004.SG,0.026424,0.017253,38816,0.007001,0.011191,0.626,79921,0.004715,0.017581,0.268,41061
cay008.SG,0.034774,0.01252,43031,0.027656,0.009474,2.919,89153,0.01091,0.016186,0.674,46977
cay013.SG,0.035188,0.00997,71714,0.017511,0.007995,2.19,148666,-0.006934,0.01355,-0.512,78460
cay016.SG,0.027146,0.019226,21012,0.016487,0.015267,1.08,43006,-0.006708,0.023712,-0.283,22183
cay033.SG,0.021049,0.019465,16612,0.011938,0.018615,0.641,30499,0.062211,0.027154,2.291,15688
AV1.AG,0.01424,0.005525,360396,0.010802,0.005111,2.113,787799,-0.009115,0.005795,-1.573,425245
AV2.AG,0.007253,0.005928,345850,0.007337,0.005228,1.403,757340,-0.005843,0.006401,-0.913,411559
CL102.AG,0.021426,0.006855,188944,0.018481,0.00606,3.05,405012,-0.001213,0.007933,-0.153,212326
CL121.AG,0.007938,0.006505,380622,0.007938,0.005266,1.507,829641,-0.001887,0.006377,-0.296,443913
CL145.AG,0.021324,0.005887,367364,0.016192,0.0045,3.598,800228,0.000287,0.005025,0.057,428003
CL146.AG,0.019733,0.006102,372164,0.010399,0.005223,1.991,810991,-0.008706,0.007242,-1.202,433924
CL151.AG,0.02037,0.006377,326394,0.016624,0.005095,3.263,710914,0.00054,0.006009,0.09,379798
CL23.AG,0.022458,0.005108,379293,0.014459,0.004002,3.613,826500,-0.001662,0.005699,-0.292,442689
CL25.AG,0.012803,0.00631,310760,0.007979,0.005309,1.503,675369,-0.003155,0.006938,-0.455,358871
CL30.AG,0.017708,0.005866,369062,0.013513,0.005032,2.685,804529,-0.010455,0.005517,-1.895,430645
CL36.AG,0.018226,0.006201,303332,0.015113,0.005203,2.904,664171,0.000623,0.006223,0.1,359292
CL38.AG,0.017865,0.005289,336117,0.013027,0.004841,2.691,735203,-0.002119,0.006205,-0.341,396078
CL47.AG,0.012599,0.005352,347528,0.009381,0.005018,1.869,758131,-0.005433,0.006604,-0.823,406921
CL49.AG,0.010165,0.009519,139078,0.008659,0.005551,1.56,300765,0.006055,0.010155,0.596,162052
CL53.AG,0.024608,0.007448,149704,0.010776,0.006032,1.786,321428,0.007125,0.008038,0.886,169996
CL57.AG,0.021366,0.005739,348314,0.014409,0.004635,3.109,756678,0.003033,0.007909,0.383,402966
CL63.AG,0.018979,0.005641,376123,0.012584,0.004579,2.748,818261,-0.005164,0.005809,-0.889,436793
CL83.AG,0.020509,0.006958,316255,0.019284,0.005614,3.435,684899,0.001857,0.00669,0.278,363657
CL84.AG,0.014787,0.005515,360526,0.011626,0.004387,2.65,786768,-0.004656,0.006871,-0.678,421788
CL87.AG,0.018485,0.005262,386315,0.019492,0.004782,4.076,840161,-0.003373,0.005718,-0.59,448635
CL92.AG,0.020118,0.006164,333948,0.015958,0.004702,3.394,729621,-0.002529,0.006378,-0.396,393123
CL93.AG,0.020462,0.005909,348260,0.01621,0.004375,3.705,759411,0.001403,0.005753,0.244,407662
CL94.AG,0.01842,0.0061,385594,0.011816,0.005476,2.158,838724,-0.004746,0.005475,-0.867,446225
CL97.AG,0.016309,0.012574,41894,0.026057,0.011034,2.362,90099,0.027181,0.015474,1.757,47651
SZ12.AG,0.015221,0.007211,232077,0.009885,0.006033,1.639,510722,-0.003634,0.007065,-0.514,278898
SZ13.AG,0.014458,0.005502,363745,0.010448,0.004513,2.315,794535,-0.002897,0.006674,-0.434,428970
SZ14.AG,0.01188,0.007163,159819,0.012073,0.006421,1.88,353771,-0.001436,0.008169,-0.176,194768
SZ16.AG,0.011859,0.005972,289870,0.009219,0.004587,2.01,632910,-0.007789,0.005835,-1.335,340478
SZ18.AG,0.017337,0.006584,320660,0.012214,0.005424,2.252,700518,-0.006647,0.00704,-0.944,377844
SZ19.AG,0.018351,0.004774,338683,0.013316,0.004363,3.052,741421,-0.005963,0.005306,-1.124,402299
SZ22.AG,0.019648,0.006468,308028,0.009327,0.00566,1.648,675339,-0.006689,0.006261,-1.068,366996
SZ23.AG,0.025266,0.006695,317243,0.0136,0.005699,2.386,695844,-0.005006,0.007061,-0.709,376286
SZ24.AG,0.013346,0.007017,197908,0.007846,0.005691,1.378,436902,0.003258,0.007769,0.419,238500
SZ25.AG,0.02426,0.00834,161840,0.01683,0.006275,2.682,351235,-0.008815,0.007989,-1.103,187448
