genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
Loschbour.AG,0.063981,0.010966,55184,0.050685,0.008779,5.773,86360,0.014712,0.010843,1.357,64719
Kou01.SG,0.041671,0.009363,126771,0.039506,0.008659,4.562,198298,0.02869,0.012473,2.3,95017
Kou03.SG,0.04444,0.009752,130925,0.039814,0.009378,4.245,204961,0.011127,0.011173,0.996,99748
Log02.SG,0.031782,0.009893,136966,0.029216,0.009511,3.072,215026,0.012549,0.011379,1.103,103568
Log04.SG,0.042176,0.007911,136949,0.038291,0.007915,4.838,215085,0.020692,0.010735,1.928,103623
Mik15.SG,0.037519,0.007873,132621,0.033919,0.007104,4.775,207408,0.019743,0.010647,1.854,100315
Pta08.SG,0.026907,0.009014,136221,0.025865,0.007926,3.263,213812,0.010797,0.01129,0.956,103031
cay004.SG,0.017349,0.025453,12468,0.02168,0.023189,0.935,19094,0.053297,0.034932,1.526,9269
cay008.SG,0.076938,0.024476,13597,0.095175,0.024423,3.897,20718,0.086591,0.035957,2.408,10366
cay013.SG,0.061464,0.015996,22872,0.037446,0.015001,2.496,35161,0.001478,0.026081,0.057,17532
cay016.SG,0.066904,0.032471,6825,0.031624,0.033433,0.946,10442,-0.013862,0.042238,-0.328,5061
cay033.SG,0.030171,0.02648,10652,0.044874,0.023593,1.902,16579,0.076465,0.031109,2.458,8286
AV1.AG,0.030566,0.009704,95855,0.031627,0.008478,3.73,151145,0.009275,0.011547,0.803,77981
AV2.AG,0.019193,0.009497,92081,0.025246,0.010493,2.406,145384,0.008967,0.01253,0.716,75644
CL102.AG,0.043463,0.011125,50995,0.041774,0.012729,3.282,79153,0.037017,0.017557,2.108,39544
CL121.AG,0.025621,0.009821,101761,0.031514,0.009196,3.427,159989,0.018752,0.011728,1.599,81754
CL145.AG,0.042387,0.009406,97799,0.037772,0.009286,4.067,153809,0.018973,0.011605,1.635,78576
CL146.AG,0.03802,0.010073,99575,0.039656,0.010467,3.789,156552,0.02157,0.012423,1.736,80056
