genetic_id,group_id,country,lat,lon,date_bp,data_type,alpha_Nea,alpha_adj,alpha_SE,alpha_nSNP,high_conf,expected_Nea,residual_Nea,z_resid,sigma_bio_local,se_expected,n_neighbors_eff,D_Nea_Z,D_Den_Z,flags
Loschbour.AG,Luxembourg_Loschbour_Mesolithic,Luxembourg,49.81,6.4,8025.0,AG,0.029227,0.030427364756787673,0.005625,206599,True,0.02379791394453738,0.006629450812250293,1.1717981151151784,0.0,0.0006055658398779522,74.73972504906374,4.282,0.487,
Kou01.SG,Greece_EpanoKoufonisi_EBA_Cycladic,Greece,36.937529,25.60652,4250.0,SG,0.023488,0.021740859865127617,0.005667,458533,True,0.0198804237442442,0.001860436120883418,0.32736725353831236,0.0,0.0004264720582580834,75.17442937024923,2.827,0.251,
Kou03.SG,Greece_EpanoKoufonisi_EBA_Cycladic,Greece,36.937529,25.60652,4250.0,SG,0.021531,0.01978385986512762,0.004736,474744,True,0.020194173142890647,-0.0004103132777630268,-0.08623494304773784,0.0,0.00045791556354295073,74.99982600184008,3.655,-1.037,
Log02.SG,Greece_ElatiLogkassite_MBA,Greece,39.980392,21.823641,4250.0,SG,0.014214,0.012466859865127617,0.005765,502550,True,0.018737282057590107,-0.00627042219246249,-1.083052221938239,0.0,0.0005329746010930067,75.55240762662065,2.17,-1.766,
Log04.SG,Greece_ElatiLogkassite_MBA,Greece,39.980392,21.823641,4250.0,SG,0.020828,0.019080859865127617,0.004373,501340,True,0.020214459859041363,-0.0011335999939137455,-0.2576064841111282,0.0,0.0004912862176155797,76.69170322984212,3.666,-0.737,
Mik15.SG,Greece_Manika_EBA,Greece,38.498226,23.626147,4250.0,SG,0.019807,0.01805985986512762,0.004124,477813,True,0.0198086452103456,-0.0017487853452179784,-0.4213858960083065,0.0,0.00046453339429305116,76.57916319326837,2.887,-0.718,
Pta08.SG,Greece_Crete_KephalaPetrasSiteias,Greece,35.197343,26.11498,4250.0,SG,0.01452,0.012772859865127618,0.005229,497623,True,0.020245239190521853,-0.007472379325394235,-1.4241311167999884,0.0,0.00043393314984524814,76.76264973872993,2.134,-0.91,
cay004.SG,Turkey_PPN,Turkey,38.2153,39.7526,8396.0,SG,0.026424,0.024676859865127618,0.017253,38816,False,0.0213481447837585,0.0033287150813691192,0.192832813694366,0.0,0.0005629480335935741,76.1129936863748,0.626,0.268,low_power
cay008.SG,Turkey_PPN,Turkey,38.2153,39.7526,8541.0,SG,0.034774,0.033026859865127614,0.01252,43031,False,0.02104213512500884,0.011984724740118774,0.9562059447915672,0.0,0.0005842117336386834,76.03674010058019,2.919,0.674,low_power
cay013.SG,Turkey_PPN,Turkey,38.2153,39.7526,8600.0,SG,0.035188,0.03344085986512761,0.00997,71714,False,0.021632204116109815,0.011808655749017797,1.1824630010017285,0.0,0.000573669130950758,75.90452093141384,2.19,-0.512,low_power
cay016.SG,Turkey_PPN,Turkey,38.2153,39.7526,10550.0,SG,0.027146,0.025398859865127618,0.019226,21012,False,0.020747875840027023,0.004650984025100596,0.2418149689082024,0.0,0.0005423508796677841,75.6983294394158,1.08,-0.283,low_power
cay033.SG,Turkey_PPN,Turkey,38.2153,39.7526,10100.0,SG,0.021049,0.019301859865127616,0.019465,16612,False,0.020677255392692207,-0.0013753955275645907,-0.07063121390703343,0.0,0.0005551035982776996,75.97327564000162,0.641,2.291,low_power
AV1.AG,Hungary_Avar-5,Hungary,46.2833333,17.85,1360.0,AG,0.01424,0.015440364756787672,0.005525,360396,True,0.021557178275033388,-0.006116813518245716,-1.1035092208257402,0.0,0.0004470413081321362,76.42645254649793,2.113,-1.573,
AV2.AG,Hungary_Avar-5,Hungary,46.2833333,17.85,1348.0,AG,0.007253,0.008453364756787672,0.005928,345850,True,0.021090025008162205,-0.012636660251374533,-2.125011002095631,0.0,0.00047038108270106856,75.87428315848133,1.403,-0.913,
CL102.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.021426,0.022626364756787674,0.006855,188944,False,0.021153390160120755,0.0014729745966669192,0.21418388968580834,0.0,0.0005515053161393565,76.24246696596516,3.05,-0.153,
CL121.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,Italy,45.0792,7.5783,1350.0,AG,0.007938,0.009138364756787674,0.006505,380622,True,0.01947666861321283,-0.010338303856425157,-1.5842168571858695,0.0,0.0005207856414242573,77.00773262809784,1.507,-0.296,
CL145.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.021324,0.022524364756787672,0.005887,367364,True,0.02134314334516443,0.001181221411623242,0.19973303139746978,0.0,0.0005644843932251324,76.66376229043068,3.598,0.057,
CL146.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.019733,0.020933364756787674,0.006102,372164,True,0.021136106895894076,-0.0002027421391064023,-0.0331125938840709,0.0,0.0005043857722098327,77.26721875368783,1.991,-1.202,
CL151.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.02037,0.021570364756787672,0.006377,326394,True,0.021731223121723736,-0.00016085836493606384,-0.02513674936224137,0.0,0.0005341356253522153,76.3413959906126,3.263,0.09,
CL23.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.022458,0.023658364756787672,0.005108,379293,True,0.0216679717209977,0.0019903930357899717,0.3874163575162327,0.0,0.0005507657335205326,76.09961901786967,3.613,-0.292,
CL25.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,Italy,45.0792,7.5783,1350.0,AG,0.012803,0.014003364756787673,0.00631,310760,True,0.01970342152169252,-0.005700056764904848,-0.9003089521154328,0.0,0.000517962314604951,76.57751659182215,1.503,-0.455,
