stat,pops,est,se
alpha_Nea,French,0.02087697141757806,0.0037917166482894955
D_Nea,French,0.016080222506327214,0.0033323854694219312
alpha_Nea,Han,0.022900935256053696,0.003812698356392025
D_Nea,Han,0.01754616136447651,0.0038295322973003563
alpha_Nea,Sardinian,0.02034324708297889,0.0038039636137062165
D_Nea,Sardinian,0.01566192274623384,0.0032830020986099485
alpha_Nea,Papuan,0.029363241018429544,0.004367412211424726
D_Nea,Papuan,0.027788691846323453,0.004600385302328067
alpha_Nea,Yoruba,-0.0011007429124089028,0.0020999069867843247
D_Nea,Yoruba,-0.004406801326914402,0.0018250333529907221
D_diff_FrenchHan,French;Han,-0.006137709038747219,0.002835149751651739
