target,rank,chi2,dof,p,n_snp,n_left,n_right
Eurasia_LGM_and_earlier,0,5728.475649175431,18,0.0,754771,4,7
Eurasia_LGM_and_earlier,1,2111.1191039830255,10,1.1640007492819336e-244,754771,4,7
Eurasia_LGM_and_earlier,2,69.14152590643971,4,1.667984842423959e-12,754771,4,7
Eurasia_Late_Glacial,0,2991.3057999468474,18,0.0,754770,4,7
Eurasia_Late_Glacial,1,1129.5797941447431,10,7.583503390055183e-148,754770,4,7
Eurasia_Late_Glacial,2,812.9956509308649,4,1.2119202818766999e-97,754770,4,7
Eurasia_Early_Holocene,0,4012.449800449628,18,0.0,754771,4,7
Eurasia_Early_Holocene,1,1405.5515657176516,10,1.0039291663033872e-176,754771,4,7
Eurasia_Early_Holocene,2,638.3124504422715,4,7.693882693473562e-81,754771,4,7
Eurasia_Neolithic,0,3249.266380797637,18,0.0,754771,4,7
Eurasia_Neolithic,1,1262.017827156823,10,6.628980650672322e-162,754771,4,7
Eurasia_Neolithic,2,207.01706790313307,4,1.8657914614300375e-32,754771,4,7
Eurasia_Bronze_Age,0,4555.750208909446,18,0.0,754771,4,7
Eurasia_Bronze_Age,1,2577.8337663048073,10,3.31973831960452e-286,754771,4,7
Eurasia_Bronze_Age,2,819.6921578822516,4,2.8838796717286918e-98,754771,4,7
Eurasia_Iron_Age,0,4843.865181627002,18,0.0,754766,4,7
Eurasia_Iron_Age,1,3566.826308042599,10,0.0,754766,4,7
Eurasia_Iron_Age,2,1123.5990679226306,4,2.7756081469946396e-125,754766,4,7
Eurasia_Historic,0,4484.343071077165,18,0.0,754771,4,7
Eurasia_Historic,1,2222.818217785007,10,8.208117738766126e-255,754771,4,7
Eurasia_Historic,2,614.0844387079778,4,2.03352679638758e-78,754771,4,7
Africa_Late_Glacial,0,4690.512713179205,18,0.0,714592,4,7
Africa_Late_Glacial,1,1157.25162847955,10,8.121654570159195e-151,714592,4,7
Africa_Late_Glacial,2,89.47524645290832,4,9.540954630883675e-16,714592,4,7
Africa_Early_Holocene,0,12559.442943594104,18,0.0,754770,4,7
Africa_Early_Holocene,1,1280.487094224838,10,7.785824134801165e-164,754770,4,7
Africa_Early_Holocene,2,112.41239619150292,4,3.000650494828476e-19,754770,4,7
Africa_Neolithic,0,12549.26969808811,18,0.0,754767,4,7
Africa_Neolithic,1,1210.400627767398,10,1.7955465202747322e-156,754767,4,7
Africa_Neolithic,2,107.2639648153563,4,1.7805154308756464e-18,754767,4,7
Africa_Bronze_Age,0,11079.494215709652,18,0.0,754771,4,7
Africa_Bronze_Age,1,1228.1267258013104,10,2.410032149327883e-158,754771,4,7
Africa_Bronze_Age,2,109.72421162738465,4,7.587965196580925e-19,754771,4,7
Africa_Iron_Age,0,7903.085217617605,18,0.0,754770,4,7
Africa_Iron_Age,1,1262.7274721368885,10,5.586669279817845e-162,754770,4,7
Africa_Iron_Age,2,113.96481301609606,4,1.7595079908195828e-19,754770,4,7
Africa_Historic,0,9683.372499902078,18,0.0,754771,4,7
Africa_Historic,1,1270.3699317435385,10,8.865894116392015e-163,754771,4,7
Africa_Historic,2,103.46760719121085,4,6.688827599228832e-18,754771,4,7
Oceania_Iron_Age,0,5204.443942997635,18,0.0,748281,4,7
Oceania_Iron_Age,1,2252.1850452990257,10,1.8547838086527273e-257,748281,4,7
Oceania_Iron_Age,2,696.6026061316879,4,1.4330921257872166e-86,748281,4,7
Oceania_Historic,0,5686.891242076624,18,0.0,754382,4,7
Oceania_Historic,1,2227.7375828481017,10,2.9536155901106485e-255,754382,4,7
Oceania_Historic,2,680.1239068270079,4,5.790198021589585e-85,754382,4,7
Americas_Late_Glacial,0,7916.16366771996,18,0.0,754769,4,7
Americas_Late_Glacial,1,1636.1584777924481,10,9.544822816105706e-200,754769,4,7
Americas_Late_Glacial,2,549.531600895054,4,7.743796951355026e-72,754769,4,7
Americas_Early_Holocene,0,11206.464139962609,18,0.0,754768,4,7
Americas_Early_Holocene,1,1597.653743280228,10,5.779578477959685e-196,754768,4,7
Americas_Early_Holocene,2,576.9493292834813,4,1.1759429140201498e-74,754768,4,7
Americas_Neolithic,0,13198.641717570927,18,0.0,754767,4,7
Americas_Neolithic,1,1783.1023182683912,10,5.680770228678447e-214,754767,4,7
Americas_Neolithic,2,636.5830166302912,4,1.1434629544426802e-80,754767,4,7
Americas_Bronze_Age,0,14889.095559446421,18,0.0,753472,4,7
Americas_Bronze_Age,1,1822.4412715705726,10,9.983826769913913e-218,753472,4,7
Americas_Bronze_Age,2,634.8812516792168,4,1.6891440005364676e-80,753472,4,7
Americas_Iron_Age,0,14619.332274123068,18,0.0,754423,4,7
Americas_Iron_Age,1,1815.345330371384,10,4.732001260475782e-217,754423,4,7
Americas_Iron_Age,2,582.8811491275628,4,2.9191411840446896e-75,754423,4,7
Americas_Historic,0,15192.80535596116,18,0.0,754295,4,7
Americas_Historic,1,1910.8718862683725,10,4.3195137024056155e-226,754295,4,7
Americas_Historic,2,599.5975625486753,4,5.8691371625735e-77,754295,4,7
